Symbol,Date,Open,High,Low,Close,Percent Change,Volume
ADBLD83,2025-01-08,"1,133.20","1,133.20","1,133.20","1,133.20",2.00 %,10.00
ADBLD83,2025-01-09,"1,149.90","1,149.90","1,149.90","1,149.90",1.47 %,1.00
ADBLD83,2025-01-13,"1,105.00","1,105.00","1,100.00","1,100.00",-4.34 %,"1,707.00"
ADBLD83,2025-01-19,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82 %,26.00
ADBLD83,2025-01-22,"1,091.00","1,100.00","1,091.00","1,100.00",1.85 %,400.00
ADBLD83,2025-01-27,"1,101.90","1,101.90","1,101.90","1,101.90",0.17 %,5.00
ADBLD83,2025-01-28,"1,079.90","1,099.90","1,079.90","1,080.00",-1.99 %,76.00
ADBLD83,2025-02-02,"1,101.40","1,101.40","1,101.40","1,101.40",1.98 %,10.00
ADBLD83,2025-02-03,"1,101.00","1,101.00","1,085.00","1,085.00",-1.49 %,840.00
ADBLD83,2025-02-06,"1,100.00","1,100.00","1,100.00","1,100.00",1.38 %,18.00
ADBLD83,2025-02-16,"1,121.50","1,121.50","1,121.50","1,121.50",1.95 %,5.00
ADBLD83,2025-02-17,"1,100.00","1,100.00","1,100.00","1,100.00",-1.92 %,250.00
ADBLD83,2025-02-23,"1,090.00","1,090.00","1,090.00","1,090.00",-0.91 %,50.00
ADBLD83,2025-02-24,"1,100.00","1,100.00","1,100.00","1,100.00",0.92 %,100.00
ADBLD83,2025-02-25,"1,100.00","1,100.00","1,100.00","1,100.00",0.00 %,25.00
ADBLD83,2025-03-04,"1,100.00","1,100.00","1,100.00","1,100.00",0.00 %,150.00
ADBLD83,2025-03-06,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82 %,"5,229.00"
ADBLD83,2025-03-09,"1,100.00","1,100.00","1,100.00","1,100.00",1.85 %,105.00
