"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ALICLP","2025-01-07","388","388","388","388","0.00 %","2,000.00"
"ALICLP","2024-10-06","312","312","312","312","0.00 %","530,000.00"
"ALICLP","2024-05-16","312","312","312","312","0.00 %","75,426.00"
"ALICLP","2024-03-07","308","308","308","308","0.00 %","25,000.00"
"ALICLP","2024-03-06","308","308","308","308","0.00 %","50,000.00"
"ALICLP","2024-03-05","308","308","308","308","0.00 %","50,000.00"
"ALICLP","2023-12-19","365","365","365","365","-1.88 %","214,699.00"
"ALICLP","2023-08-10","382","382","382","382","0.00 %","20,000.00"
"ALICLP","2023-03-14","340.1","340.1","340.1","340.1","0.00 %","12,267.00"
"ALICLP","2023-03-05","340.1","340.1","340.1","340.1","-1.99 %","114,500.00"
"ALICLP","2022-12-01","274","274","274","274","0.00 %","12,500.00"
"ALICLP","2022-07-03","317","317","317","317","0.00 %","94,095.00"
"ALICLP","2022-01-19","679","679","679","679","0.00 %","140,800.00"
"ALICLP","2021-11-30","679","679","679","679","0.00 %","3,648.00"
"ALICLP","2021-09-20","657","657","657","657","-1.94 %","10,000.00"
"ALICLP","2021-09-14","683.1","683.1","670","670","-3.87 %","20,000.00"
"ALICLP","2021-07-28","697","697","697","697","0.00 %","50,000.00"
"ALICLP","2021-07-27","697","697","697","697","0.00 %","216,000.00"
"ALICLP","2021-01-18","380","380","380","380","0.00 %","2,285.00"
"ALICLP","2020-12-28","380","380","380","380","0.00 %","5,988.00"
"ALICLP","2020-12-03","380","380","380","380","-0.01 %","200,000.00"
"ALICLP","2020-11-18","110","384","384","384","0.00 %","178,410.00"
"ALICLP","2020-10-11","384","384","384","384","-1.79 %","16,755.00"
"ALICLP","2020-09-06","391","391","391","391","0.00 %","55,576.00"
"ALICLP","2020-08-31","391","391","391","391","50.38 %","150,000.00"
"ALICLP","2020-06-29","260","260","260","260","0.00 %","25,000.00"
"ALICLP","2020-02-05","260","260","260","260","0.00 %","50,000.00"
"ALICLP","2020-01-16","260","260","260","260","0.00 %","37,440.00"
