"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BEDC","2025-01-07","803.3","803.3","738","750","-8.49 %","129,519.00"
"BEDC","2025-01-06","803.6","819.6","766.6","819.6","4.02 %","116,717.00"
"BEDC","2025-01-05","765","795.6","736","787.9","5.05 %","58,799.00"
"BEDC","2025-01-02","699.8","762.9","699.8","750","5.04 %","58,877.00"
"BEDC","2025-01-01","690.5","720","680","714","5.00 %","30,674.00"
"BEDC","2024-12-31","712","712","662","680","-2.72 %","49,737.00"
"BEDC","2024-12-29","692.9","730","690","699","-1.13 %","48,538.00"
"BEDC","2024-12-26","728.2","728.2","690","707","-4.85 %","56,131.00"
"BEDC","2024-12-24","729.3","743","718","743","3.92 %","65,038.00"
"BEDC","2024-12-23","701","742","684.2","715","0.46 %","115,382.00"
"BEDC","2024-12-22","679.8","711.7","672","711.7","2.61 %","108,511.00"
"BEDC","2024-12-19","649","693.6","649","693.6","5.09 %","78,407.00"
"BEDC","2024-12-18","627","665","627","660","3.94 %","72,549.00"
"BEDC","2024-12-17","641","641","616.1","635","0.79 %","36,960.00"
"BEDC","2024-12-16","640","640","620","630","-1.10 %","76,011.00"
"BEDC","2024-12-12","610","659.9","610","637","5.99 %","121,223.00"
"BEDC","2024-12-11","557","609","557","601","5.83 %","79,857.00"
"BEDC","2024-12-10","562","583.4","560","567.9","-0.37 %","24,372.00"
"BEDC","2024-12-09","562","585","562","570","-0.35 %","24,184.00"
"BEDC","2024-12-08","580","590","567","572","-1.38 %","35,155.00"
"BEDC","2024-12-05","566","596.7","566","580","0.89 %","47,867.00"
"BEDC","2024-12-04","570","589","565.1","574.9","-0.19 %","28,513.00"
"BEDC","2024-12-03","564","596","564","576","0.17 %","24,536.00"
"BEDC","2024-12-02","558","614","558","575","1.05 %","36,829.00"
"BEDC","2024-12-01","565","579","557.9","569","-1.22 %","40,024.00"
"BEDC","2024-11-28","565","587.9","565","576","0.63 %","31,073.00"
"BEDC","2024-11-27","555","588","555","572.4","1.67 %","36,092.00"
"BEDC","2024-11-26","547","571","547","563","1.55 %","32,452.00"
"BEDC","2024-11-25","540","560","540","554.4","0.98 %","25,138.00"
"BEDC","2024-11-24","539","558","539","549","0.00 %","30,806.00"
"BEDC","2024-11-21","550","580","543","549","-1.42 %","33,826.00"
"BEDC","2024-11-20","535","566","535","556.9","2.18 %","34,268.00"
"BEDC","2024-11-19","565","573","538","545","-5.38 %","73,746.00"
"BEDC","2024-11-17","526","576","526","576","7.44 %","75,113.00"
"BEDC","2024-11-14","513","545.6","513","536.1","2.50 %","44,813.00"
"BEDC","2024-11-13","528.2","530.9","508","523","0.98 %","26,855.00"
"BEDC","2024-11-12","505","520","505","517.9","0.68 %","31,766.00"
"BEDC","2024-11-11","495","519","495","514.4","1.86 %","38,142.00"
"BEDC","2024-11-10","481","509","481","505","3.08 %","26,227.00"
"BEDC","2024-11-06","475","493","474","489.9","1.85 %","10,779.00"
"BEDC","2024-11-05","475","488","467.2","481","-0.60 %","4,904.00"
"BEDC","2024-10-30","485","496","471.5","483.9","-1.53 %","8,171.00"
"BEDC","2024-10-29","475","493","475","491.4","2.61 %","17,042.00"
"BEDC","2024-10-28","456","483.9","456","478.9","3.21 %","21,732.00"
"BEDC","2024-10-27","460","487","460","464","-0.43 %","3,699.00"
"BEDC","2024-10-24","465","501","460.3","466","-0.85 %","4,974.00"
"BEDC","2024-10-23","461.2","477.9","461.2","470","0.00 %","5,492.00"
"BEDC","2024-10-22","448","475","448","470","3.75 %","12,681.00"
"BEDC","2024-10-21","464","473","451.9","453","-2.37 %","12,732.00"
"BEDC","2024-10-20","469","484","460","464","-2.42 %","17,814.00"
"BEDC","2024-10-17","466","502","466","475.5","0.15 %","13,515.00"
"BEDC","2024-10-16","481","481","464","474.8","0.42 %","7,414.00"
"BEDC","2024-10-15","479.4","479.4","459.1","472.8","0.60 %","1,257.00"
"BEDC","2024-10-09","457","474.3","448","470","0.86 %","2,505.00"
"BEDC","2024-10-08","465","470","453.8","466","-1.48 %","5,886.00"
"BEDC","2024-10-07","451","477","451","473","2.87 %","7,323.00"
"BEDC","2024-10-06","442","460","442","459.8","2.00 %","5,747.00"
"BEDC","2024-10-02","445","468.1","445","450.8","1.30 %","19,379.00"
"BEDC","2024-10-01","427.3","448","427.3","445","3.25 %","12,093.00"
"BEDC","2024-09-30","417.1","438.5","417.1","431","1.39 %","8,400.00"
"BEDC","2024-09-29","442","446.9","423.1","425.1","-4.90 %","11,584.00"
"BEDC","2024-09-26","471","472","445","447","-3.43 %","9,569.00"
"BEDC","2024-09-25","453","471.2","453","462.9","0.19 %","10,397.00"
"BEDC","2024-09-24","470","484.6","459","462","-3.35 %","8,854.00"
"BEDC","2024-09-23","512","512","463.2","478","-4.78 %","29,242.00"
"BEDC","2024-09-22","477","510","477","502","3.29 %","50,410.00"
"BEDC","2024-09-18","460","489.3","450","486","7.07 %","42,014.00"
"BEDC","2024-09-16","440","472","440","453.9","1.82 %","16,410.00"
"BEDC","2024-09-15","460","477","443.1","445.8","-2.88 %","13,756.00"
"BEDC","2024-09-12","432","468.1","432","459","5.28 %","12,820.00"
"BEDC","2024-09-11","441.7","449","428.6","436","-1.29 %","8,059.00"
"BEDC","2024-09-10","449","470","441.7","441.7","-2.30 %","5,209.00"
"BEDC","2024-09-09","452.2","464","447.2","452.1","-1.72 %","12,231.00"
"BEDC","2024-09-08","450","469","450","460","0.28 %","9,245.00"
"BEDC","2024-09-05","466","478.5","455","458.7","-2.24 %","7,844.00"
"BEDC","2024-09-04","484","491","456","469.2","-2.45 %","14,192.00"
"BEDC","2024-09-03","490","499","480","481","-1.84 %","9,819.00"
"BEDC","2024-09-02","471","492","462.2","490","4.26 %","14,712.00"
"BEDC","2024-09-01","467.5","496.2","462","470","-1.47 %","7,623.00"
"BEDC","2024-08-29","479.5","499.8","466","477","0.63 %","11,100.00"
"BEDC","2024-08-28","475","489","465","474","0.85 %","12,540.00"
"BEDC","2024-08-27","504.9","504.9","470","470","-5.05 %","14,146.00"
"BEDC","2024-08-25","504","505","482","495","-1.79 %","17,632.00"
"BEDC","2024-08-22","496","520","496","504","0.80 %","18,653.00"
"BEDC","2024-08-21","502","512.1","499","500","-1.96 %","15,024.00"
"BEDC","2024-08-18","525.3","534.4","509","510","-4.85 %","26,931.00"
"BEDC","2024-08-15","538","550","531.1","536","-0.72 %","26,108.00"
"BEDC","2024-08-14","538","545","515","539.9","0.35 %","28,158.00"
"BEDC","2024-08-13","520","550.8","511.1","538","2.87 %","45,412.00"
"BEDC","2024-08-12","510","534","506","523","2.55 %","37,230.00"
"BEDC","2024-08-11","499","520","490","510","4.08 %","49,760.00"
"BEDC","2024-08-08","482","502.8","482","490","0.20 %","32,211.00"
"BEDC","2024-08-07","463.6","509.2","463.6","489","3.38 %","31,360.00"
"BEDC","2024-08-06","510","510","455","473","-5.59 %","29,120.00"
"BEDC","2024-08-05","485","508.9","466","501","3.51 %","39,258.00"
"BEDC","2024-08-01","495","499.9","480.3","484","-1.85 %","29,462.00"
"BEDC","2024-07-31","497.6","513","478.2","493.1","1.07 %","39,097.00"
"BEDC","2024-07-30","484","494","476","487.9","0.81 %","33,257.00"
"BEDC","2024-07-29","480","497","472","484","0.41 %","41,922.00"
"BEDC","2024-07-28","491","504","474","482","-2.01 %","41,998.00"
"BEDC","2024-07-25","474","492","464","491.9","4.44 %","65,918.00"
"BEDC","2024-07-24","470","485","452","471","-1.05 %","44,409.00"
"BEDC","2024-07-23","466","480","465","476","2.15 %","37,007.00"
"BEDC","2024-07-22","470","475","456.7","466","0.00 %","42,725.00"
"BEDC","2024-07-21","465","475","460","466","-1.48 %","30,513.00"
"BEDC","2024-07-18","489","490","467","473","-1.36 %","38,664.00"
"BEDC","2024-07-17","470","491.6","463.1","479.5","2.48 %","63,196.00"
"BEDC","2024-07-16","448","473","440","467.9","5.38 %","47,518.00"
"BEDC","2024-07-15","448.8","448.8","431.5","444","0.91 %","29,251.00"
"BEDC","2024-07-14","444.7","453.5","430","440","0.92 %","17,652.00"
"BEDC","2024-07-11","436","439.5","429","436","1.63 %","21,751.00"
"BEDC","2024-07-10","420","434","417.6","429","0.70 %","10,233.00"
"BEDC","2024-07-09","422","429.2","420","426","1.24 %","13,640.00"
"BEDC","2024-07-08","432","432","420.1","420.8","-1.22 %","14,027.00"
"BEDC","2024-07-07","426","433","425.1","426","-1.16 %","17,967.00"
"BEDC","2024-07-04","432","440","427","431","-0.23 %","26,081.00"
"BEDC","2024-07-03","427","437.9","425.2","432","0.00 %","16,484.00"
"BEDC","2024-07-02","436.5","463","423","432","0.93 %","36,607.00"
"BEDC","2024-07-01","418.1","428","418.1","428","0.97 %","14,897.00"
"BEDC","2024-06-30","426","432","415","423.9","-0.45 %","21,403.00"
"BEDC","2024-06-27","432","432","421.1","425.8","-1.44 %","24,796.00"
"BEDC","2024-06-26","450","450.7","428","432","-2.24 %","37,134.00"
"BEDC","2024-06-25","423.3","442","413.5","441.9","6.48 %","51,494.00"
"BEDC","2024-06-24","397.4","418.7","397.4","415","3.49 %","25,934.00"
"BEDC","2024-06-23","397","408","395","401","-0.25 %","16,746.00"
"BEDC","2024-06-20","404","411.9","401","402","-0.99 %","14,548.00"
"BEDC","2024-06-19","403","411","402","406","0.74 %","14,188.00"
"BEDC","2024-06-18","417","417","402","403","-2.18 %","23,879.00"
"BEDC","2024-06-16","424.3","424.3","410.1","412","-0.96 %","22,474.00"
"BEDC","2024-06-13","406","426","406","416","1.24 %","25,782.00"
"BEDC","2024-06-12","420","428","409","410.9","-3.23 %","35,731.00"
"BEDC","2024-06-11","431","437","417","424.6","-1.03 %","41,137.00"
"BEDC","2024-06-10","421","438.6","418.1","429","1.90 %","51,228.00"
"BEDC","2024-06-09","398","430","398","421","6.05 %","76,200.00"
"BEDC","2024-06-06","378.3","416","378.3","397","2.85 %","27,406.00"
"BEDC","2024-06-05","390.1","404","380","386","-3.02 %","30,366.00"
"BEDC","2024-06-04","392","412","388","398","-0.50 %","25,796.00"
"BEDC","2024-06-03","415","418","398.9","400","-3.15 %","39,757.00"
"BEDC","2024-06-02","398","419","398","413","4.82 %","57,153.00"
"BEDC","2024-05-30","374","402","373.1","394","3.96 %","66,774.00"
"BEDC","2024-05-29","383","386.5","373","379","0.93 %","16,037.00"
"BEDC","2024-05-27","368","377","368","375.5","0.94 %","10,223.00"
"BEDC","2024-05-26","377","384","371","372","-1.33 %","11,998.00"
"BEDC","2024-05-22","386","391.9","376.1","377","-2.33 %","21,606.00"
"BEDC","2024-05-21","375","388","368.2","386","4.89 %","37,257.00"
"BEDC","2024-05-20","361.4","375","361.4","368","1.10 %","8,924.00"
"BEDC","2024-05-19","358","370.3","358","364","0.00 %","12,518.00"
"BEDC","2024-05-16","360","368","360","364","-0.27 %","5,690.00"
"BEDC","2024-05-15","381","381.5","363.1","365","-2.43 %","10,011.00"
"BEDC","2024-05-14","360","379.9","360","374.1","2.49 %","15,570.00"
"BEDC","2024-05-13","360","365","359.3","365","0.55 %","5,638.00"
"BEDC","2024-05-12","365","365","358","363","0.41 %","3,901.00"
"BEDC","2024-05-09","355.1","367","355.1","361.5","-0.14 %","5,964.00"
"BEDC","2024-05-08","355","365","355","362","0.28 %","6,513.00"
"BEDC","2024-05-07","356","369","356","361","-0.30 %","4,790.00"
"BEDC","2024-05-06","358","366","337.2","362.1","0.30 %","15,200.00"
"BEDC","2024-05-05","365.1","370.9","360","361","-2.70 %","9,493.00"
"BEDC","2024-05-02","373","379.5","367.5","371","-0.54 %","9,899.00"
"BEDC","2024-04-30","363","382","362","373","2.47 %","18,319.00"
"BEDC","2024-04-29","370.2","375","361.3","364","0.28 %","8,459.00"
"BEDC","2024-04-28","359.1","367","359.1","363","-0.82 %","10,426.00"
"BEDC","2024-04-25","365","376.9","363","366","-1.56 %","6,365.00"
"BEDC","2024-04-24","358.1","372","358.1","371.8","1.86 %","4,426.00"
"BEDC","2024-04-22","379.9","379.9","363","365","-2.12 %","18,736.00"
"BEDC","2024-04-21","366","374","361","372.9","1.89 %","12,258.00"
"BEDC","2024-04-18","361","370","361","366","0.27 %","13,042.00"
"BEDC","2024-04-16","370","382","365","365","-1.88 %","10,548.00"
"BEDC","2024-04-15","363.6","381.4","363.6","372","1.09 %","44,923.00"
"BEDC","2024-04-14","365","378","365","368","-0.81 %","14,735.00"
"BEDC","2024-04-10","365","379","365","371","2.51 %","17,983.00"
"BEDC","2024-04-09","370","384","358.2","361.9","-0.82 %","12,336.00"
"BEDC","2024-04-07","357","366","354","364.9","0.52 %","10,051.00"
"BEDC","2024-04-04","357","368","356","363","0.28 %","6,599.00"
"BEDC","2024-04-03","368","371","360","362","-3.47 %","12,129.00"
"BEDC","2024-04-02","386.9","393","368.1","375","-3.08 %","8,878.00"
"BEDC","2024-04-01","375","394","366.1","386.9","2.65 %","29,945.00"
"BEDC","2024-03-31","362.3","383","362.3","376.9","2.98 %","51,661.00"
"BEDC","2024-03-28","350.1","376.3","350.1","366","3.10 %","29,424.00"
"BEDC","2024-03-27","351","360","349.9","355","1.28 %","9,878.00"
"BEDC","2024-03-26","344","360.5","338","350.5","1.74 %","15,803.00"
"BEDC","2024-03-25","343","346.6","338.2","344.5","-1.57 %","3,867.00"
"BEDC","2024-03-21","340.1","361.9","340.1","350","0.95 %","4,609.00"
"BEDC","2024-03-20","357","357","346.2","346.7","-3.10 %","6,474.00"
"BEDC","2024-03-19","344","370.2","344","357.8","3.56 %","13,722.00"
"BEDC","2024-03-18","340","357.8","340","345.5","0.44 %","8,288.00"
"BEDC","2024-03-17","347.9","354","341","344","-3.07 %","12,580.00"
"BEDC","2024-03-14","348.9","363","348.9","354.9","-0.31 %","5,093.00"
"BEDC","2024-03-13","370.2","370.2","351.1","356","-1.93 %","6,279.00"
"BEDC","2024-03-12","360","363","353.6","363","-0.19 %","19,018.00"
"BEDC","2024-03-10","367","367","353","363.7","1.03 %","6,009.00"
"BEDC","2024-03-07","366","370","357","360","0.00 %","18,190.00"
"BEDC","2024-03-06","342","364.5","338","360","3.75 %","19,431.00"
"BEDC","2024-03-05","368","370","343.2","347","-3.96 %","20,010.00"
"BEDC","2024-03-04","334","361.3","334","361.3","8.17 %","1,580.00"
"BEDC","2024-03-03","329.3","345","327","334","-0.60 %","5,781.00"
"BEDC","2024-02-29","343.1","350","331.1","336","-3.45 %","9,560.00"
"BEDC","2024-02-28","361","361","342.3","348","-1.94 %","3,505.00"
"BEDC","2024-02-27","355","357.8","343.2","354.9","1.40 %","5,966.00"
"BEDC","2024-02-26","341.2","360","337.2","350","0.57 %","20,656.00"
"BEDC","2024-02-25","360","360","348","348","-3.39 %","17,922.00"
"BEDC","2024-02-22","370","382.5","356.2","360.2","-3.95 %","29,633.00"
"BEDC","2024-02-21","374.5","389","372.4","375","-1.83 %","20,549.00"
"BEDC","2024-02-20","388","393","380","382","-1.55 %","27,042.00"
"BEDC","2024-02-18","410","412.9","388","388","-3.51 %","63,536.00"
"BEDC","2024-02-15","390","407","390","402.1","3.90 %","69,757.00"
"BEDC","2024-02-14","375","387","373","387","4.17 %","52,274.00"
"BEDC","2024-02-13","371","386","352.8","371.5","0.95 %","93,283.00"
"BEDC","2024-02-12","363.1","368.2","351","368","3.37 %","38,845.00"
"BEDC","2024-02-11","354.1","369.3","354.1","356","0.88 %","31,147.00"
"BEDC","2024-02-08","340.7","360","340","352.9","3.73 %","39,196.00"
"BEDC","2024-02-07","347","351","336","340.2","-0.50 %","21,244.00"
"BEDC","2024-02-06","332.9","342.9","328","341.9","0.68 %","12,175.00"
"BEDC","2024-02-05","342","348.8","330.1","339.6","0.92 %","13,025.00"
"BEDC","2024-02-04","331.5","341","318.5","336.5","-0.44 %","34,706.00"
"BEDC","2024-02-01","353","353","334","338","-4.52 %","61,243.00"
"BEDC","2024-01-31","370","380","345.3","354","-3.73 %","40,295.00"
"BEDC","2024-01-30","355","372.3","352","367.7","3.29 %","56,140.00"
"BEDC","2024-01-29","330.3","364","330","356","5.64 %","84,807.00"
"BEDC","2024-01-28","333","352","321","337","1.20 %","15,752.00"
"BEDC","2024-01-25","330","336","317.5","333","2.87 %","31,828.00"
"BEDC","2024-01-24","335","337","318.1","323.7","-2.21 %","8,854.00"
"BEDC","2024-01-23","326.4","339","323.2","331","-0.60 %","11,015.00"
"BEDC","2024-01-22","341.9","345","325","333","-4.53 %","26,526.00"
"BEDC","2024-01-21","340","354","331","348.8","2.29 %","25,005.00"
"BEDC","2024-01-18","340","356","330","341","0.50 %","34,469.00"
"BEDC","2024-01-17","370","370","339.3","339.3","-10.00 %","98,055.00"
"BEDC","2024-01-16","384","385","365","377","0.00 %","18,711.00"
"BEDC","2024-01-14","372.3","388","364.9","377","1.26 %","23,177.00"
"BEDC","2024-01-11","339","372.3","339","372.3","9.86 %","43,939.00"
"BEDC","2024-01-10","333","339.1","321.5","338.9","3.32 %","51,452.00"
"BEDC","2024-01-09","345.2","352","322","328","-3.10 %","42,063.00"
"BEDC","2024-01-08","311","340","311","338.5","6.78 %","37,130.00"
"BEDC","2024-01-07","322","333","311","317","-3.18 %","48,808.00"
"BEDC","2024-01-04","323.8","336","315","327.4","2.96 %","71,396.00"
"BEDC","2024-01-03","286","319.9","286","318","9.32 %","50,155.00"
"BEDC","2024-01-02","280.1","300","280.1","290.9","2.07 %","27,347.00"
"BEDC","2024-01-01","293","304.9","284.2","285","-1.04 %","45,820.00"
"BEDC","2023-12-28","294","299","284","288","-0.38 %","25,958.00"
"BEDC","2023-12-27","285.6","297","275","289.1","3.25 %","38,620.00"
"BEDC","2023-12-24","278","310","278","280","-0.71 %","26,036.00"
"BEDC","2023-12-21","292","297.8","280.4","282","-3.42 %","20,811.00"
"BEDC","2023-12-20","302.1","309","281.1","292","-1.98 %","50,025.00"
"BEDC","2023-12-19","282","305","282","297.9","5.27 %","45,660.00"
"BEDC","2023-12-18","289","303","274.4","283","-0.28 %","49,797.00"
"BEDC","2023-12-17","253","283.8","248","283.8","10.00 %","46,849.00"
"BEDC","2023-12-14","245","259.7","240","258","6.57 %","24,189.00"
"BEDC","2023-12-13","240","261.1","237","242.1","0.88 %","25,137.00"
"BEDC","2023-12-12","228.1","248","225","240","3.40 %","24,646.00"
"BEDC","2023-12-11","242.7","242.7","222.1","232.1","-2.48 %","18,892.00"
"BEDC","2023-12-10","221.4","238.1","221.4","238","9.63 %","1,490.00"
"BEDC","2023-12-07","204","217.2","204","217.1","4.38 %","6,421.00"
"BEDC","2023-12-06","207","211","204.1","208","-1.42 %","3,239.00"
"BEDC","2023-12-05","217","217","206","211","-0.89 %","4,758.00"
"BEDC","2023-12-04","203","215.9","203","212.9","2.85 %","5,989.00"
"BEDC","2023-12-03","206","209.9","203.1","207","-1.38 %","2,371.00"
"BEDC","2023-11-30","210.8","215","203.1","209.9","-2.28 %","4,590.00"
"BEDC","2023-11-29","216","220","211.5","214.8","-0.56 %","4,768.00"
"BEDC","2023-11-28","211","219.5","211","216","0.37 %","2,918.00"
"BEDC","2023-11-27","218","222.3","212.6","215.2","-1.28 %","10,676.00"
"BEDC","2023-11-26","203.8","220.2","200.5","218","4.86 %","7,908.00"
"BEDC","2023-11-23","195.1","207.9","190.2","207.9","4.47 %","2,431.00"
"BEDC","2023-11-22","188.1","199.9","185","199","3.70 %","3,740.00"
