"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BGWT","2025-01-07","989.8","1027","989.8","1015","0.50 %","13,262.00"
"BGWT","2025-01-06","975","1015","955.6","1010","3.59 %","35,085.00"
"BGWT","2025-01-05","985","990","966","975","-0.41 %","6,162.00"
"BGWT","2025-01-02","940","1022","935.3","979","2.84 %","6,008.00"
"BGWT","2025-01-01","947.5","966","947.5","952","-0.83 %","8,459.00"
"BGWT","2024-12-31","975","975","941.2","960","-1.84 %","1,474.00"
"BGWT","2024-12-29","975","978","955.5","978","-1.21 %","7,665.00"
"BGWT","2024-12-26","1015.2","1015.2","980.1","990","-0.53 %","5,927.00"
"BGWT","2024-12-24","1010","1045","995","995.3","0.42 %","11,083.00"
"BGWT","2024-12-23","979.2","1029","959.7","991.1","3.24 %","24,946.00"
"BGWT","2024-12-22","963.1","982","951","960","-0.32 %","7,436.00"
"BGWT","2024-12-19","952","984.3","952","963.1","-0.19 %","9,584.00"
"BGWT","2024-12-18","969","975","951","964.9","0.62 %","2,840.00"
"BGWT","2024-12-17","969","975","938","959","-1.03 %","2,065.00"
"BGWT","2024-12-16","980","985","946.8","969","-1.52 %","4,540.00"
"BGWT","2024-12-12","1000","1016","971.1","984","-1.50 %","2,877.00"
"BGWT","2024-12-11","982","1000","965","999","1.73 %","2,640.00"
"BGWT","2024-12-10","921.2","987","920","982","4.91 %","5,118.00"
"BGWT","2024-12-09","945.7","972","935","936","-3.01 %","5,425.00"
"BGWT","2024-12-08","975.1","990","941","965","-3.02 %","7,461.00"
"BGWT","2024-12-05","1020","1020","980","995","-2.26 %","5,168.00"
"BGWT","2024-12-04","1015","1030","1010","1018","-0.59 %","4,597.00"
"BGWT","2024-12-03","1023.9","1034.9","1006.1","1024","0.01 %","3,758.00"
"BGWT","2024-12-02","1004","1024.9","1004","1023.9","1.38 %","5,961.00"
"BGWT","2024-12-01","1000","1011.8","990","1010","-0.98 %","7,409.00"
"BGWT","2024-11-28","1048.5","1048.5","1005","1020","-0.78 %","10,251.00"
"BGWT","2024-11-27","1025.9","1046.4","1006.5","1028","2.21 %","10,866.00"
"BGWT","2024-11-26","985.1","1023","985","1005.8","2.11 %","7,946.00"
"BGWT","2024-11-25","982","1005","982","985","0.31 %","10,487.00"
"BGWT","2024-11-24","1000","1012.9","980","982","-1.12 %","9,706.00"
"BGWT","2024-11-21","1060","1065","992","993.1","-4.69 %","9,598.00"
"BGWT","2024-11-20","1037","1050","1029","1042","0.39 %","8,642.00"
"BGWT","2024-11-19","1069","1084","1022","1038","-2.81 %","18,108.00"
"BGWT","2024-11-17","990","1080","967","1068","8.43 %","39,441.00"
"BGWT","2024-11-14","993","993","965","985","-0.81 %","19,302.00"
"BGWT","2024-11-13","990","993","974","993","0.30 %","6,885.00"
"BGWT","2024-11-12","999.6","1000","968","990","0.30 %","13,692.00"
"BGWT","2024-11-11","979","1000","965","987","0.80 %","12,778.00"
"BGWT","2024-11-10","930","979.2","930","979.2","4.73 %","12,745.00"
"BGWT","2024-11-06","946","964","935","935","-1.16 %","3,744.00"
"BGWT","2024-11-05","941","974.1","941","946","-1.46 %","7,699.00"
"BGWT","2024-10-30","950","960","920","960","1.05 %","7,891.00"
"BGWT","2024-10-29","945","953","926.1","950","0.53 %","4,029.00"
"BGWT","2024-10-28","927","945","911.1","945","1.94 %","4,412.00"
"BGWT","2024-10-27","933.3","940","900.4","927","1.31 %","2,382.00"
"BGWT","2024-10-24","939","939","908","915","-0.71 %","2,937.00"
"BGWT","2024-10-23","975.1","975.1","921.5","921.5","-3.61 %","3,641.00"
"BGWT","2024-10-22","945","956","912.4","956","0.63 %","6,026.00"
"BGWT","2024-10-21","940","955","895","950","1.43 %","12,615.00"
"BGWT","2024-10-20","938","960","936.6","936.6","-2.13 %","6,350.00"
"BGWT","2024-10-17","975","980.9","957","957","-1.85 %","4,651.00"
"BGWT","2024-10-16","951","978","951","975","1.56 %","4,375.00"
"BGWT","2024-10-15","978","979","950","960","0.00 %","3,576.00"
"BGWT","2024-10-09","940","969","933.1","960","0.66 %","11,522.00"
"BGWT","2024-10-08","920","953.7","920","953.7","2.00 %","6,642.00"
"BGWT","2024-10-07","914","940","914","935","2.07 %","4,933.00"
"BGWT","2024-10-06","897","924","897","916","0.22 %","5,442.00"
"BGWT","2024-10-02","901.8","918","890","914","-0.65 %","6,992.00"
"BGWT","2024-10-01","907","925","890","920","3.37 %","7,383.00"
"BGWT","2024-09-30","904","904","883","890","-2.20 %","5,295.00"
"BGWT","2024-09-29","895.8","910","870","910","-0.44 %","8,274.00"
"BGWT","2024-09-26","900","918","880","914","-0.44 %","8,290.00"
"BGWT","2024-09-25","923","923","873","918","-1.29 %","6,015.00"
"BGWT","2024-09-24","925","930","871","930","-0.02 %","11,320.00"
"BGWT","2024-09-23","900","930.2","857.6","930.2","2.00 %","12,941.00"
"BGWT","2024-09-22","947","948.5","901.1","912","-1.94 %","5,079.00"
"BGWT","2024-09-18","918.4","930","900.3","930","1.27 %","3,273.00"
"BGWT","2024-09-16","1002.1","1009","952","955.1","-4.01 %","12,559.00"
"BGWT","2024-09-15","990","1034","972","995","1.95 %","29,112.00"
"BGWT","2024-09-12","943","980","943","976","1.46 %","13,056.00"
"BGWT","2024-09-11","978","978","923","962","0.31 %","8,345.00"
"BGWT","2024-09-10","968.8","968.8","926","959","0.96 %","9,012.00"
"BGWT","2024-09-09","953.7","970","937","949.9","-2.37 %","7,215.00"
"BGWT","2024-09-08","980","994.5","955","973","0.41 %","18,636.00"
"BGWT","2024-09-05","970","970","929.1","969","1.79 %","11,692.00"
"BGWT","2024-09-04","985","985","931","952","-1.55 %","10,571.00"
"BGWT","2024-09-03","989.5","995","966.1","967","-1.63 %","9,552.00"
"BGWT","2024-09-02","945.5","983","930","983","5.70 %","9,245.00"
"BGWT","2024-09-01","958","969.9","927","930","-2.97 %","9,030.00"
"BGWT","2024-08-29","930","958.5","928","958.5","1.32 %","9,171.00"
"BGWT","2024-08-28","931","965","922","946","-0.32 %","12,155.00"
"BGWT","2024-08-27","930","955","915","949","0.42 %","16,616.00"
"BGWT","2024-08-25","981","999.6","945","945","-4.45 %","13,429.00"
"BGWT","2024-08-22","986","999","967.1","989","0.51 %","13,474.00"
"BGWT","2024-08-21","980","990","960","984","-1.40 %","16,299.00"
"BGWT","2024-08-18","1022","1024","987","998","-2.54 %","19,501.00"
"BGWT","2024-08-15","1046","1060","1007","1024","-2.10 %","26,416.00"
"BGWT","2024-08-14","1040","1060.8","1031","1046","0.48 %","15,570.00"
"BGWT","2024-08-13","1090","1095","1034","1041","-3.16 %","16,838.00"
"BGWT","2024-08-12","1101.8","1105","1047.2","1075","-0.48 %","23,153.00"
"BGWT","2024-08-11","1049.1","1080.2","1038","1080.2","2.97 %","27,229.00"
"BGWT","2024-08-08","1076","1110","1036","1049","-2.24 %","22,876.00"
"BGWT","2024-08-07","1077.1","1144","1040","1073","1.61 %","20,842.00"
"BGWT","2024-08-06","1080","1171.2","1028.1","1056","-0.83 %","59,688.00"
"BGWT","2024-08-05","975","1064.8","971","1064.8","10.00 %","44,986.00"
"BGWT","2024-08-01","978","996","965","968","-1.02 %","21,836.00"
"BGWT","2024-07-31","965","995.9","952","978","1.98 %","24,044.00"
"BGWT","2024-07-30","970","973","948","959","-0.62 %","21,494.00"
"BGWT","2024-07-29","940.1","976","936.1","965","2.22 %","12,987.00"
"BGWT","2024-07-28","969","989.4","942","944","-0.64 %","13,357.00"
"BGWT","2024-07-25","980","980","948.3","950.1","-2.78 %","17,731.00"
"BGWT","2024-07-24","1000","1008","977.2","977.3","-1.28 %","16,606.00"
"BGWT","2024-07-23","961","994","960","990","2.91 %","19,608.00"
"BGWT","2024-07-22","970","985","955","962","-0.62 %","23,304.00"
"BGWT","2024-07-21","975","999.6","965.1","968","-0.93 %","20,480.00"
"BGWT","2024-07-18","1011.8","1011.8","977","977.1","-1.50 %","33,911.00"
"BGWT","2024-07-17","1000.1","1025","980","992","-1.78 %","23,677.00"
"BGWT","2024-07-16","1000","1015","983.1","1010","2.30 %","27,665.00"
"BGWT","2024-07-15","1021","1035","984","987.3","-1.37 %","38,398.00"
"BGWT","2024-07-14","972.9","1012","953.5","1001","4.94 %","39,788.00"
"BGWT","2024-07-11","957","960","946","953.9","1.48 %","31,072.00"
"BGWT","2024-07-10","930","951","914.1","940","2.97 %","24,846.00"
"BGWT","2024-07-09","899","912.9","895.1","912.9","2.00 %","23,739.00"
"BGWT","2024-07-08","901","912.9","890","895","-0.56 %","10,334.00"
"BGWT","2024-07-07","900","913","890","900","0.22 %","23,365.00"
"BGWT","2024-07-04","915","921.9","890","898","-1.86 %","9,570.00"
"BGWT","2024-07-03","921.6","936","882","915","-2.70 %","37,314.00"
"BGWT","2024-07-02","936.3","974.1","899","940.4","2.44 %","30,035.00"
"BGWT","2024-07-01","897","923.1","897","918","0.66 %","5,582.00"
"BGWT","2024-06-30","927","927","911.1","912","-1.62 %","9,772.00"
"BGWT","2024-06-27","932","962","924","927","-2.42 %","11,888.00"
"BGWT","2024-06-26","972","1049","934.9","950","-0.41 %","30,135.00"
"BGWT","2024-06-25","944.9","975","927","953.9","2.90 %","22,513.00"
"BGWT","2024-06-24","946.5","956","926","927","-2.02 %","12,856.00"
"BGWT","2024-06-23","969","985","936","946.1","-0.41 %","22,831.00"
"BGWT","2024-06-20","1005","1005","949.2","950","-5.47 %","37,974.00"
"BGWT","2024-06-19","988","1067","952","1005","3.61 %","30,491.00"
"BGWT","2024-06-18","1017.9","1037.9","942","970","-4.71 %","19,063.00"
"BGWT","2024-06-16","1153","1153","1017.9","1017.9","-10.00 %","15,250.00"
"BGWT","2024-06-13","1208.4","1208.4","1109.7","1131","-8.27 %","11,598.00"
"BGWT","2024-06-12","1234.4","1361.7","1133.6","1233","-2.10 %","19,265.00"
"BGWT","2024-06-11","1122.1","1259.5","1030.5","1259.5","10.00 %","35,850.00"
"BGWT","2024-06-10","1179.1","1320","1082.8","1145","-4.83 %","23,408.00"
"BGWT","2024-06-09","1094","1203.1","1000","1203.1","9.99 %","27,952.00"
"BGWT","2024-06-06","975","1093.8","975","1093.8","10.00 %","18,798.00"
"BGWT","2024-06-05","886","994.4","868","994.4","10.00 %","34,479.00"
"BGWT","2024-06-04","882","974","840","904","0.44 %","26,345.00"
"BGWT","2024-06-03","863","916","830","900","2.20 %","25,679.00"
"BGWT","2024-06-02","851.8","880.6","787","880.6","5.45 %","28,680.00"
"BGWT","2024-05-30","774.3","835.1","766","835.1","10.00 %","62,453.00"
"BGWT","2024-05-29","704","759.2","700","759.2","10.00 %","88,455.00"
"BGWT","2024-05-27","665","739.2","665","690.2","2.71 %","36,525.00"
"BGWT","2024-05-26","700","704","672","672","-5.88 %","18,364.00"
"BGWT","2024-05-22","694","776","682.1","714","1.13 %","35,386.00"
"BGWT","2024-05-21","719","743","695","706","-3.19 %","72,170.00"
"BGWT","2024-05-20","673","729.3","650","729.3","10.00 %","55,030.00"
"BGWT","2024-05-19","637","663","635","663","2.00 %","23,280.00"
"BGWT","2024-05-16","616.2","655","616.2","650","3.68 %","32,841.00"
"BGWT","2024-05-15","630","642.6","615","626.9","-0.65 %","22,153.00"
"BGWT","2024-05-14","600","632","596.1","631","6.59 %","49,613.00"
"BGWT","2024-05-13","595","595","583.1","592","0.83 %","1,845.00"
"BGWT","2024-05-12","595","603","587.1","587.1","-1.89 %","5,198.00"
"BGWT","2024-05-09","598","599.9","586.1","598.4","0.07 %","6,294.00"
"BGWT","2024-05-08","584","600","584","598","0.67 %","2,343.00"
"BGWT","2024-05-07","580","600","580","594","1.83 %","3,888.00"
"BGWT","2024-05-06","580","599","580","583.3","-0.80 %","3,650.00"
"BGWT","2024-05-05","605","605","587.1","588","-2.81 %","3,236.00"
"BGWT","2024-05-02","609","618.2","602","605","-0.82 %","3,989.00"
"BGWT","2024-04-30","607","616","600.5","610","0.35 %","13,778.00"
"BGWT","2024-04-29","610","610","595.2","607.9","-0.33 %","2,880.00"
"BGWT","2024-04-28","590","609.9","585","609.9","3.72 %","11,065.00"
"BGWT","2024-04-25","589","589","579.1","588","-0.17 %","6,740.00"
"BGWT","2024-04-24","580","596.7","580","589","0.68 %","1,810.00"
"BGWT","2024-04-22","600","621.9","580.1","585","-1.02 %","4,594.00"
"BGWT","2024-04-21","600","600","582","591","0.00 %","3,970.00"
"BGWT","2024-04-18","600","604.4","588","591","-2.35 %","4,870.00"
"BGWT","2024-04-16","610","619","601","605.2","-2.70 %","4,177.00"
"BGWT","2024-04-15","620","632","618","622","0.66 %","31,575.00"
"BGWT","2024-04-14","616","622","600","617.9","2.13 %","24,418.00"
"BGWT","2024-04-10","599","612.1","598","605","-0.66 %","5,241.00"
"BGWT","2024-04-09","593.1","610","593.1","609","1.64 %","9,635.00"
"BGWT","2024-04-07","592.1","609.9","592.1","599.2","-0.68 %","2,029.00"
"BGWT","2024-04-04","600","603.3","590.2","603.3","-0.77 %","6,291.00"
"BGWT","2024-04-03","605","613","594.1","608","1.16 %","6,684.00"
"BGWT","2024-04-02","607","610","601","601","-2.91 %","2,160.00"
"BGWT","2024-04-01","615","619.9","604","619","-1.10 %","17,630.00"
"BGWT","2024-03-31","620","656","605.3","625.9","1.77 %","7,736.00"
"BGWT","2024-03-28","607","616.7","603","615","-0.49 %","6,507.00"
"BGWT","2024-03-27","630","630","605.1","618","-0.18 %","11,470.00"
"BGWT","2024-03-26","637","637","612.5","619.1","-4.75 %","18,410.00"
"BGWT","2024-03-25","620","657","600","650","2.78 %","11,876.00"
"BGWT","2024-03-21","610","663","608.2","632.4","3.00 %","23,909.00"
"BGWT","2024-03-20","644.8","644.8","610","614","-6.67 %","33,930.00"
"BGWT","2024-03-19","608","657.9","591","657.9","9.29 %","16,575.00"
"BGWT","2024-03-18","581.1","645.7","581.1","602","2.56 %","8,966.00"
"BGWT","2024-03-17","587","595","587","587","-1.84 %","4,765.00"
"BGWT","2024-03-14","592","600","589","598","-0.99 %","8,477.00"
"BGWT","2024-03-13","590","610","589","604","0.50 %","5,024.00"
"BGWT","2024-03-12","585.5","601","577.1","601","4.69 %","14,079.00"
"BGWT","2024-03-10","575","584.9","568.2","574.1","-0.16 %","8,988.00"
"BGWT","2024-03-07","566","580","566","575","1.59 %","5,456.00"
"BGWT","2024-03-06","565.7","585","565.7","566","-1.89 %","7,405.00"
"BGWT","2024-03-05","599","599","567.5","576.9","-3.69 %","6,219.00"
"BGWT","2024-03-04","576","599","576","599","6.02 %","240.00"
"BGWT","2024-03-03","569","569","548","565","-2.25 %","4,845.00"
"BGWT","2024-02-29","581","581","561","578","-1.03 %","8,558.00"
"BGWT","2024-02-28","568.1","584","567.7","584","0.86 %","14,551.00"
"BGWT","2024-02-27","590","590","570","579","-1.86 %","2,640.00"
"BGWT","2024-02-26","581.2","590","569","590","-0.34 %","6,550.00"
"BGWT","2024-02-25","595","595","566","592","-0.50 %","7,199.00"
"BGWT","2024-02-22","595","600","581.2","595","-0.83 %","10,140.00"
"BGWT","2024-02-21","594.1","610","594.1","600","-0.83 %","8,868.00"
"BGWT","2024-02-20","586.3","606.9","586.1","605","1.51 %","18,812.00"
"BGWT","2024-02-18","605","606.3","595.1","596","-3.25 %","8,652.00"
"BGWT","2024-02-15","615","625","607.1","616","-0.16 %","9,883.00"
"BGWT","2024-02-14","620","637","615","617","-2.33 %","10,972.00"
"BGWT","2024-02-13","630","634.4","615","631.7","0.43 %","18,287.00"
"BGWT","2024-02-12","607.6","639","607.6","629","1.45 %","9,146.00"
"BGWT","2024-02-11","632","632","609","620","-0.24 %","31,579.00"
"BGWT","2024-02-08","620","640","597","621.5","-1.66 %","24,648.00"
"BGWT","2024-02-07","659","659","610","632","-2.62 %","31,730.00"
"BGWT","2024-02-06","662","689.5","623.5","649","-0.14 %","10,980.00"
"BGWT","2024-02-05","633.1","710","620","649.9","0.60 %","28,825.00"
"BGWT","2024-02-04","592.9","646","590.1","646","6.78 %","24,794.00"
"BGWT","2024-02-01","608","610","590.1","605","-2.42 %","10,095.00"
"BGWT","2024-01-31","612","620","590","620","1.31 %","28,262.00"
"BGWT","2024-01-30","600","620","583","612","3.55 %","35,369.00"
"BGWT","2024-01-29","566.3","595.9","566.3","591","2.78 %","19,958.00"
"BGWT","2024-01-28","562","581","562","575","0.88 %","12,004.00"
"BGWT","2024-01-25","553","575","552","570","1.24 %","13,339.00"
"BGWT","2024-01-24","578.5","580","550.1","563","-0.74 %","8,008.00"
"BGWT","2024-01-23","566.5","578","560.2","567.2","-1.87 %","5,524.00"
"BGWT","2024-01-22","568.9","586","562","578","-0.34 %","14,318.00"
"BGWT","2024-01-21","586","600","572","580","-2.85 %","17,183.00"
"BGWT","2024-01-18","591.8","597.9","570","597","-1.13 %","20,337.00"
"BGWT","2024-01-17","587","603.8","567","603.8","0.97 %","23,335.00"
"BGWT","2024-01-16","577.7","598","558","598","3.64 %","36,138.00"
"BGWT","2024-01-14","565","582","563.2","577","2.49 %","18,537.00"
"BGWT","2024-01-11","555","570","552","563","1.42 %","10,255.00"
"BGWT","2024-01-10","564","575","555.1","555.1","-3.29 %","7,992.00"
"BGWT","2024-01-09","585","593","565","574","-1.78 %","23,928.00"
"BGWT","2024-01-08","572.4","590","555","584.4","0.07 %","25,259.00"
"BGWT","2024-01-07","570","588.9","547.6","584","2.46 %","29,562.00"
"BGWT","2024-01-04","549.8","590","549.8","570","1.60 %","30,252.00"
"BGWT","2024-01-03","502","561","502","561","10.00 %","21,702.00"
"BGWT","2024-01-02","497.9","510","497.9","510","0.39 %","15,680.00"
"BGWT","2024-01-01","528","538","506","508","-3.79 %","11,187.00"
"BGWT","2023-12-28","532","538","525","528","-0.75 %","12,276.00"
"BGWT","2023-12-27","516","542.9","516","532","1.10 %","21,147.00"
"BGWT","2023-12-24","550","574.9","525","526.2","-5.70 %","30,713.00"
"BGWT","2023-12-21","504.7","558","490.5","558","8.35 %","33,285.00"
"BGWT","2023-12-20","515","520","493","515","1.98 %","31,910.00"
"BGWT","2023-12-19","485","505","481","505","2.23 %","16,673.00"
"BGWT","2023-12-18","495","504","475","494","1.44 %","30,405.00"
"BGWT","2023-12-17","453","499","452","487","5.41 %","43,595.00"
"BGWT","2023-12-14","461.1","472","454.1","462","-1.70 %","17,738.00"
"BGWT","2023-12-13","470","494","458.8","470","-1.47 %","19,877.00"
"BGWT","2023-12-12","455","484.9","445.9","477","4.84 %","13,807.00"
"BGWT","2023-12-11","449.8","464","432","455","3.17 %","37,059.00"
"BGWT","2023-12-10","435.6","450","435.6","441","3.25 %","3,650.00"
"BGWT","2023-12-07","430","443.3","427.1","427.1","-1.75 %","14,212.00"
"BGWT","2023-12-06","417.1","435","417.1","434.7","2.28 %","9,610.00"
"BGWT","2023-12-05","426.3","430","418","425","-2.30 %","5,080.00"
"BGWT","2023-12-04","440","445","410","435","0.69 %","15,943.00"
"BGWT","2023-12-03","426.6","432","413","432","3.28 %","6,337.00"
"BGWT","2023-11-30","422","438","417","418.3","-2.72 %","5,820.00"
"BGWT","2023-11-29","438","443","425.3","430","-1.83 %","6,210.00"
