Symbol,Date,Open,High,Low,Close,Percent Change,Volume
BOKD86,2025-01-09,"1,045.10","1,045.10","1,045.10","1,045.10",-1.41 %,50.00
BOKD86,2025-01-19,"1,035.00","1,040.00","1,022.00","1,022.00",-2.21 %,250.00
BOKD86,2025-01-21,"1,025.00","1,025.00","1,025.00","1,025.00",0.29 %,30.00
BOKD86,2025-01-22,"1,025.00","1,030.00","1,025.00","1,030.00",0.49 %,80.00
BOKD86,2025-01-23,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,25.00
BOKD86,2025-01-27,"1,027.20","1,027.20","1,027.20","1,027.20",-0.27 %,25.00
BOKD86,2025-01-28,"1,029.00","1,029.00","1,029.00","1,029.00",0.18 %,25.00
BOKD86,2025-02-02,"1,040.00","1,040.00","1,030.20","1,030.20",0.12 %,260.00
BOKD86,2025-02-03,"1,030.00","1,031.00","1,030.00","1,031.00",0.08 %,50.00
BOKD86,2025-02-04,"1,032.00","1,032.00","1,032.00","1,032.00",0.10 %,25.00
BOKD86,2025-02-05,"1,030.00","1,030.00","1,030.00","1,030.00",-0.19 %,50.00
BOKD86,2025-02-06,"1,049.00","1,049.00","1,049.00","1,049.00",1.84 %,50.00
BOKD86,2025-02-09,"1,040.00","1,040.00","1,040.00","1,040.00",-0.86 %,425.00
BOKD86,2025-02-10,"1,040.00","1,060.00","1,040.00","1,060.00",1.92 %,273.00
BOKD86,2025-02-16,"1,039.00","1,039.00","1,039.00","1,039.00",-1.98 %,85.00
BOKD86,2025-02-18,"1,022.10","1,028.00","1,022.10","1,028.00",-1.06 %,55.00
BOKD86,2025-02-23,"1,040.00","1,045.00","1,040.00","1,045.00",1.65 %,101.00
BOKD86,2025-03-05,"1,025.00","1,025.00","1,025.00","1,025.00",-1.91 %,100.00
BOKD86,2025-03-10,"1,025.10","1,025.10","1,025.10","1,025.10",0.01 %,10.00
BOKD86,2025-03-11,"1,045.00","1,045.60","1,045.00","1,045.60",2.00 %,60.00
BOKD86,2025-03-12,"1,025.00","1,025.00","1,025.00","1,025.00",-1.97 %,25.00
