"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"C30MF","2025-01-07","9.19","9.2","9.19","9.2","0.22 %","300.00"
"C30MF","2025-01-06","9.1","9.18","9","9.18","0.77 %","1,500.00"
"C30MF","2025-01-05","9.26","9.26","9.11","9.11","-3.50 %","16,420.00"
"C30MF","2025-01-02","9.45","9.63","9.27","9.44","1.83 %","700.00"
"C30MF","2025-01-01","9.1","9.45","9.1","9.27","1.87 %","3,800.00"
"C30MF","2024-12-31","8.94","9.1","8.93","9.1","-0.11 %","2,850.00"
"C30MF","2024-12-29","9.29","9.5","9.11","9.11","-1.83 %","28,600.00"
"C30MF","2024-12-26","9.28","9.28","9.28","9.28","-1.80 %","200.00"
"C30MF","2024-12-24","9.44","9.45","9.44","9.45","-1.87 %","420.00"
"C30MF","2024-12-23","9.83","9.83","9.45","9.63","-0.21 %","10,800.00"
"C30MF","2024-12-22","9.48","9.65","9.48","9.65","1.90 %","2,320.00"
"C30MF","2024-12-19","9.66","9.66","9.47","9.47","-3.86 %","200.00"
"C30MF","2024-12-18","9.73","9.85","9.73","9.85","3.25 %","11,100.00"
"C30MF","2024-12-17","9.54","9.54","9.54","9.54","-1.95 %","4,900.00"
"C30MF","2024-12-16","9.73","9.73","9.73","9.73","-1.92 %","100.00"
"C30MF","2024-12-12","9.92","9.92","9.92","9.92","1.74 %","100.00"
"C30MF","2024-12-11","9.3","9.75","9.29","9.75","2.96 %","267,100.00"
"C30MF","2024-12-10","9.29","9.47","9.2","9.47","0.00 %","80,000.00"
"C30MF","2024-12-09","9.58","9.85","9.47","9.47","0.64 %","10,870.00"
"C30MF","2024-12-08","9.41","9.41","9.41","9.41","-1.98 %","100.00"
"C30MF","2024-12-05","9.44","9.6","9.44","9.6","-0.31 %","21,100.00"
"C30MF","2024-12-04","9.63","9.63","9.45","9.63","1.90 %","10,286.00"
"C30MF","2024-12-03","9.6","9.7","9.45","9.45","-1.36 %","8,100.00"
"C30MF","2024-12-02","9.32","9.58","9.32","9.58","2.24 %","10,355.00"
"C30MF","2024-12-01","9.62","9.62","9.32","9.37","-0.74 %","11,960.00"
"C30MF","2024-11-28","9.44","9.44","9.44","9.44","0.00 %","200.00"
"C30MF","2024-11-27","9.26","9.44","9.25","9.44","2.72 %","500.00"
"C30MF","2024-11-26","9.19","9.19","9.19","9.19","-0.11 %","100.00"
"C30MF","2024-11-25","9.61","9.61","9.13","9.2","-5.06 %","58,050.00"
"C30MF","2024-11-24","9.48","9.69","9.48","9.69","2.00 %","1,350.00"
"C30MF","2024-11-21","9.48","9.79","9.48","9.5","-1.45 %","22,850.00"
"C30MF","2024-11-20","9.48","9.83","9.47","9.64","0.00 %","7,600.00"
"C30MF","2024-11-19","9.46","9.64","9.46","9.64","-0.10 %","17,086.00"
"C30MF","2024-11-17","9.9","10.1","9.65","9.65","-3.50 %","20,170.00"
"C30MF","2024-11-14","9.94","10.1","9.9","10","2.15 %","234,985.00"
"C30MF","2024-11-13","9.42","9.79","9.41","9.79","2.09 %","61,400.00"
"C30MF","2024-11-12","9.49","9.59","9.15","9.59","3.01 %","42,214.00"
"C30MF","2024-11-11","9.3","9.31","9.3","9.31","-1.27 %","2,100.00"
"C30MF","2024-11-10","9.23","9.43","9.23","9.43","0.32 %","21,700.00"
"C30MF","2024-11-06","9.4","9.41","9.4","9.4","-1.47 %","400.00"
"C30MF","2024-11-05","9.55","9.55","9.36","9.54","-2.05 %","28,600.00"
"C30MF","2024-10-30","9.92","9.92","9.74","9.74","-0.10 %","12,415.00"
"C30MF","2024-10-29","9.61","9.75","9.24","9.75","-0.41 %","6,725.00"
"C30MF","2024-10-28","9.65","9.79","9.65","9.79","0.51 %","200.00"
"C30MF","2024-10-27","9.38","9.74","9.25","9.74","1.78 %","4,490.00"
"C30MF","2024-10-24","9.58","9.58","9.57","9.57","-1.75 %","10,100.00"
"C30MF","2024-10-23","9.55","9.74","9.55","9.74","0.00 %","2,300.00"
"C30MF","2024-10-22","9.38","9.74","9.38","9.74","1.88 %","400.00"
"C30MF","2024-10-21","9.67","9.75","9.56","9.56","-3.04 %","6,800.00"
"C30MF","2024-10-20","9.5","9.86","9.49","9.86","3.79 %","4,500.00"
"C30MF","2024-10-17","9.64","9.64","9.45","9.5","-1.14 %","10,100.00"
"C30MF","2024-10-16","9.28","9.61","9.25","9.61","1.91 %","5,800.00"
"C30MF","2024-10-15","9.57","9.57","9.43","9.43","-1.67 %","14,100.00"
"C30MF","2024-10-09","10.37","10.37","9.59","9.59","-9.36 %","33,110.00"
"C30MF","2024-10-08","10.44","10.59","10.44","10.58","1.34 %","216,580.00"
"C30MF","2024-10-07","10.18","10.47","10.18","10.44","0.77 %","384,100.00"
"C30MF","2024-10-06","10.21","10.36","10.1","10.36","1.47 %","274,550.00"
"C30MF","2024-10-02","10.2","10.24","10.15","10.21","0.49 %","18,000.00"
"C30MF","2024-10-01","10.1","10.18","10.1","10.16","0.59 %","87,900.00"
"C30MF","2024-09-30","9.98","10.15","9.88","10.1","3.17 %","1,201,420.00"
"C30MF","2024-09-29","9.47","9.79","9.47","9.79","1.35 %","900.00"
"C30MF","2024-09-26","9.83","9.83","9.65","9.66","-1.73 %","53,730.00"
"C30MF","2024-09-25","9.83","9.84","9.83","9.83","-1.70 %","4,000.00"
"C30MF","2024-09-24","9.96","10","9.86","10","2.35 %","3,300.00"
"C30MF","2024-09-23","9.74","9.77","9.74","9.77","-1.61 %","750.00"
"C30MF","2024-09-22","10.13","10.13","9.93","9.93","-3.87 %","500.00"
"C30MF","2024-09-18","9.9","10.33","9.8","10.33","3.92 %","800.00"
"C30MF","2024-09-16","10.01","10.01","9.93","9.94","-0.60 %","92,500.00"
"C30MF","2024-09-15","10.29","10.29","10","10","-0.89 %","22,000.00"
"C30MF","2024-09-12","9.93","10.09","9.93","10.09","1.92 %","400.00"
"C30MF","2024-09-11","9.99","10.05","9.86","9.9","-2.85 %","516,000.00"
"C30MF","2024-09-10","10.19","10.39","9.99","10.19","1.90 %","501,500.00"
"C30MF","2024-09-09","10","10.1","9.83","10","-1.96 %","8,100.00"
"C30MF","2024-09-08","10.3","10.35","10","10.2","-1.92 %","1,900.00"
"C30MF","2024-09-05","10.03","10.4","10.03","10.4","1.76 %","1,800.00"
"C30MF","2024-09-04","9.83","10.22","9.83","10.22","3.97 %","20,400.00"
"C30MF","2024-09-03","10","10.25","9.63","9.83","-3.06 %","174,100.00"
"C30MF","2024-09-02","10.3","10.3","10.1","10.14","0.40 %","3,240.00"
"C30MF","2024-09-01","10.13","10.2","10.09","10.1","-0.39 %","6,600.00"
"C30MF","2024-08-29","10.29","10.29","10.14","10.14","-3.43 %","600.00"
"C30MF","2024-08-28","10.2","10.5","10.04","10.5","3.96 %","613,750.00"
"C30MF","2024-08-27","10.29","10.29","10.09","10.1","-3.81 %","29,600.00"
"C30MF","2024-08-25","10.44","10.65","10.1","10.5","2.44 %","813,500.00"
"C30MF","2024-08-22","10.2","10.25","10.11","10.25","0.69 %","3,100.00"
"C30MF","2024-08-21","10","10.18","9.86","10.18","1.80 %","82,480.00"
"C30MF","2024-08-18","10.5","10.5","9.89","10","-4.31 %","3,900.00"
"C30MF","2024-08-15","9.89","10.45","9.72","10.45","5.45 %","118,600.00"
"C30MF","2024-08-14","10.3","10.3","9.86","9.91","-4.71 %","32,750.00"
"C30MF","2024-08-13","10.29","10.49","9.73","10.4","-0.95 %","21,420.00"
"C30MF","2024-08-12","9.95","10.92","9.95","10.5","5.74 %","54,800.00"
"C30MF","2024-08-11","10.53","10.53","9.93","9.93","-7.54 %","28,800.00"
"C30MF","2024-08-08","10.48","10.75","9.93","10.74","0.47 %","587,100.00"
"C30MF","2024-08-07","9.9","10.69","9.9","10.69","7.76 %","798,800.00"
"C30MF","2024-08-06","9.9","10","9.9","9.92","-1.39 %","56,900.00"
"C30MF","2024-08-05","9.87","10.1","9.87","10.06","0.50 %","442,900.00"
"C30MF","2024-08-01","9.8","10.1","9.8","10.01","2.77 %","1,842,550.00"
"C30MF","2024-07-31","9.73","9.92","9.73","9.74","0.10 %","5,900.00"
"C30MF","2024-07-30","9.9","10.09","9.72","9.73","-1.72 %","21,000.00"
"C30MF","2024-07-29","9.81","10.01","9.61","9.9","-0.90 %","449,500.00"
"C30MF","2024-07-28","9.37","9.99","9.22","9.99","6.28 %","382,920.00"
"C30MF","2024-07-25","9.01","9.4","9.01","9.4","5.50 %","1,146,750.00"
"C30MF","2024-07-24","9.27","9.6","8.91","8.91","-5.71 %","225,900.00"
"C30MF","2024-07-23","9.25","9.5","9.25","9.45","0.32 %","3,550.00"
"C30MF","2024-07-22","9.5","9.5","9.42","9.42","-1.88 %","13,650.00"
"C30MF","2024-07-21","9.2","9.6","9.2","9.6","4.80 %","22,600.00"
"C30MF","2024-07-18","8.99","9.29","8.99","9.16","0.55 %","2,500.00"
"C30MF","2024-07-17","9.48","9.48","8.82","9.11","-5.79 %","41,700.00"
"C30MF","2024-07-16","9.85","9.85","9.67","9.67","-3.30 %","1,200.00"
"C30MF","2024-07-15","9.67","10.05","9.11","10","5.37 %","16,800.00"
"C30MF","2024-07-14","9.9","9.9","8.99","9.49","-2.27 %","1,470.00"
"C30MF","2024-07-11","8.83","9.71","8.83","9.71","9.97 %","31,800.00"
"C30MF","2024-07-10","9.13","9.13","8.83","8.83","-5.16 %","2,700.00"
"C30MF","2024-07-08","9.42","9.42","9.3","9.31","0.76 %","29,800.00"
"C30MF","2024-07-07","9.18","9.25","9.18","9.24","1.76 %","3,000.00"
"C30MF","2024-07-04","8.9","9.08","8.9","9.08","0.89 %","52,900.00"
"C30MF","2024-07-03","8.88","9.04","8.87","9","3.33 %","1,600.00"
"C30MF","2024-07-02","8.68","8.71","8.68","8.71","0.35 %","200.00"
"C30MF","2024-07-01","8.66","8.68","8.66","8.68","-0.91 %","200.00"
"C30MF","2024-06-30","8.7","8.76","8.7","8.76","0.00 %","83,500.00"
"C30MF","2024-06-27","8.75","8.76","8.75","8.76","-1.46 %","1,300.00"
"C30MF","2024-06-26","8.6","8.89","8.6","8.89","1.95 %","600.00"
"C30MF","2024-06-25","8.55","8.72","8.55","8.72","2.23 %","200.00"
"C30MF","2024-06-24","8.45","8.69","8.45","8.53","-0.35 %","1,400.00"
"C30MF","2024-06-23","8.72","8.72","8.56","8.56","0.12 %","600.00"
"C30MF","2024-06-20","8.6","8.7","8.55","8.55","0.94 %","1,000.00"
"C30MF","2024-06-19","8.46","8.47","8.46","8.47","-1.40 %","200.00"
"C30MF","2024-06-18","8.75","8.75","8.59","8.59","-0.35 %","400.00"
"C30MF","2024-06-16","8.6","8.62","8.6","8.62","0.47 %","600.00"
"C30MF","2024-06-13","8.45","8.58","8.45","8.58","0.35 %","600.00"
"C30MF","2024-06-12","8.45","8.55","8.29","8.55","-0.81 %","550.00"
"C30MF","2024-06-10","8.55","8.62","8.55","8.62","-1.15 %","500.00"
"C30MF","2024-06-09","8.7","8.72","8.7","8.72","-1.13 %","2,400.00"
"C30MF","2024-06-06","8.82","8.82","8.82","8.82","-2.00 %","100.00"
"C30MF","2024-06-05","8.83","9","8.66","9","3.93 %","1,630.00"
"C30MF","2024-06-04","8.9","8.9","8.66","8.66","-3.78 %","300.00"
"C30MF","2024-06-03","8.83","9","8.83","9","2.97 %","3,400.00"
"C30MF","2024-06-02","8.74","8.74","8.74","8.74","-1.91 %","100.00"
"C30MF","2024-05-30","8.91","8.91","8.91","8.91","-1.98 %","200.00"
"C30MF","2024-05-29","9","9.1","9","9.09","-0.98 %","6,200.00"
"C30MF","2024-05-27","9","9.18","9","9.18","0.00 %","200.00"
"C30MF","2024-05-26","9","9.18","9","9.18","2.46 %","400.00"
"C30MF","2024-05-22","8.79","8.96","8.79","8.96","1.93 %","5,900.00"
"C30MF","2024-05-21","8.62","8.79","8.52","8.79","0.00 %","1,400.00"
"C30MF","2024-05-20","8.46","8.79","8.46","8.79","5.90 %","2,050.00"
"C30MF","2024-05-19","8.27","8.3","8.13","8.3","0.36 %","900.00"
"C30MF","2024-05-16","8.42","8.42","8.26","8.27","-1.19 %","600.00"
"C30MF","2024-05-15","8.21","8.37","8.21","8.37","1.21 %","200.00"
"C30MF","2024-05-14","8.15","8.4","8.15","8.27","-0.48 %","1,100.00"
"C30MF","2024-05-13","8.65","8.65","8.3","8.31","-2.24 %","640.00"
"C30MF","2024-05-12","8.5","8.51","8.5","8.5","1.80 %","600.00"
"C30MF","2024-05-09","8.6","8.6","8.31","8.35","-1.42 %","2,300.00"
"C30MF","2024-05-08","8.47","8.47","8.47","8.47","-1.97 %","100.00"
"C30MF","2024-05-07","8.64","8.64","8.64","8.64","-1.93 %","200.00"
"C30MF","2024-05-06","8.81","8.81","8.81","8.81","0.00 %","100.00"
"C30MF","2024-05-05","8.81","8.81","8.81","8.81","1.97 %","100.00"
"C30MF","2024-05-02","8.6","8.64","8.6","8.64","1.89 %","300.00"
"C30MF","2024-04-30","8.55","8.55","8.46","8.48","-1.40 %","300.00"
"C30MF","2024-04-29","8.5","8.6","8.5","8.6","-0.35 %","500.00"
"C30MF","2024-04-25","8.46","8.63","8.46","8.63","0.00 %","1,400.00"
"C30MF","2024-04-24","8.8","8.8","8.63","8.63","-1.93 %","600.00"
"C30MF","2024-04-21","8.73","8.8","8.73","8.8","-1.12 %","4,800.00"
"C30MF","2024-04-16","8.75","8.9","8.75","8.9","1.71 %","500.00"
"C30MF","2024-04-15","8.75","8.75","8.75","8.75","1.98 %","200.00"
"C30MF","2024-04-14","8.58","8.58","8.58","8.58","-1.15 %","100.00"
"C30MF","2024-04-10","9.03","9.03","8.68","8.68","-4.09 %","1,100.00"
"C30MF","2024-04-09","9.05","9.05","9.05","9.05","-1.95 %","100.00"
"C30MF","2024-04-04","9.3","9.3","9.23","9.23","-1.70 %","22,400.00"
"C30MF","2024-04-03","9.35","9.39","9.35","9.39","-0.11 %","1,300.00"
"C30MF","2024-04-02","9.22","9.4","9.22","9.4","0.00 %","2,400.00"
"C30MF","2024-04-01","9.3","9.4","9.3","9.4","1.08 %","1,500.00"
"C30MF","2024-03-31","9.02","9.3","9.02","9.3","1.09 %","600.00"
"C30MF","2024-03-28","9.12","9.2","9.12","9.2","-1.08 %","5,300.00"
"C30MF","2024-03-27","9.45","9.45","9.3","9.3","0.32 %","15,000.00"
"C30MF","2024-03-26","9.27","9.27","9.27","9.27","0.00 %","600.00"
"C30MF","2024-03-25","8.92","9.27","8.92","9.27","1.87 %","1,700.00"
"C30MF","2024-03-21","9.28","9.28","9.1","9.1","0.00 %","1,000.00"
"C30MF","2024-03-20","8.9","9.1","8.9","9.1","1.11 %","1,900.00"
"C30MF","2024-03-19","9","9.15","9","9","-1.64 %","22,450.00"
"C30MF","2024-03-18","8.8","9.15","8.8","9.15","3.98 %","37,300.00"
"C30MF","2024-03-17","8.73","8.9","8.73","8.8","0.80 %","1,800.00"
"C30MF","2024-03-14","8.55","8.73","8.55","8.73","2.11 %","2,400.00"
"C30MF","2024-03-13","8.3","8.55","8.3","8.55","2.40 %","1,200.00"
"C30MF","2024-03-12","8.18","8.4","8.18","8.35","0.48 %","2,300.00"
"C30MF","2024-03-10","8.31","8.31","8.31","8.31","0.00 %","700.00"
"C30MF","2024-03-07","8.12","8.31","8.12","8.31","0.48 %","800.00"
"C30MF","2024-03-06","8.11","8.27","8.11","8.27","0.24 %","300.00"
"C30MF","2024-03-05","8.21","8.41","8.21","8.25","0.49 %","950.00"
"C30MF","2024-03-03","8.21","8.22","8.21","8.21","-1.68 %","800.00"
"C30MF","2024-02-29","8.33","8.35","8.33","8.35","-1.76 %","200.00"
"C30MF","2024-02-28","8.42","8.5","8.42","8.5","0.95 %","5,200.00"
"C30MF","2024-02-27","8.42","8.42","8.42","8.42","-1.98 %","1,000.00"
"C30MF","2024-02-26","8.53","8.59","8.53","8.59","-1.26 %","200.00"
"C30MF","2024-02-25","8.53","8.7","8.53","8.7","0.00 %","8,780.00"
"C30MF","2024-02-22","8.53","8.7","8.53","8.7","0.00 %","1,000.00"
"C30MF","2024-02-21","8.8","8.8","8.63","8.7","-0.80 %","770.00"
"C30MF","2024-02-20","8.68","8.77","8.6","8.77","1.04 %","2,500.00"
"C30MF","2024-02-18","8.68","8.85","8.59","8.68","-1.92 %","2,711.00"
"C30MF","2024-02-15","8.68","8.85","8.68","8.85","0.00 %","900.00"
"C30MF","2024-02-14","8.85","8.85","8.85","8.85","0.00 %","100.00"
"C30MF","2024-02-13","8.7","8.85","8.7","8.85","0.00 %","300.00"
"C30MF","2024-02-12","8.68","8.85","8.68","8.85","0.00 %","2,300.00"
"C30MF","2024-02-11","8.85","8.85","8.85","8.85","-1.78 %","400.00"
"C30MF","2024-02-08","8.84","9.01","8.84","9.01","1.92 %","600.00"
"C30MF","2024-02-07","9.2","9.29","8.84","8.84","-4.84 %","2,550.00"
"C30MF","2024-02-06","8.6","9.29","8.6","9.29","5.93 %","2,100.00"
"C30MF","2024-02-05","8.39","8.77","8.39","8.77","2.45 %","5,000.00"
"C30MF","2024-02-04","8.55","8.56","8.55","8.56","-1.83 %","500.00"
"C30MF","2024-02-01","8.77","8.77","8.72","8.72","-0.57 %","400.00"
"C30MF","2024-01-31","8.6","8.77","8.6","8.77","3.42 %","600.00"
"C30MF","2024-01-30","8.32","8.48","8.32","8.48","0.59 %","400.00"
"C30MF","2024-01-29","8.39","8.43","8.39","8.43","-1.40 %","500.00"
"C30MF","2024-01-28","8.39","8.55","8.39","8.55","0.00 %","1,700.00"
"C30MF","2024-01-25","8.5","8.55","8.45","8.55","0.47 %","1,000.00"
"C30MF","2024-01-24","8.35","8.51","8.35","8.51","0.12 %","2,400.00"
"C30MF","2024-01-23","8.4","8.5","8.4","8.5","-0.70 %","200.00"
"C30MF","2024-01-22","8.4","8.56","8.4","8.56","2.39 %","1,600.00"
"C30MF","2024-01-21","8.2","8.36","8.2","8.36","0.36 %","1,100.00"
"C30MF","2024-01-18","8.23","8.5","8.23","8.33","-0.60 %","2,100.00"
"C30MF","2024-01-17","8.4","8.45","8.13","8.38","1.58 %","1,210.00"
"C30MF","2024-01-16","8.15","8.32","8.15","8.25","1.23 %","600.00"
"C30MF","2024-01-14","8.11","8.27","8.11","8.15","-1.21 %","800.00"
"C30MF","2024-01-11","8.39","8.56","8.24","8.25","-3.62 %","500,800.00"
"C30MF","2024-01-10","8.72","8.72","8.56","8.56","0.12 %","1,200.00"
"C30MF","2024-01-09","8.5","8.67","8.5","8.55","-1.38 %","2,300.00"
"C30MF","2024-01-08","8.51","8.84","8.51","8.67","0.00 %","102,000.00"
"C30MF","2024-01-07","8.5","8.67","8.5","8.67","0.00 %","2,700.00"
"C30MF","2024-01-04","8.46","8.67","8.46","8.67","2.00 %","1,600.00"
"C30MF","2024-01-03","8.5","8.5","8.5","8.5","0.00 %","400.00"
"C30MF","2024-01-02","8.5","8.5","8.5","8.5","-1.16 %","900.00"
"C30MF","2024-01-01","8.53","8.6","8.53","8.6","-1.15 %","1,860.00"
"C30MF","2023-12-28","8.8","8.97","8.7","8.7","-1.14 %","1,800.00"
"C30MF","2023-12-27","8.7","8.8","8.7","8.8","0.00 %","1,200.00"
"C30MF","2023-12-24","8.8","8.97","8.8","8.8","-0.79 %","1,200.00"
"C30MF","2023-12-21","8.63","8.87","8.63","8.87","0.80 %","1,000.00"
"C30MF","2023-12-20","8.8","8.97","8.8","8.8","-1.57 %","900.00"
"C30MF","2023-12-19","8.6","8.94","8.6","8.94","2.05 %","3,800.00"
"C30MF","2023-12-18","8.2","8.76","8.2","8.76","6.83 %","2,000.00"
"C30MF","2023-12-17","8","8.25","7.9","8.2","1.86 %","2,900.00"
"C30MF","2023-12-14","8","8.05","8","8.05","-1.23 %","800.00"
"C30MF","2023-12-13","8.13","8.16","8","8.15","1.88 %","2,450.00"
"C30MF","2023-12-12","8","8","8","8","0.63 %","900.00"
"C30MF","2023-12-11","8","8","7.8","7.95","-1.73 %","600.00"
"C30MF","2023-12-07","8.09","8.09","8.09","8.09","1.89 %","2,000.00"
"C30MF","2023-12-06","7.71","7.94","7.71","7.94","1.02 %","500.00"
"C30MF","2023-12-05","7.61","7.86","7.61","7.86","1.81 %","600.00"
"C30MF","2023-12-04","7.72","7.72","7.72","7.72","-1.40 %","500.00"
"C30MF","2023-11-30","7.81","7.85","7.81","7.83","1.56 %","700.00"
"C30MF","2023-11-29","7.71","7.71","7.71","7.71","0.00 %","100.00"
"C30MF","2023-11-28","7.75","7.75","7.69","7.71","0.52 %","1,300.00"
"C30MF","2023-11-27","7.67","7.67","7.67","7.67","-1.29 %","100.00"
"C30MF","2023-11-26","7.76","7.77","7.76","7.77","-1.65 %","1,300.00"
"C30MF","2023-11-23","7.62","7.9","7.62","7.9","1.94 %","1,400.00"
"C30MF","2023-11-22","7.68","7.75","7.68","7.75","0.00 %","300.00"
"C30MF","2023-11-21","7.88","7.9","7.75","7.75","0.26 %","900.00"
"C30MF","2023-11-20","7.67","7.73","7.67","7.73","-1.02 %","200.00"
"C30MF","2023-11-09","7.75","7.81","7.75","7.81","-1.14 %","300.00"
"C30MF","2023-11-08","7.9","7.9","7.9","7.9","-0.75 %","200.00"
"C30MF","2023-11-07","7.96","7.96","7.96","7.96","1.92 %","100.00"
"C30MF","2023-11-06","7.81","7.81","7.81","7.81","0.00 %","300.00"
"C30MF","2023-11-05","7.8","7.84","7.8","7.81","-0.38 %","500.00"
"C30MF","2023-11-01","7.84","7.84","7.84","7.84","-1.51 %","300.00"
"C30MF","2023-10-31","7.92","7.96","7.81","7.96","0.51 %","600.00"
"C30MF","2023-10-30","7.89","7.92","7.89","7.92","-0.75 %","1,000.00"
"C30MF","2023-10-29","7.85","7.98","7.8","7.98","1.92 %","500.00"
"C30MF","2023-10-19","7.89","7.89","7.83","7.83","-1.88 %","200.00"
"C30MF","2023-10-18","7.98","7.98","7.98","7.98","0.13 %","100.00"
"C30MF","2023-10-17","7.97","8","7.97","7.97","0.89 %","400.00"
"C30MF","2023-10-16","7.89","8","7.89","7.9","-1.25 %","1,000.00"
"C30MF","2023-10-12","7.9","8","7.9","8","0.00 %","600.00"
"C30MF","2023-10-11","8.1","8.15","7.91","8","0.00 %","600.00"
"C30MF","2023-10-10","7.92","8","7.92","8","1.52 %","1,000.00"
"C30MF","2023-10-09","7.93","7.93","7.88","7.88","-0.63 %","500.00"
"C30MF","2023-10-08","7.9","7.93","7.9","7.93","0.00 %","1,200.00"
"C30MF","2023-10-05","7.83","7.93","7.83","7.93","-0.25 %","1,100.00"
"C30MF","2023-10-04","7.84","7.95","7.84","7.95","0.13 %","1,000.00"
"C30MF","2023-10-03","7.93","7.94","7.93","7.94","-0.75 %","300.00"
"C30MF","2023-10-02","8.01","8.01","7.96","8","-1.11 %","600.00"
"C30MF","2023-10-01","7.95","8.25","7.95","8.09","0.00 %","600.00"
"C30MF","2023-09-27","7.9","8.16","7.9","8.09","2.28 %","3,210.00"
"C30MF","2023-09-26","7.83","7.92","7.83","7.91","-0.63 %","900.00"
"C30MF","2023-09-25","7.99","8.1","7.95","7.96","-1.97 %","1,250.00"
"C30MF","2023-09-24","8.01","8.12","8.01","8.12","-0.25 %","1,050.00"
"C30MF","2023-09-21","8.14","8.32","8.14","8.14","-1.93 %","2,100.00"
"C30MF","2023-09-19","8.32","8.32","8.3","8.3","-0.24 %","300.00"
"C30MF","2023-09-18","8.32","8.32","8.32","8.32","0.00 %","100.00"
"C30MF","2023-09-17","8.4","8.4","8.3","8.32","-0.95 %","900.00"
