"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CBLD88","2025-01-07","1171","1171","1171","1171","0.00 %","1,000.00"
"CBLD88","2025-01-06","1177","1177","1171","1171","-0.51 %","30.00"
"CBLD88","2025-01-05","1165","1200","1154","1177","2.97 %","745.00"
"CBLD88","2025-01-02","1160","1160","1143","1143","-0.61 %","50.00"
"CBLD88","2024-12-31","1138.1","1150","1138.1","1150","-0.95 %","75.00"
"CBLD88","2024-12-26","1161","1161","1161","1161","-1.98 %","25.00"
"CBLD88","2024-12-24","1184.5","1184.5","1184.5","1184.5","0.02 %","25.00"
"CBLD88","2024-12-23","1142.4","1185","1142.4","1184.3","3.67 %","685.00"
"CBLD88","2024-12-18","1142.4","1142.4","1142.4","1142.4","2.00 %","10.00"
"CBLD88","2024-12-16","1120","1120","1120","1120","0.00 %","5.00"
"CBLD88","2024-12-12","1140","1140","1120","1120","-0.88 %","125.00"
"CBLD88","2024-12-10","1142.4","1142.4","1130","1130","0.89 %","130.00"
"CBLD88","2024-12-09","1120","1120","1120","1120","-1.50 %","25.00"
"CBLD88","2024-12-08","1115","1137","1115","1137","2.34 %","50.00"
"CBLD88","2024-12-05","1111","1111","1111","1111","0.00 %","50.00"
"CBLD88","2024-12-04","1111","1111","1111","1111","-1.68 %","25.00"
"CBLD88","2024-12-03","1120","1141","1119","1130","-0.73 %","155.00"
"CBLD88","2024-12-02","1125","1138.3","1125","1138.3","2.00 %","35.00"
"CBLD88","2024-11-28","1116","1116","1116","1116","-0.89 %","25.00"
"CBLD88","2024-11-27","1126","1126","1126","1126","0.45 %","50.00"
"CBLD88","2024-11-26","1137","1137","1121","1121","-3.36 %","50.00"
"CBLD88","2024-11-24","1102.7","1187.9","1102.7","1160","7.30 %","757.00"
"CBLD88","2024-11-20","1124.1","1124.1","1081.1","1081.1","-5.75 %","640.00"
"CBLD88","2024-11-17","1147","1147","1147","1147","0.92 %","120.00"
"CBLD88","2024-11-13","1133","1136.5","1133","1136.5","-1.64 %","55.00"
"CBLD88","2024-11-12","1169","1178.9","1155.4","1155.4","-2.15 %","655.00"
"CBLD88","2024-11-10","1135","1180.8","1135","1180.8","6.11 %","675.00"
"CBLD88","2024-11-06","1080.2","1112.8","1080.2","1112.8","2.55 %","675.00"
"CBLD88","2024-11-05","1126.6","1126.6","1083","1085.1","-5.60 %","725.00"
"CBLD88","2024-10-28","1127","1149.5","1127","1149.5","0.22 %","160.00"
"CBLD88","2024-10-27","1120","1147","1120","1147","2.41 %","50.00"
"CBLD88","2024-10-24","1120","1120","1120","1120","-0.44 %","30.00"
"CBLD88","2024-10-22","1125","1125","1125","1125","0.00 %","25.00"
"CBLD88","2024-10-21","1115","1147","1115","1125","0.90 %","129.00"
"CBLD88","2024-10-20","1141","1183","1136.3","1115","-0.45 %","710.00"
"CBLD88","2024-10-17","1119","1120","1119","1120","-1.75 %","280.00"
"CBLD88","2024-10-16","1090","1163","1090","1140","4.59 %","1,375.00"
"CBLD88","2024-10-15","1100","1100","1090","1090","-0.91 %","75.00"
"CBLD88","2024-10-09","1101","1101","1101","1100","-0.72 %","54.00"
"CBLD88","2024-10-08","1108","1108","1108","1108","0.73 %","25.00"
"CBLD88","2024-10-06","1110","1110","1100","1100","0.00 %","225.00"
"CBLD88","2024-10-02","1100","1100","1100","1100","-0.27 %","150.00"
"CBLD88","2024-10-01","1103","1103","1103","1103","-1.96 %","30.00"
"CBLD88","2024-09-30","1095","1147","1095","1125","2.74 %","475.00"
"CBLD88","2024-09-29","1095","1095","1095","1095","-1.97 %","25.00"
"CBLD88","2024-09-26","1117","1117","1117","1117","0.00 %","100.00"
