"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CCBD88","2025-01-07","1160","1167","1160","1167","-0.68 %","75.00"
"CCBD88","2025-01-06","1181","1250","1173","1175","-0.51 %","1,291.00"
"CCBD88","2025-01-05","1142.1","1205","1142.1","1181","3.41 %","900.00"
"CCBD88","2025-01-02","1152","1152","1141.6","1142.1","-0.86 %","1,214.00"
"CCBD88","2025-01-01","1157","1157","1151","1152","-2.37 %","100.00"
"CCBD88","2024-12-31","1168","1180","1168","1180","0.86 %","110.00"
"CCBD88","2024-12-29","1147","1169.9","1147","1169.9","0.35 %","125.00"
"CCBD88","2024-12-26","1165.8","1165.8","1165.8","1165.8","1.99 %","100.00"
"CCBD88","2024-12-24","1181","1181","1143","1143","-5.15 %","325.00"
"CCBD88","2024-12-23","1150","1205","1150","1205","6.17 %","585.00"
"CCBD88","2024-12-22","1135","1135","1135","1135","-1.53 %","50.00"
"CCBD88","2024-12-17","1130","1152.6","1130","1152.6","2.00 %","35.00"
"CCBD88","2024-12-11","1152.6","1220","1130","1130","0.00 %","1,100.00"
"CCBD88","2024-12-10","1127","1130","1127","1130","0.27 %","30.00"
"CCBD88","2024-12-09","1127","1127","1127","1127","0.17 %","50.00"
"CCBD88","2024-12-08","1122.3","1125.1","1122.2","1125.1","0.28 %","1,025.00"
"CCBD88","2024-12-05","1140","1140","1118","1122","-3.48 %","100.00"
"CCBD88","2024-12-02","1162.5","1162.5","1162.5","1162.5","0.00 %","25.00"
"CCBD88","2024-11-27","1118","1186.3","1118","1162.5","6.06 %","335.00"
"CCBD88","2024-11-25","1096.1","1096.1","1096.1","1096.1","1.99 %","27.00"
"CCBD88","2024-11-24","1141.7","1141.7","1074.7","1074.7","-7.75 %","210.00"
"CCBD88","2024-11-20","1141","1165","1141","1165","0.43 %","75.00"
"CCBD88","2024-11-17","1213.5","1213.5","1160","1160","-4.41 %","50.00"
"CCBD88","2024-11-14","1190","1213.5","1190","1213.5","1.97 %","210.00"
"CCBD88","2024-11-06","1190","1190","1190","1190","0.42 %","50.00"
"CCBD88","2024-11-05","1172","1185","1172","1185","1.98 %","80.00"
"CCBD88","2024-10-30","1160","1162","1160","1162","1.09 %","30.00"
"CCBD88","2024-10-29","1149.5","1149.5","1149.5","1149.5","2.00 %","15.00"
"CCBD88","2024-10-28","1130","1130","1127","1127","-1.57 %","50.00"
"CCBD88","2024-10-27","1143","1145","1143","1145","2.13 %","70.00"
"CCBD88","2024-10-24","1121.1","1121.1","1121.1","1121.1","-0.18 %","50.00"
"CCBD88","2024-10-23","1123.1","1123.1","1123.1","1123.1","0.55 %","25.00"
"CCBD88","2024-10-22","1117","1117","1117","1117","-0.27 %","25.00"
"CCBD88","2024-10-21","1120","1120","1120","1120","0.27 %","55.00"
"CCBD88","2024-10-20","1117","1117","1117","1117","0.00 %","25.00"
"CCBD88","2024-10-17","1103","1117","1103","1117","1.45 %","275.00"
"CCBD88","2024-10-08","1101","1101","1101","1101","-0.37 %","25.00"
"CCBD88","2024-10-06","1100","1105.1","1100","1105.1","-0.55 %","40.00"
"CCBD88","2024-10-01","1111.2","1111.2","1111.2","1111.2","-0.34 %","25.00"
"CCBD88","2024-09-29","1110","1115","1110","1115","0.00 %","50.00"
"CCBD88","2024-09-26","1115","1115","1115","1115","-1.34 %","150.00"
"CCBD88","2024-09-25","1129","1130.1","1129","1130.1","1.99 %","75.00"
"CCBD88","2024-09-24","1108","1108","1108","1108","0.00 %","50.00"
"CCBD88","2024-09-23","1109","1109","1108","1108","0.00 %","200.00"
"CCBD88","2024-09-22","1108","1108","1108","1108","0.00 %","25.00"
"CCBD88","2024-09-18","1108","1108","1108","1108","0.00 %","25.00"
"CCBD88","2024-09-15","1108","1108","1108","1108","0.09 %","75.00"
"CCBD88","2024-09-11","1107","1107","1107","1107","-1.16 %","31.00"
"CCBD88","2024-09-10","1120","1120","1120","1120","0.90 %","75.00"
"CCBD88","2024-09-09","1107","1110","1107","1110","0.00 %","100.00"
"CCBD88","2024-09-02","1101","1110","1101","1110","0.82 %","211.00"
"CCBD88","2024-09-01","1101","1101","1101","1101","0.09 %","25.00"
"CCBD88","2024-08-29","1100","1100","1100","1100","0.00 %","25.00"
"CCBD88","2024-08-28","1100","1100","1100","1100","0.00 %","25.00"
"CCBD88","2024-08-25","1100","1100","1100","1100","0.00 %","100.00"
