Symbol,Date,Open,High,Low,Close,Percent Change,Volume
CIZBD90,2025-01-12,"1,181.00","1,181.00","1,181.00","1,181.00",-1.99 %,100.00
CIZBD90,2025-01-21,"1,158.00","1,158.00","1,113.00","1,113.00",-5.76 %,405.00
CIZBD90,2025-01-22,"1,135.20","1,135.20","1,135.20","1,135.20",1.99 %,4.00
CIZBD90,2025-01-26,"1,136.00","1,136.00","1,136.00","1,136.00",0.07 %,25.00
CIZBD90,2025-01-27,"1,122.00","1,122.00","1,122.00","1,122.00",-1.23 %,25.00
CIZBD90,2025-02-02,"1,180.00","1,180.00","1,180.00","1,180.00",5.17 %,508.00
CIZBD90,2025-02-05,"1,160.00","1,160.00","1,160.00","1,160.00",-1.69 %,25.00
CIZBD90,2025-02-09,"1,145.00","1,145.00","1,145.00","1,145.00",-1.29 %,25.00
CIZBD90,2025-02-12,"1,140.00","1,140.00","1,140.00","1,140.00",-0.44 %,55.00
CIZBD90,2025-02-17,"1,124.00","1,124.00","1,124.00","1,124.00",-1.40 %,25.00
CIZBD90,2025-02-20,"1,126.00","1,126.00","1,126.00","1,126.00",0.18 %,25.00
CIZBD90,2025-02-23,"1,156.00","1,156.00","1,156.00","1,156.00",2.66 %,119.00
CIZBD90,2025-02-24,"1,156.00","1,156.00","1,156.00","1,156.00",0.00 %,50.00
CIZBD90,2025-03-12,"1,132.90","1,132.90","1,132.90","1,132.90",-2.00 %,50.00
