"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CKHL","2025-01-07","775","777","754.6","764","-0.26 %","31,569.00"
"CKHL","2025-01-06","760","775","756.1","766","2.13 %","36,448.00"
"CKHL","2025-01-05","759.9","775","749.8","750","0.00 %","27,006.00"
"CKHL","2025-01-02","720","770","713.3","750","3.61 %","33,485.00"
"CKHL","2025-01-01","706","725","706","723.9","1.24 %","5,578.00"
"CKHL","2024-12-31","706","721.7","690","715","-0.28 %","23,774.00"
"CKHL","2024-12-29","749.8","754","715","717","-3.37 %","16,129.00"
"CKHL","2024-12-26","752.3","779","741.1","742","-3.34 %","16,589.00"
"CKHL","2024-12-24","799","800","765.1","767.6","-3.93 %","29,279.00"
"CKHL","2024-12-23","762","799.9","755.6","799","3.63 %","26,899.00"
"CKHL","2024-12-22","725","777","720","771","6.34 %","50,194.00"
"CKHL","2024-12-19","740","745.9","720","725","-0.96 %","20,992.00"
"CKHL","2024-12-18","692","737.8","672.2","732","7.65 %","41,843.00"
"CKHL","2024-12-17","675","689.9","667.2","680","0.00 %","5,386.00"
"CKHL","2024-12-16","700","700","673.2","680","-1.75 %","10,219.00"
"CKHL","2024-12-12","717","717.9","692","692.1","-1.68 %","10,189.00"
"CKHL","2024-12-11","686.4","704","672.9","703.9","4.59 %","13,221.00"
"CKHL","2024-12-10","685","695","673","673","-2.46 %","8,622.00"
"CKHL","2024-12-09","699.9","699.9","677.2","690","0.00 %","3,690.00"
"CKHL","2024-12-08","701","701","685.1","690","-1.57 %","9,189.00"
"CKHL","2024-12-05","712","714","695","701","-1.83 %","6,157.00"
"CKHL","2024-12-04","694","729.2","694","714.1","2.90 %","19,172.00"
"CKHL","2024-12-03","687.1","699.7","687.1","694","1.31 %","11,704.00"
"CKHL","2024-12-02","690","700","685","685","-0.72 %","8,895.00"
"CKHL","2024-12-01","687","699","680","690","-1.43 %","12,835.00"
"CKHL","2024-11-28","726.2","726.2","700","700","-1.69 %","14,097.00"
"CKHL","2024-11-27","719.1","719.1","706","712","0.99 %","18,835.00"
"CKHL","2024-11-26","713.8","713.8","688.2","705","0.73 %","12,527.00"
"CKHL","2024-11-25","704.9","704.9","688","699.9","0.34 %","9,932.00"
"CKHL","2024-11-24","699","711","684","697.5","0.36 %","15,152.00"
"CKHL","2024-11-21","656","719","655","695","4.03 %","45,333.00"
"CKHL","2024-11-20","670","690","656.6","668.1","-1.53 %","13,906.00"
"CKHL","2024-11-19","701","712","678.5","678.5","-3.07 %","14,882.00"
"CKHL","2024-11-17","704.8","721.8","700","700","1.30 %","14,067.00"
"CKHL","2024-11-14","688","729","688","691","0.98 %","38,357.00"
"CKHL","2024-11-13","672.1","685.5","658.6","684.3","1.82 %","15,064.00"
"CKHL","2024-11-12","677.7","694.9","671.4","672.1","-0.58 %","4,908.00"
"CKHL","2024-11-11","705","705","676","676","-2.31 %","8,820.00"
"CKHL","2024-11-10","660","700","659.5","692","5.01 %","18,878.00"
"CKHL","2024-11-06","639","662","639","659","1.38 %","6,417.00"
"CKHL","2024-11-05","650","656","643.3","650","-0.76 %","1,397.00"
"CKHL","2024-10-30","667.9","667.9","646.7","655","0.00 %","5,554.00"
"CKHL","2024-10-29","647.1","663.1","647.1","655","1.24 %","5,357.00"
"CKHL","2024-10-28","626.4","651.2","626.4","647","1.33 %","2,026.00"
"CKHL","2024-10-27","632","644.7","628.3","638.5","1.03 %","3,413.00"
"CKHL","2024-10-24","630","635","625.1","632","0.00 %","2,312.00"
"CKHL","2024-10-23","640","640","632","632","-1.25 %","2,389.00"
"CKHL","2024-10-22","630","640","627.4","640","1.59 %","4,100.00"
"CKHL","2024-10-21","638","642","623","630","-3.08 %","2,900.00"
"CKHL","2024-10-20","668.1","668.1","640.3","650","-0.76 %","2,080.00"
"CKHL","2024-10-17","670.1","670.1","650.5","655","-0.30 %","3,768.00"
"CKHL","2024-10-16","660","663","654.3","657","-0.15 %","4,514.00"
"CKHL","2024-10-15","642","660","633.2","658","0.61 %","2,095.00"
"CKHL","2024-10-09","663","663","628.2","654","0.00 %","1,140.00"
"CKHL","2024-10-08","643.7","656","643.7","654","-0.15 %","1,880.00"
"CKHL","2024-10-07","645.1","677.8","645.1","655","0.02 %","5,084.00"
"CKHL","2024-10-06","628","655.8","628","654.9","2.49 %","2,568.00"
"CKHL","2024-10-02","628.1","649","628.1","639","0.13 %","4,319.00"
"CKHL","2024-10-01","635","650","630","638.2","2.49 %","4,476.00"
"CKHL","2024-09-30","625","649.7","622.1","622.7","-0.45 %","4,166.00"
"CKHL","2024-09-29","636.1","636.1","625.3","625.5","-3.62 %","1,700.00"
"CKHL","2024-09-26","659.5","660","637","649","-0.15 %","4,876.00"
"CKHL","2024-09-25","619","652.8","619","650","3.17 %","3,185.00"
"CKHL","2024-09-24","633","647","623","630","-0.72 %","7,593.00"
"CKHL","2024-09-23","677.7","685","634","634.6","-4.57 %","6,880.00"
"CKHL","2024-09-22","661.7","665","635.7","665","2.47 %","8,559.00"
"CKHL","2024-09-18","640","653.8","640","649","-0.46 %","1,647.00"
"CKHL","2024-09-16","656.7","666","618","652","-2.69 %","10,915.00"
"CKHL","2024-09-15","692","708.9","642.6","670","-1.31 %","30,611.00"
"CKHL","2024-09-12","652.4","678.9","632","678.9","6.08 %","9,786.00"
"CKHL","2024-09-11","630.1","642.7","620","640","1.57 %","8,376.00"
"CKHL","2024-09-10","652.7","652.7","630.1","630.1","-1.55 %","6,896.00"
"CKHL","2024-09-09","625.1","649.9","625.1","640","1.09 %","9,934.00"
"CKHL","2024-09-08","645.4","658.3","632.3","633.1","0.03 %","9,012.00"
"CKHL","2024-09-05","615","632.9","615","632.9","2.91 %","5,275.00"
"CKHL","2024-09-04","646","655.9","590","615","-3.32 %","7,094.00"
"CKHL","2024-09-03","640.2","654","630.2","636.1","-1.84 %","4,561.00"
"CKHL","2024-09-02","615","648","615","648","5.37 %","10,600.00"
"CKHL","2024-09-01","615.1","652","611.2","615","-1.91 %","3,533.00"
"CKHL","2024-08-29","638.1","661","618","627","-2.11 %","5,859.00"
"CKHL","2024-08-28","648","668.1","639","640.5","-1.00 %","5,080.00"
"CKHL","2024-08-27","656","673.2","645","647","-1.30 %","9,025.00"
"CKHL","2024-08-25","660","671","655.1","655.5","0.23 %","11,276.00"
"CKHL","2024-08-22","652","677.2","652","654","0.62 %","10,008.00"
"CKHL","2024-08-21","652","671.1","649","650","-1.22 %","17,190.00"
"CKHL","2024-08-18","690","732.1","658","658","-4.71 %","12,030.00"
"CKHL","2024-08-15","701","710","688","690.5","-2.06 %","16,081.00"
"CKHL","2024-08-14","692","709","683.1","705","-0.01 %","10,701.00"
"CKHL","2024-08-13","724.2","724.2","696","705.1","-0.69 %","9,724.00"
"CKHL","2024-08-12","702","722","702","710","3.15 %","23,727.00"
"CKHL","2024-08-11","671","713","671","688.3","2.67 %","13,546.00"
"CKHL","2024-08-08","697","700","660","670.4","-1.90 %","11,031.00"
"CKHL","2024-08-07","674","698","663","683.4","1.24 %","7,287.00"
"CKHL","2024-08-06","710","714","661.5","675","-3.43 %","20,474.00"
"CKHL","2024-08-05","728","728","687.1","699","-2.10 %","7,996.00"
"CKHL","2024-08-01","690","719","673.5","714","3.48 %","30,553.00"
"CKHL","2024-07-31","714","728.2","674.4","690","-3.36 %","32,827.00"
"CKHL","2024-07-30","704","714","671","714","2.00 %","24,115.00"
