"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CMF2","2025-01-07","9.68","10.09","9.68","10.09","2.23 %","744,010.00"
"CMF2","2025-01-06","9.67","9.87","9.5","9.87","3.89 %","113,370.00"
"CMF2","2025-01-05","9.31","9.5","9.31","9.5","1.60 %","1,399.00"
"CMF2","2025-01-02","9.23","9.4","9.23","9.35","-0.64 %","19,100.00"
"CMF2","2025-01-01","9.39","9.41","9.39","9.41","0.11 %","9,000.00"
"CMF2","2024-12-31","9.4","9.58","9.4","9.4","-1.88 %","1,790.00"
"CMF2","2024-12-29","9.35","9.58","9.35","9.58","1.91 %","750.00"
"CMF2","2024-12-26","9.4","9.4","9.4","9.4","0.00 %","500.00"
"CMF2","2024-12-23","9.36","9.4","9.36","9.4","0.43 %","1,000.00"
"CMF2","2024-12-22","9.4","9.4","9.35","9.36","-2.40 %","700.00"
"CMF2","2024-12-18","9.51","9.59","9.5","9.59","0.84 %","14,900.00"
"CMF2","2024-12-17","9.48","9.51","9.48","9.51","-0.83 %","3,000.00"
"CMF2","2024-12-16","9.46","9.59","9.46","9.59","0.00 %","1,000.00"
"CMF2","2024-12-12","9.5","9.59","9.41","9.59","0.52 %","13,850.00"
"CMF2","2024-12-11","9.36","9.54","9.36","9.54","-0.10 %","11,335.00"
"CMF2","2024-12-10","9.56","9.74","9.55","9.55","0.00 %","24,200.00"
"CMF2","2024-12-09","9.55","9.55","9.55","9.55","1.06 %","4,995.00"
"CMF2","2024-12-08","9.29","9.5","9.29","9.45","-0.21 %","900.00"
"CMF2","2024-12-05","9.47","9.47","9.47","9.47","-1.46 %","600.00"
"CMF2","2024-12-04","9.51","9.7","9.51","9.61","0.42 %","7,800.00"
"CMF2","2024-12-03","9.71","9.71","9.57","9.57","-3.33 %","20,200.00"
"CMF2","2024-12-02","9.74","9.92","9.74","9.9","3.56 %","80,800.00"
"CMF2","2024-12-01","9.56","9.56","9.56","9.56","1.92 %","4,900.00"
"CMF2","2024-11-28","9.36","9.38","9.36","9.38","-1.78 %","300.00"
"CMF2","2024-11-27","9.55","9.55","9.55","9.55","-1.04 %","1,300.00"
"CMF2","2024-11-26","9.46","9.65","9.46","9.65","0.00 %","6,170.00"
"CMF2","2024-11-25","9.61","9.65","9.59","9.65","-1.33 %","38,630.00"
"CMF2","2024-11-24","9.58","9.78","9.58","9.78","0.31 %","36,900.00"
"CMF2","2024-11-21","9.94","9.94","9.75","9.75","-1.91 %","5,600.00"
"CMF2","2024-11-20","9.56","9.95","9.56","9.94","4.19 %","28,066.00"
"CMF2","2024-11-19","9.52","9.7","9.52","9.54","-1.65 %","10,910.00"
"CMF2","2024-11-17","9.65","9.8","9.65","9.7","-1.22 %","4,800.00"
"CMF2","2024-11-14","9.83","9.83","9.65","9.82","-2.09 %","4,100.00"
"CMF2","2024-11-13","9.66","10.03","9.48","10.03","5.80 %","281,681.00"
"CMF2","2024-11-12","9.26","9.64","9.26","9.48","0.64 %","41,500.00"
