"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CYCL","2025-01-07","1600","1600","1562","1585","0.32 %","5,743.00"
"CYCL","2025-01-06","1570","1595","1559.1","1579.9","0.12 %","7,355.00"
"CYCL","2025-01-05","1560","1610","1550","1578","-0.22 %","4,262.00"
"CYCL","2025-01-02","1600","1629.9","1550","1581.5","-2.67 %","4,298.00"
"CYCL","2025-01-01","1636.6","1639.9","1585","1624.9","-2.70 %","2,640.00"
"CYCL","2024-12-31","1617","1670","1550","1670","1.21 %","15,080.00"
"CYCL","2024-12-29","1584.7","1710.5","1577","1650","2.04 %","10,414.00"
"CYCL","2024-12-26","1588","1650","1588","1617","-0.19 %","3,236.00"
"CYCL","2024-12-24","1562.1","1636","1562.1","1620","1.89 %","4,935.00"
"CYCL","2024-12-23","1567.9","1590","1541.2","1590","1.41 %","4,635.00"
"CYCL","2024-12-22","1622","1622","1540.5","1567.9","-1.45 %","5,214.00"
"CYCL","2024-12-19","1584.6","1610","1560","1591","-0.25 %","5,089.00"
"CYCL","2024-12-18","1596.5","1657","1577","1595","-1.91 %","4,796.00"
"CYCL","2024-12-17","1617","1630","1585","1626","-1.45 %","3,032.00"
"CYCL","2024-12-16","1634.9","1688.1","1558.2","1650","-0.48 %","10,259.00"
"CYCL","2024-12-12","1630","1727.8","1600","1658","-0.18 %","6,565.00"
"CYCL","2024-12-11","1617","1683","1586","1661","0.67 %","2,468.00"
"CYCL","2024-12-10","1665","1665","1600","1650","0.43 %","3,714.00"
"CYCL","2024-12-09","1647","1690","1593","1643","-2.08 %","7,943.00"
"CYCL","2024-12-08","1672.6","1701","1589.8","1677.9","-0.89 %","5,363.00"
"CYCL","2024-12-05","1744.2","1744.2","1670.9","1693","-0.99 %","6,583.00"
"CYCL","2024-12-04","1700","1737","1670","1710","0.35 %","4,782.00"
"CYCL","2024-12-03","1674.1","1732","1664","1704","0.24 %","6,653.00"
"CYCL","2024-12-02","1747","1780","1667","1699.9","-0.76 %","8,353.00"
"CYCL","2024-12-01","1676","1730","1676","1713","0.17 %","6,393.00"
"CYCL","2024-11-28","1702","1750","1700","1710.1","-0.81 %","10,586.00"
"CYCL","2024-11-27","1700","1752","1690","1724","0.58 %","10,143.00"
"CYCL","2024-11-26","1736.9","1771","1675","1714.1","0.60 %","7,084.00"
"CYCL","2024-11-25","1705.2","1774","1686.1","1703.9","-2.07 %","5,463.00"
