Symbol,Date,Open,High,Low,Close,Percent Change,Volume
EBLD86,2025-01-09,"1,056.00","1,058.00","1,056.00","1,058.00",0.09 %,105.00
EBLD86,2025-01-13,"1,060.00","1,065.00","1,060.00","1,060.00",0.19 %,130.00
EBLD86,2025-01-19,"1,040.00","1,040.00","1,040.00","1,040.00",-1.89 %,360.00
EBLD86,2025-01-20,"1,025.00","1,045.50","1,025.00","1,045.50",0.53 %,50.00
EBLD86,2025-01-23,"1,032.00","1,032.00","1,025.00","1,025.00",-1.96 %,50.00
EBLD86,2025-01-26,"1,025.00","1,026.00","1,025.00","1,026.00",0.10 %,50.00
EBLD86,2025-01-27,"1,046.50","1,046.50","1,046.50","1,046.50",2.00 %,155.00
EBLD86,2025-01-28,"1,027.00","1,027.00","1,027.00","1,027.00",-1.86 %,70.00
EBLD86,2025-02-02,"1,040.00","1,040.00","1,031.00","1,031.00",0.39 %,267.00
EBLD86,2025-02-03,"1,015.00","1,021.50","1,010.40","1,021.50",-0.92 %,100.00
EBLD86,2025-02-05,"1,029.10","1,029.10","1,029.00","1,029.00",0.73 %,50.00
EBLD86,2025-02-06,"1,030.00","1,030.00","1,030.00","1,030.00",0.10 %,18.00
EBLD86,2025-02-10,"1,030.10","1,055.00","1,030.10","1,055.00",2.43 %,362.00
EBLD86,2025-02-11,"1,034.00","1,034.00","1,034.00","1,034.00",-1.99 %,29.00
EBLD86,2025-02-12,"1,020.10","1,032.00","1,020.10","1,032.00",-0.19 %,46.00
EBLD86,2025-02-13,"1,030.00","1,032.00","1,030.00","1,032.00",0.00 %,50.00
EBLD86,2025-02-17,"1,030.00","1,030.00","1,030.00","1,030.00",-0.19 %,25.00
EBLD86,2025-02-18,"1,025.70","1,030.00","1,024.00","1,030.00",0.00 %,75.00
EBLD86,2025-02-23,"1,033.00","1,040.00","1,033.00","1,040.00",0.97 %,175.00
EBLD86,2025-02-24,"1,040.00","1,040.00","1,040.00","1,040.00",0.00 %,100.00
EBLD86,2025-02-27,"1,033.00","1,033.00","1,033.00","1,033.00",-0.67 %,240.00
EBLD86,2025-03-02,"1,033.00","1,033.00","1,033.00","1,033.00",0.00 %,33.00
EBLD86,2025-03-04,"1,032.00","1,040.00","1,030.00","1,040.00",0.68 %,125.00
EBLD86,2025-03-05,"1,031.10","1,031.10","1,031.10","1,031.10",-0.86 %,125.00
EBLD86,2025-03-06,"1,034.00","1,034.00","1,034.00","1,034.00",0.28 %,30.00
EBLD86,2025-03-09,"1,031.00","1,031.00","1,020.00","1,020.00",-1.35 %,100.00
EBLD86,2025-03-10,"1,022.50","1,022.50","1,022.50","1,022.50",0.25 %,32.00
EBLD86,2025-03-11,"1,042.00","1,042.90","1,022.10","1,022.10",-0.04 %,85.00
EBLD86,2025-03-12,"1,042.00","1,042.50","1,042.00","1,042.50",2.00 %,61.00
EBLD86,2025-03-16,"1,026.00","1,026.00","1,026.00","1,026.00",-1.58 %,25.00
