"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBBD85","2025-01-07","1051","1056","1051","1056","-1.17 %","85.00"
"GBBD85","2025-01-06","1090.3","1090.3","1068.5","1068.5","-2.00 %","20.00"
"GBBD85","2025-01-05","1056","1090.3","1056","1090.3","4.13 %","939.00"
"GBBD85","2025-01-02","1047.1","1047.1","1047.1","1047.1","-0.65 %","25.00"
"GBBD85","2025-01-01","1065","1065","1054","1054","0.38 %","50.00"
"GBBD85","2024-12-29","1051.1","1051.2","1050","1050","-1.32 %","150.00"
"GBBD85","2024-12-26","1054","1064","1054","1064","0.95 %","50.00"
"GBBD85","2024-12-24","1050","1054","1050","1054","0.48 %","150.00"
"GBBD85","2024-12-23","1040","1070","1040","1049","0.87 %","402.00"
"GBBD85","2024-12-22","1042","1043","1040","1040","-0.49 %","75.00"
"GBBD85","2024-12-19","1045","1045.1","1045","1045.1","0.30 %","225.00"
"GBBD85","2024-12-18","1042","1042","1042","1042","0.00 %","25.00"
"GBBD85","2024-12-17","1041","1042","1041","1042","0.10 %","50.00"
"GBBD85","2024-12-16","1040","1041","1040","1041","0.00 %","80.00"
"GBBD85","2024-12-11","1041","1041","1041","1041","-1.58 %","25.00"
"GBBD85","2024-12-09","1032","1057.7","1032","1057.7","2.00 %","500.00"
"GBBD85","2024-12-08","1036","1037","1036","1037","0.46 %","40.00"
"GBBD85","2024-12-05","1032.1","1032.3","1032.1","1032.3","0.13 %","40.00"
"GBBD85","2024-12-04","1026","1031","1026","1031","-0.33 %","50.00"
"GBBD85","2024-12-03","1035","1036","1032.2","1034.4","-0.54 %","150.00"
"GBBD85","2024-12-02","1039","1040","1039","1040","0.00 %","150.00"
"GBBD85","2024-12-01","1040","1040","1040","1040","0.00 %","25.00"
"GBBD85","2024-11-28","1040","1040","1040","1040","0.43 %","76.00"
"GBBD85","2024-11-27","1030","1035.5","1030","1035.5","0.05 %","75.00"
"GBBD85","2024-11-26","1035","1035","1035","1035","0.09 %","25.00"
"GBBD85","2024-11-21","1034","1034.1","1034","1034.1","-0.28 %","75.00"
"GBBD85","2024-11-20","1036.1","1036.1","1036.1","1037","0.09 %","5.00"
"GBBD85","2024-11-17","1044","1044","1036.1","1036.1","0.01 %","325.00"
"GBBD85","2024-11-14","1036","1036","1036","1036","0.10 %","25.00"
"GBBD85","2024-11-13","1037","1040","1035","1035","-0.19 %","29.00"
"GBBD85","2024-11-12","1037","1037","1037","1037","0.00 %","25.00"
"GBBD85","2024-11-11","1055","1055","1034","1037","-0.77 %","95.00"
"GBBD85","2024-11-10","1030","1045","1030","1045","1.46 %","215.00"
"GBBD85","2024-11-06","1040","1050.7","1030","1030","-0.01 %","327.00"
"GBBD85","2024-11-05","1030.1","1030.1","1030.1","1030.1","-0.47 %","25.00"
"GBBD85","2024-10-29","1031","1035","1031","1035","0.19 %","75.00"
"GBBD85","2024-10-28","1031","1033","1031","1033","0.19 %","75.00"
"GBBD85","2024-10-27","1044","1044","1020","1031","0.10 %","355.00"
"GBBD85","2024-10-24","1030","1030","1030","1030","-1.44 %","25.00"
"GBBD85","2024-10-23","1030","1045","1030","1045","1.75 %","315.00"
"GBBD85","2024-10-22","1031","1031","1027","1027","-0.39 %","125.00"
"GBBD85","2024-10-21","1044","1044","1030","1031","-0.11 %","260.00"
"GBBD85","2024-10-20","1030","1032.1","1030","1032.1","-0.28 %","100.00"
"GBBD85","2024-10-17","1035","1035","1035","1035","-0.86 %","100.00"
"GBBD85","2024-10-16","1044","1044","1044","1044","1.26 %","570.00"
"GBBD85","2024-10-15","1031","1031","1031","1031","0.00 %","75.00"
"GBBD85","2024-10-08","1031","1031","1031","1031","0.10 %","25.00"
"GBBD85","2024-10-07","1020","1030","1020","1030","0.29 %","100.00"
"GBBD85","2024-10-06","1031","1031","1023","1027","-0.29 %","255.00"
"GBBD85","2024-10-02","1030","1030","1030","1030","-0.16 %","50.00"
"GBBD85","2024-10-01","1027","1031.7","1027","1031.7","0.56 %","50.00"
"GBBD85","2024-09-30","1041.4","1044","1026","1026","0.49 %","495.00"
"GBBD85","2024-09-29","1020","1021","1020","1021","0.48 %","35.00"
"GBBD85","2024-09-26","1020","1020","1015","1016.1","-0.58 %","75.00"
"GBBD85","2024-09-25","1022","1022","1022","1022","0.20 %","75.00"
"GBBD85","2024-09-24","1020","1020","1020","1020","-0.49 %","50.00"
"GBBD85","2024-09-23","1026","1044","1021","1025","-0.10 %","535.00"
"GBBD85","2024-09-22","1026","1026","1026","1026","0.00 %","25.00"
"GBBD85","2024-09-18","1025.5","1030","1025.5","1026","0.59 %","100.00"
"GBBD85","2024-09-16","1019","1020","1019","1020","0.58 %","55.00"
"GBBD85","2024-09-15","1008","1044","1008","1014.1","0.82 %","480.00"
"GBBD85","2024-09-12","1000.1","1045","1000.1","1005.9","-1.30 %","380.00"
"GBBD85","2024-09-11","1015.5","1020","1015.5","1019.2","0.41 %","175.00"
"GBBD85","2024-09-10","1017","1017","1012","1015","-0.20 %","130.00"
"GBBD85","2024-09-09","1021","1041","1017","1017","-0.29 %","10,960.00"
"GBBD85","2024-09-08","1012","1020","1012","1020","-1.09 %","180.00"
"GBBD85","2024-09-05","1011","1031.2","1011","1031.2","2.60 %","155.00"
"GBBD85","2024-09-03","1017.1","1017.1","1005.1","1005.1","-3.08 %","125.00"
"GBBD85","2024-09-02","1015","1037","1015","1037","2.17 %","986.00"
"GBBD85","2024-09-01","1002","1022","1002","1015","1.50 %","505.00"
"GBBD85","2024-08-29","1000","1000","999","1000","-0.30 %","75.00"
"GBBD85","2024-08-28","1002","1004.9","1002","1003","0.00 %","190.00"
"GBBD85","2024-08-27","1002.1","1003.1","1002.1","1003","-0.30 %","120.00"
"GBBD85","2024-08-25","1006","1006","1001","1006","0.10 %","225.00"
"GBBD85","2024-08-22","1000","1005","999","1005","0.50 %","355.00"
"GBBD85","2024-08-21","999","1000","999","1000","0.10 %","980.00"
"GBBD85","2024-08-18","999","1000","999","999","0.91 %","250.00"
"GBBD85","2024-08-15","980.1","991","980.1","990","1.01 %","125.00"
"GBBD85","2024-08-14","978.1","984","978.1","980.1","-1.79 %","125.00"
"GBBD85","2024-08-13","998","1001","998","998","-0.20 %","210.00"
"GBBD85","2024-08-12","1017.3","1017.3","1000","1000","-3.66 %","50.00"
"GBBD85","2024-08-11","980","1038","980","1038","3.80 %","50,816.00"
"GBBD85","2024-08-08","996","1000","996","1000","0.50 %","699.00"
"GBBD85","2024-08-07","980","1004","980","995","2.26 %","241.00"
"GBBD85","2024-08-06","966.5","985","966.5","973","-1.22 %","325.00"
"GBBD85","2024-08-05","980","985","980","985","-1.50 %","150.00"
"GBBD85","2024-08-01","970","1000","970","1000","3.09 %","1,571.00"
"GBBD85","2024-07-31","967","977","967","970","-0.82 %","305.00"
"GBBD85","2024-07-30","970","978","970","978","0.82 %","250.00"
"GBBD85","2024-07-29","970","970","970","970","0.00 %","50.00"
"GBBD85","2024-07-28","970","970","970","970","-1.22 %","116.00"
"GBBD85","2024-07-25","979.9","987.7","968","982","1.34 %","205.00"
"GBBD85","2024-07-22","945","969","945","969","2.32 %","385.00"
"GBBD85","2024-07-18","957.3","957.3","945.1","947","-0.94 %","199.00"
"GBBD85","2024-07-17","960","960.1","956","956","0.10 %","145.00"
"GBBD85","2024-07-16","970.5","971","940","955","-3.34 %","914.00"
"GBBD85","2024-07-15","990","990","988","988","0.28 %","50.00"
"GBBD85","2024-07-14","986","987.5","985.2","985.2","-1.58 %","205.00"
"GBBD85","2024-07-11","990","1001","990","1001","1.62 %","175.00"
"GBBD85","2024-07-10","985","985","985","985","-0.05 %","25.00"
"GBBD85","2024-07-09","976","989","976","985.5","0.25 %","124.00"
"GBBD85","2024-07-08","980.1","985","980.1","983","-0.71 %","75.00"
"GBBD85","2024-07-07","990","990","986","990","-1.46 %","75.00"
"GBBD85","2024-07-04","996.1","1002","996","1004.7","2.00 %","101.00"
"GBBD85","2024-07-03","985","985","985","985","0.00 %","25.00"
"GBBD85","2024-07-02","1000","1000","985","985","-1.01 %","50.00"
"GBBD85","2024-06-30","995.2","995.2","995.1","995.1","-1.96 %","225.00"
"GBBD85","2024-06-27","993","1015","990","1015","1.50 %","474.00"
"GBBD85","2024-06-26","1000","1000","1000","1000","1.01 %","25.00"
"GBBD85","2024-06-25","990","990","990","990","0.27 %","25.00"
