"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GIBF1","2025-01-07","9.84","10.02","9.8","9.98","1.42 %","12,150.00"
"GIBF1","2025-01-06","9.94","9.94","9.82","9.84","-2.96 %","1,900.00"
"GIBF1","2025-01-05","9.8","10.15","9.63","10.14","1.50 %","23,600.00"
"GIBF1","2025-01-02","9.79","9.99","9.6","9.99","0.10 %","1,550.00"
"GIBF1","2025-01-01","9.8","9.98","9.7","9.98","-0.10 %","3,400.00"
"GIBF1","2024-12-31","9.9","10","9.67","9.99","0.81 %","15,260.00"
"GIBF1","2024-12-29","9.88","9.91","9.88","9.91","-1.59 %","11,000.00"
"GIBF1","2024-12-26","10.01","10.07","9.87","10.07","0.80 %","156,750.00"
"GIBF1","2024-12-24","9.7","9.99","9.7","9.99","1.94 %","2,400.00"
"GIBF1","2024-12-23","9.8","9.99","9.8","9.8","-1.90 %","3,600.00"
"GIBF1","2024-12-22","9.9","9.99","9.8","9.99","-1.09 %","3,200.00"
"GIBF1","2024-12-19","10.05","10.1","9.91","10.1","-0.39 %","13,710.00"
"GIBF1","2024-12-18","9.9","10.14","9.9","10.14","1.10 %","1,200.00"
"GIBF1","2024-12-17","10","10.2","10","10.03","-0.99 %","11,950.00"
"GIBF1","2024-12-16","9.9","10.13","9.9","10.13","0.90 %","1,900.00"
"GIBF1","2024-12-12","9.96","10.21","9.96","10.04","0.30 %","11,100.00"
"GIBF1","2024-12-11","9.92","10.1","9.92","10.01","-0.89 %","2,500.00"
"GIBF1","2024-12-10","9.96","10.1","9.96","10.1","0.40 %","6,400.00"
"GIBF1","2024-12-09","10","10.19","10","10.06","-0.40 %","16,300.00"
"GIBF1","2024-12-08","10.43","10.43","10.1","10.1","-1.27 %","2,550.00"
"GIBF1","2024-12-05","10.21","10.27","10.21","10.23","-0.20 %","54,070.00"
"GIBF1","2024-12-04","10.28","10.35","10.22","10.25","0.20 %","157,550.00"
"GIBF1","2024-12-03","10","10.25","10","10.23","1.19 %","421,400.00"
"GIBF1","2024-12-02","9.88","10.15","9.88","10.11","0.30 %","10,900.00"
"GIBF1","2024-12-01","9.85","10.35","9.85","10.08","1.00 %","38,923.00"
"GIBF1","2024-11-28","9.86","10.05","9.86","9.98","0.00 %","1,900.00"
"GIBF1","2024-11-27","9.87","10.18","9.87","9.98","1.11 %","80,040.00"
"GIBF1","2024-11-26","9.8","9.87","9.8","9.87","0.30 %","1,900.00"
"GIBF1","2024-11-25","9.95","9.95","9.77","9.84","0.82 %","35,363.00"
"GIBF1","2024-11-24","9.65","9.76","9.65","9.76","0.83 %","5,900.00"
"GIBF1","2024-11-21","9.8","9.8","9.62","9.68","-2.22 %","1,750.00"
"GIBF1","2024-11-20","9.79","9.9","9.79","9.9","-0.80 %","11,550.00"
"GIBF1","2024-11-19","9.8","10.25","9.8","9.98","1.84 %","5,150.00"
"GIBF1","2024-11-17","10.35","10.5","9.8","9.8","-5.04 %","127,600.00"
"GIBF1","2024-11-14","10","10.32","9.8","10.32","3.20 %","629,350.00"
"GIBF1","2024-11-13","9.91","10.1","9.91","10","2.88 %","317,907.00"
"GIBF1","2024-11-12","9.65","9.9","9.65","9.72","-1.22 %","61,400.00"
"GIBF1","2024-11-11","9.46","9.84","9.45","9.84","1.97 %","3,700.00"
"GIBF1","2024-11-10","9.3","9.66","9.3","9.65","3.76 %","32,700.00"
"GIBF1","2024-11-06","9.45","9.45","9.28","9.3","-3.53 %","1,500.00"
"GIBF1","2024-11-05","9.28","9.64","9.11","9.64","1.90 %","5,716.00"
