Symbol,Date,Open,High,Low,Close,Percent Change,Volume
GMLI,2025-02-09,301.00,331.10,301.00,331.10,10.00 %,490.00
GMLI,2025-02-10,331.90,364.20,331.90,364.20,10.00 %,510.00
GMLI,2025-02-11,364.20,400.60,364.20,400.60,9.99 %,370.00
GMLI,2025-02-12,400.60,440.60,400.60,440.60,9.99 %,570.00
GMLI,2025-02-13,449.40,484.60,449.40,484.60,9.99 %,530.00
GMLI,2025-02-16,494.00,533.00,494.00,533.00,9.99 %,"1,700.00"
GMLI,2025-02-17,533.00,586.30,533.00,586.30,10.00 %,"1,310.00"
GMLI,2025-02-18,598.00,644.93,598.00,644.90,9.99 %,"2,240.00"
GMLI,2025-02-20,657.00,709.30,657.00,709.30,9.99 %,"6,010.00"
GMLI,2025-02-23,723.40,780.20,723.40,780.20,10.00 %,"8,930.00"
GMLI,2025-02-24,795.80,858.20,795.80,858.20,10.00 %,"8,010.00"
GMLI,2025-02-25,875.30,944.00,875.30,944.00,10.00 %,"9,770.00"
GMLI,2025-02-27,962.80,"1,038.40",962.80,"1,038.40",10.00 %,"32,050.00"
GMLI,2025-03-02,"1,059.10","1,142.20","1,059.10","1,142.20",10.00 %,"29,640.00"
GMLI,2025-03-03,"1,165.00","1,256.40","1,165.00","1,256.40",10.00 %,"12,620.00"
GMLI,2025-03-04,"1,281.50","1,382.00","1,281.50","1,382.00",10.00 %,"8,440.00"
GMLI,2025-03-05,"1,409.60","1,520.20","1,409.60","1,520.20",10.00 %,"73,730.00"
GMLI,2025-03-06,"1,550.60","1,672.20","1,550.60","1,672.20",10.00 %,"143,850.00"
GMLI,2025-03-09,"1,705.60","1,839.40","1,519.00","1,839.40",10.00 %,"253,093.00"
GMLI,2025-03-10,"1,874.80","2,001.20","1,770.00","2,000.00",8.73 %,"156,648.00"
GMLI,2025-03-11,"2,000.00","2,000.00","1,884.60","1,998.10",-0.10 %,"187,395.00"
GMLI,2025-03-12,"1,958.20","1,968.00","1,880.70","1,961.00",-1.86 %,"188,461.00"
GMLI,2025-03-16,"1,922.00","1,960.50","1,901.00","1,944.10",-0.86 %,"134,733.00"
