Symbol,Date,Open,High,Low,Close,Percent Change,Volume
GSY,2025-02-20,10.00,10.00,9.05,9.23,-7.70 %,"50,670.00"
GSY,2025-02-23,9.14,9.20,9.06,9.06,-1.84 %,"41,080.00"
GSY,2025-02-24,8.89,9.15,8.89,9.00,-0.66 %,"23,341.00"
GSY,2025-02-25,8.85,9.05,8.85,8.99,-0.11 %,"38,650.00"
GSY,2025-02-27,8.85,9.16,8.85,8.89,-1.11 %,"29,240.00"
GSY,2025-03-02,8.82,9.44,8.80,9.40,5.74 %,"61,490.00"
GSY,2025-03-03,9.30,9.98,9.15,9.79,4.15 %,"58,951.00"
GSY,2025-03-04,9.75,9.98,9.75,9.77,-0.20 %,"49,094.00"
GSY,2025-03-05,9.77,9.95,9.77,9.86,0.92 %,"29,350.00"
GSY,2025-03-06,9.67,10.00,9.35,9.35,-5.17 %,"859,900.00"
GSY,2025-03-09,9.18,9.30,9.00,9.30,-0.53 %,"18,190.00"
GSY,2025-03-10,9.20,9.20,9.06,9.13,-1.83 %,"10,450.00"
GSY,2025-03-11,8.95,9.30,8.95,9.07,-0.66 %,"9,250.00"
GSY,2025-03-12,8.89,9.18,8.89,9.02,-0.55 %,"27,100.00"
GSY,2025-03-16,9.10,9.20,8.93,9.00,-0.22 %,"9,520.00"
