"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"H8020","2025-01-07","10","10.1","9.9","10.01","0.00 %","4,100.00"
"H8020","2025-01-06","10","10.15","10","10.01","0.10 %","78,800.00"
"H8020","2025-01-05","10.01","10.05","9.98","10","-0.89 %","32,150.00"
"H8020","2025-01-02","9.9","10.09","9.9","10.09","0.80 %","10,550.00"
"H8020","2025-01-01","9.85","10.04","9.78","10.01","0.40 %","33,200.00"
"H8020","2024-12-31","10","10","9.97","9.97","-0.40 %","1,000.00"
"H8020","2024-12-29","10","10.03","10","10.01","-0.20 %","1,200.00"
"H8020","2024-12-26","10","10.24","10","10.03","-0.99 %","21,480.00"
"H8020","2024-12-24","10.13","10.15","10.13","10.13","-0.39 %","23,200.00"
"H8020","2024-12-23","9.9","10.17","9.9","10.17","0.69 %","121,810.00"
"H8020","2024-12-22","10.12","10.18","10.01","10.1","1.00 %","119,350.00"
"H8020","2024-12-19","10.1","10.1","10","10","-0.99 %","4,200.00"
"H8020","2024-12-18","10","10.15","9.9","10.1","1.00 %","18,100.00"
"H8020","2024-12-17","9.91","10","9.9","10","-0.10 %","31,900.00"
"H8020","2024-12-16","10.05","10.07","10.01","10.01","-1.38 %","19,375.00"
"H8020","2024-12-12","10.12","10.15","10.12","10.15","-0.49 %","157,449.00"
"H8020","2024-12-11","10.14","10.2","10.1","10.2","0.59 %","41,750.00"
"H8020","2024-12-10","10.1","10.27","10.1","10.14","-1.55 %","46,500.00"
"H8020","2024-12-09","10.25","10.34","10.14","10.3","-0.19 %","45,448.00"
"H8020","2024-12-08","10.25","10.35","10.25","10.32","-0.77 %","5,750.00"
"H8020","2024-12-05","10.28","10.44","10.2","10.4","0.29 %","35,161.00"
"H8020","2024-12-04","10.2","10.37","10.2","10.37","1.07 %","2,800.00"
"H8020","2024-12-03","9.89","10.26","9.87","10.26","1.89 %","13,050.00"
"H8020","2024-12-02","9.92","10.21","9.92","10.07","0.20 %","50,509.00"
"H8020","2024-12-01","10.01","10.21","10.01","10.05","-1.47 %","1,400.00"
"H8020","2024-11-28","10.16","10.2","10.16","10.2","0.00 %","52,300.00"
"H8020","2024-11-27","9.98","10.21","9.98","10.2","0.59 %","20,700.00"
"H8020","2024-11-26","10","10.34","10","10.14","-0.29 %","33,050.00"
"H8020","2024-11-25","10.19","10.3","10.1","10.17","1.70 %","39,807.00"
"H8020","2024-11-24","9.85","10","9.84","10","0.20 %","3,300.00"
"H8020","2024-11-21","9.93","10","9.75","9.98","-1.48 %","1,700.00"
"H8020","2024-11-20","9.85","10.15","9.85","10.13","0.80 %","25,150.00"
"H8020","2024-11-19","10","10.19","10","10.05","0.50 %","82,750.00"
"H8020","2024-11-17","10.03","10.1","10","10","-0.30 %","6,200.00"
"H8020","2024-11-14","9.93","10.14","9.93","10.03","0.30 %","7,405.00"
"H8020","2024-11-13","9.85","10","9.67","10","-0.50 %","1,000.00"
"H8020","2024-11-12","9.86","10.05","9.85","10.05","0.50 %","1,592.00"
"H8020","2024-11-11","9.8","10","9.8","10","2.04 %","11,225.00"
"H8020","2024-11-10","9.81","10.01","9.8","9.8","-0.61 %","8,770.00"
"H8020","2024-11-06","9.84","10.03","9.84","9.86","-1.40 %","17,800.00"
"H8020","2024-11-05","9.91","10","9.9","10","-0.79 %","18,820.00"
"H8020","2024-10-30","10.04","10.83","9.71","10.08","2.34 %","5,371.00"
"H8020","2024-10-29","9.75","9.85","9.75","9.85","-0.40 %","15,870.00"
"H8020","2024-10-28","9.7","9.89","9.7","9.89","1.96 %","2,300.00"
"H8020","2024-10-27","9.81","10.19","9.6","9.7","-3.00 %","31,700.00"
"H8020","2024-10-24","10.3","10.3","9.85","10","-1.96 %","60,190.00"
"H8020","2024-10-23","10.24","10.3","10.2","10.2","-0.49 %","11,105.00"
"H8020","2024-10-22","10.18","10.25","10.18","10.25","0.69 %","40,500.00"
"H8020","2024-10-21","10.22","10.22","10.18","10.18","-0.20 %","41,600.00"
"H8020","2024-10-20","10.23","10.29","10.18","10.2","0.20 %","39,920.00"
"H8020","2024-10-17","10.01","10.32","10.01","10.18","0.59 %","29,550.00"
"H8020","2024-10-16","10.39","10.39","10.11","10.12","-0.78 %","24,000.00"
"H8020","2024-10-15","10.21","10.21","10.11","10.2","-0.10 %","35,600.00"
"H8020","2024-10-09","10.21","10.21","10.07","10.21","1.49 %","11,674.00"
"H8020","2024-10-08","10.19","10.21","10.02","10.06","-1.47 %","90,953.00"
"H8020","2024-10-07","10","10.25","10","10.21","2.10 %","90,920.00"
"H8020","2024-10-06","10","10.19","10","10","0.00 %","126,100.00"
"H8020","2024-10-02","10","10.25","10","10","-1.86 %","212,200.00"
"H8020","2024-10-01","10.1","10.19","9.94","10.19","1.90 %","286,500.00"
"H8020","2024-09-30","9.82","10","9.82","10","0.50 %","200,450.00"
"H8020","2024-09-29","9.78","10","9.78","9.95","0.51 %","216,750.00"
"H8020","2024-09-26","10.08","10.08","9.89","9.9","0.10 %","63,601.00"
"H8020","2024-09-25","9.89","9.9","9.8","9.89","-1.00 %","7,550.00"
"H8020","2024-09-24","9.92","9.99","9.92","9.99","0.20 %","3,600.00"
"H8020","2024-09-23","9.95","10","9.95","9.97","-0.30 %","40,788.00"
"H8020","2024-09-22","10","10.1","10","10","0.00 %","24,000.00"
"H8020","2024-09-18","9.9","10.17","9.9","10","0.20 %","4,225.00"
"H8020","2024-09-16","9.9","10.14","9.9","9.98","-0.10 %","1,300.00"
"H8020","2024-09-15","9.95","10.14","9.95","9.99","-0.40 %","15,350.00"
"H8020","2024-09-12","10","10.22","10","10.03","0.20 %","12,100.00"
"H8020","2024-09-11","10","10.09","10","10.01","-0.30 %","46,400.00"
"H8020","2024-09-10","10","10.17","10","10.04","0.20 %","28,650.00"
"H8020","2024-09-09","9.92","10.1","9.92","10.02","-0.20 %","19,700.00"
"H8020","2024-09-08","10.03","10.05","10.03","10.04","-0.10 %","20,200.00"
"H8020","2024-09-05","10.1","10.2","10.02","10.05","-0.50 %","54,188.00"
"H8020","2024-09-04","10.2","10.3","10.05","10.1","-0.79 %","70,800.00"
"H8020","2024-09-03","10.02","10.23","10.02","10.18","0.20 %","104,678.00"
"H8020","2024-09-02","10.18","10.18","10","10.16","0.89 %","9,462.00"
"H8020","2024-09-01","9.9","10.15","9.9","10.07","-0.30 %","38,030.00"
"H8020","2024-08-29","10.03","10.23","10.03","10.1","-1.08 %","78,139.00"
"H8020","2024-08-28","9.99","10.21","9.96","10.21","2.51 %","61,650.00"
"H8020","2024-08-27","9.95","10.3","9.95","9.96","-1.58 %","607,250.00"
"H8020","2024-08-25","10.14","10.26","9.96","10.12","1.00 %","75,000.00"
"H8020","2024-08-22","10.18","10.18","10.01","10.02","-0.20 %","41,025.00"
"H8020","2024-08-21","10.18","10.18","10","10.04","-0.59 %","29,200.00"
"H8020","2024-08-18","9.94","10.4","9.94","10.1","-0.30 %","142,190.00"
"H8020","2024-08-15","9.81","10.33","9.81","10.13","1.91 %","58,440.00"
"H8020","2024-08-14","9.92","10.1","9.92","9.94","-1.78 %","44,425.00"
"H8020","2024-08-13","9.9","10.12","9.82","10.12","2.22 %","997,960.00"
"H8020","2024-08-12","10.04","10.09","9.77","9.9","0.00 %","265,350.00"
"H8020","2024-08-11","9.86","10.05","9.86","9.9","-1.49 %","35,290.00"
"H8020","2024-08-08","9.73","10.05","9.54","10.05","1.31 %","481,100.00"
"H8020","2024-08-07","9.8","10.05","9.56","9.92","0.00 %","59,200.00"
"H8020","2024-08-06","9.88","10","9.88","9.92","0.00 %","165,420.00"
"H8020","2024-08-05","9.67","10","9.67","9.92","0.61 %","48,300.00"
"H8020","2024-08-01","9.66","10","9.66","9.86","0.20 %","81,875.00"
"H8020","2024-07-31","9.89","10.1","9.78","9.84","0.92 %","125,382.00"
"H8020","2024-07-30","9.79","10.17","9.6","9.75","-2.30 %","326,950.00"
"H8020","2024-07-29","9.9","10.09","9.9","9.98","-0.10 %","173,050.00"
"H8020","2024-07-28","9.43","9.99","9.43","9.99","3.95 %","15,460.00"
"H8020","2024-07-25","9.71","9.75","9.6","9.61","-2.93 %","6,000.00"
"H8020","2024-07-24","9.57","9.9","9.42","9.9","1.43 %","54,050.00"
"H8020","2024-07-23","9.3","9.76","9.3","9.76","3.06 %","121,290.00"
"H8020","2024-07-22","9.5","9.94","9.37","9.47","-0.94 %","227,910.00"
"H8020","2024-07-21","9.71","9.76","9.56","9.56","-3.43 %","74,210.00"
"H8020","2024-07-18","9.66","10","9.66","9.9","0.51 %","42,300.00"
"H8020","2024-07-17","9.8","9.99","9.62","9.85","-1.40 %","23,100.00"
"H8020","2024-07-15","9.68","9.99","9.32","9.99","1.22 %","17,315.00"
"H8020","2024-07-14","9.5","9.89","9.02","9.87","5.90 %","49,080.00"
"H8020","2024-07-11","9.2","9.33","9.2","9.32","0.76 %","105,300.00"
"H8020","2024-07-10","8.83","9.25","8.83","9.25","2.78 %","5,030.00"
"H8020","2024-07-09","8.83","9.18","8.83","9","0.11 %","2,540.00"
"H8020","2024-07-08","8.85","9.29","8.85","8.99","0.67 %","38,070.00"
"H8020","2024-07-07","8.75","9","8.75","8.93","1.59 %","2,000.00"
"H8020","2024-07-04","8.75","8.9","8.75","8.79","-0.11 %","1,800.00"
"H8020","2024-07-03","8.7","9.22","8.7","8.8","1.15 %","1,500.00"
"H8020","2024-07-02","8.61","8.7","8.61","8.7","1.40 %","1,200.00"
"H8020","2024-07-01","8.7","8.7","8.58","8.58","-2.17 %","2,700.00"
"H8020","2024-06-30","8.77","8.77","8.76","8.77","-1.79 %","1,940.00"
"H8020","2024-06-27","8.93","8.94","8.93","8.93","-1.76 %","1,000.00"
"H8020","2024-06-26","9.27","9.27","9.09","9.09","-0.11 %","218.00"
"H8020","2024-06-25","8.53","9.1","8.53","9.1","4.60 %","7,500.00"
"H8020","2024-06-24","8.69","8.74","8.69","8.7","-1.69 %","2,050.00"
"H8020","2024-06-23","8.83","9","8.83","8.85","-1.67 %","2,000.00"
"H8020","2024-06-20","8.82","9.16","8.82","9","0.11 %","3,540.00"
"H8020","2024-06-19","8.67","8.99","8.67","8.99","1.93 %","850.00"
"H8020","2024-06-18","8.82","8.99","8.82","8.82","0.00 %","700.00"
"H8020","2024-06-16","8.67","8.82","8.67","8.82","0.00 %","900.00"
"H8020","2024-06-13","8.81","8.82","8.65","8.82","0.11 %","800.00"
"H8020","2024-06-12","8.82","8.97","8.7","8.81","-2.00 %","1,700.00"
"H8020","2024-06-11","8.9","9.12","8.9","8.99","-0.11 %","1,210.00"
"H8020","2024-06-10","8.95","9","8.95","9","0.56 %","2,100.00"
"H8020","2024-06-09","8.8","8.98","8.8","8.95","0.00 %","2,049.00"
"H8020","2024-06-06","8.94","9.11","8.94","8.95","-1.65 %","11,000.00"
"H8020","2024-06-05","9.1","9.1","9.1","9.1","-0.44 %","100.00"
"H8020","2024-06-04","8.97","9.14","8.9","9.14","1.90 %","3,900.00"
"H8020","2024-06-03","8.97","8.97","8.97","8.97","0.00 %","500.00"
"H8020","2024-06-02","9.1","9.1","8.93","8.97","-2.39 %","800.00"
"H8020","2024-05-30","8.85","9.19","8.85","9.19","2.00 %","62,019.00"
"H8020","2024-05-29","8.97","9.06","8.97","9.01","-1.53 %","1,900.00"
"H8020","2024-05-27","8.61","9.15","8.61","9.15","5.78 %","21,100.00"
"H8020","2024-05-26","8.5","8.69","8.5","8.65","-0.12 %","2,850.00"
"H8020","2024-05-22","8.5","8.7","8.5","8.66","0.58 %","800.00"
"H8020","2024-05-21","8.53","8.61","8.53","8.61","-1.03 %","1,700.00"
"H8020","2024-05-20","8.63","8.87","8.6","8.7","0.81 %","1,250.00"
"H8020","2024-05-19","8.58","8.85","8.52","8.63","-1.37 %","22,661.00"
"H8020","2024-05-16","8.7","8.87","8.53","8.75","0.57 %","11,200.00"
"H8020","2024-05-15","8.55","8.86","8.55","8.7","-0.11 %","30,800.00"
"H8020","2024-05-14","8.6","8.71","8.6","8.71","0.11 %","1,300.00"
"H8020","2024-05-13","8.7","8.7","8.62","8.7","0.00 %","1,200.00"
"H8020","2024-05-12","8.65","8.77","8.55","8.7","-1.36 %","64,469.00"
"H8020","2024-05-09","8.82","8.83","8.65","8.82","-1.89 %","8,000.00"
"H8020","2024-05-08","8.95","9","8.82","8.99","2.39 %","40,900.00"
"H8020","2024-05-07","8.7","8.78","8.6","8.78","2.09 %","1,200.00"
