Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBLD86,2025-01-08,"1,157.20","1,180.30","1,157.20","1,180.30",-0.04 %,75.00
HBLD86,2025-01-22,"1,156.69","1,156.69","1,145.00","1,145.00",-2.99 %,"5,010.00"
HBLD86,2025-01-26,"1,140.00","1,140.00","1,140.00","1,140.00",-0.44 %,255.00
HBLD86,2025-01-28,"1,125.00","1,125.00","1,125.00","1,125.00",-1.32 %,115.00
HBLD86,2025-02-03,"1,103.70","1,103.70","1,103.00","1,103.00",-1.96 %,50.00
HBLD86,2025-02-04,"1,096.00","1,096.00","1,095.00","1,095.00",-0.73 %,30.00
HBLD86,2025-02-05,"1,095.00","1,095.00","1,094.50","1,094.50",-0.05 %,40.00
HBLD86,2025-02-06,"1,093.60","1,095.00","1,093.60","1,095.00",0.05 %,25.00
HBLD86,2025-02-12,"1,116.90","1,116.90","1,116.90","1,116.90",2.00 %,5.00
HBLD86,2025-02-18,"1,139.00","1,139.00","1,139.00","1,139.00",1.98 %,30.00
HBLD86,2025-02-24,"1,120.00","1,120.00","1,120.00","1,120.00",-1.67 %,25.00
HBLD86,2025-02-25,"1,130.00","1,130.00","1,115.00","1,115.00",-0.45 %,55.00
HBLD86,2025-02-27,"1,137.00","1,137.00","1,120.80","1,120.80",0.52 %,50.00
HBLD86,2025-03-04,"1,120.00","1,120.00","1,120.00","1,120.00",-0.07 %,100.00
HBLD86,2025-03-09,"1,111.00","1,111.00","1,111.00","1,111.00",-0.80 %,25.00
HBLD86,2025-03-10,"1,106.00","1,106.00","1,106.00","1,106.00",-0.45 %,100.00
HBLD86,2025-03-11,"1,099.20","1,099.20","1,099.20","1,099.20",-0.61 %,25.00
HBLD86,2025-03-12,"1,100.00","1,100.00","1,100.00","1,100.00",0.07 %,26.00
HBLD86,2025-03-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.00 %,25.00
