"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HEIP","2025-01-07","465.8","465.8","451.8","460","-1.25 %","3,270.00"
"HEIP","2025-01-06","485","485","465.8","465.8","-2.35 %","2,550.00"
"HEIP","2025-01-05","479","479","440.1","477","1.51 %","1,307.00"
"HEIP","2025-01-02","436","469.9","430","469.9","5.64 %","7,960.00"
"HEIP","2025-01-01","436.1","444.8","416","444.8","-0.04 %","2,380.00"
"HEIP","2024-12-31","448","448","414.5","445","-2.63 %","4,370.00"
"HEIP","2024-12-29","466.5","466.5","440","457","-3.99 %","6,292.00"
"HEIP","2024-12-26","469","476","443","476","3.48 %","7,703.00"
"HEIP","2024-12-24","459.5","468.6","459.3","460","-1.88 %","5,613.00"
"HEIP","2024-12-23","488","488","468.8","468.8","-3.24 %","30.00"
"HEIP","2024-12-22","478.3","484.5","451.5","484.5","-0.72 %","5,790.00"
"HEIP","2024-12-19","479.3","488","469.9","488","-0.20 %","720.00"
"HEIP","2024-12-18","480","489","461.3","489","3.91 %","915.00"
"HEIP","2024-12-17","472","490","445","470.6","-2.20 %","1,650.00"
"HEIP","2024-12-16","510","510","480.3","481.2","-3.76 %","5,020.00"
"HEIP","2024-12-12","479","500","479","500","2.67 %","1,577.00"
"HEIP","2024-12-11","510","520","487","487","-2.60 %","21,863.00"
"HEIP","2024-12-10","505","508","489","500","-1.77 %","6,050.00"
"HEIP","2024-12-09","499.9","509","485","509","-0.20 %","1,754.00"
"HEIP","2024-12-08","503","543.6","493.6","510","-0.58 %","32,090.00"
"HEIP","2024-12-05","528.3","538.8","512","513","-4.82 %","8,746.00"
"HEIP","2024-12-04","531.1","540","510.7","539","-0.41 %","20,197.00"
"HEIP","2024-12-03","537.9","550","527.2","541.2","-1.38 %","15,490.00"
"HEIP","2024-12-02","563","563","520.4","548.8","-0.58 %","61,176.00"
"HEIP","2024-12-01","492.3","552","492.3","552","9.89 %","13,946.00"
"HEIP","2024-11-28","504","520","494","502.3","0.66 %","35,115.00"
"HEIP","2024-11-27","490.9","505","481.1","499","-0.38 %","5,370.00"
"HEIP","2024-11-26","493.1","501","493.1","500.9","-0.20 %","3,265.00"
"HEIP","2024-11-25","494.9","501.9","486.3","501.9","-0.59 %","2,995.00"
"HEIP","2024-11-24","498.9","559.9","460.5","504.9","-0.81 %","20,600.00"
"HEIP","2024-11-21","508.8","525","491","509","-1.95 %","25,923.00"
"HEIP","2024-11-20","464","519.1","455.1","519.1","9.98 %","21,535.00"
"HEIP","2024-11-19","471.7","480.5","444.8","472","0.06 %","36,615.00"
"HEIP","2024-11-17","465.9","474","462.6","471.7","1.24 %","32,913.00"
"HEIP","2024-11-14","456","478","429.3","465.9","2.17 %","23,428.00"
"HEIP","2024-11-13","453.9","478","430.1","456","2.47 %","18,201.00"
"HEIP","2024-11-12","441.1","445","438.2","445","-0.45 %","1,350.00"
"HEIP","2024-11-11","472.5","490.9","445.9","447","-7.26 %","19,602.00"
"HEIP","2024-11-10","474.4","513","438","482","-0.41 %","24,449.00"
"HEIP","2024-11-06","448.6","484","416","484","10.00 %","25,815.00"
"HEIP","2024-11-05","421","461.5","417.8","440","4.51 %","57,756.00"
"HEIP","2024-10-30","396.3","428.9","376.1","421","4.13 %","11,825.00"
"HEIP","2024-10-29","374.9","404.3","374.7","404.3","9.98 %","8,482.00"
"HEIP","2024-10-28","368","382.8","367.6","367.6","1.63 %","776.00"
"HEIP","2024-10-27","369","369","361.7","361.7","-3.29 %","358.00"
"HEIP","2024-10-24","374.2","374.2","366.8","374","-2.04 %","190.00"
"HEIP","2024-10-23","354","381.8","354","381.8","5.76 %","191.00"
"HEIP","2024-10-22","367","367","361","361","0.28 %","1,132.00"
"HEIP","2024-10-21","362.2","362.2","360","360","-0.91 %","700.00"
"HEIP","2024-10-20","378","378","363.3","363.3","-2.10 %","3,171.00"
"HEIP","2024-10-17","370.5","372","370.5","371.1","-1.83 %","1,852.00"
"HEIP","2024-10-16","368","382","365","378","0.72 %","660.00"
"HEIP","2024-10-15","374.34","375.3","360.1","375.3","2.26 %","141.00"
"HEIP","2024-10-09","372","397.8","363.6","367","-0.54 %","710.00"
"HEIP","2024-10-08","375","396","362","369","0.27 %","540.00"
"HEIP","2024-10-07","378.3","378.3","368","368","-4.66 %","1,520.00"
"HEIP","2024-10-06","367.2","386","353.7","386","7.22 %","900.00"
"HEIP","2024-10-02","368.2","387","351.1","360","-0.28 %","4,576.00"
"HEIP","2024-10-01","350.5","383","350.5","361","1.72 %","2,351.00"
"HEIP","2024-09-30","357.9","372.3","344.5","354.9","1.14 %","470.00"
"HEIP","2024-09-29","342.2","372.4","342.2","350.9","0.54 %","366.00"
"HEIP","2024-09-26","351.2","360","347","349","1.34 %","10,261.00"
"HEIP","2024-09-25","373.1","373.1","344.4","344.4","-5.85 %","7,132.00"
"HEIP","2024-09-24","345.1","380.8","345.1","365.8","4.22 %","300.00"
"HEIP","2024-09-23","357.9","372.3","351","351","0.03 %","5,842.00"
"HEIP","2024-09-22","376.4","388","350.9","350.9","-8.62 %","894.00"
"HEIP","2024-09-18","370.1","384","370.1","384","1.86 %","864.00"
"HEIP","2024-09-16","389.8","397.5","370","377","-1.36 %","3,130.00"
"HEIP","2024-09-15","387.9","395.6","380","382.2","0.50 %","1,260.00"
