"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HIDCLP","2025-01-07","164","168","163.8","166","-0.60 %","94,927.00"
"HIDCLP","2025-01-06","163.5","167.5","163","167","3.09 %","168,811.00"
"HIDCLP","2025-01-05","164","164","160.8","162","-0.49 %","34,716.00"
"HIDCLP","2025-01-02","162","163","161","162.8","0.49 %","116,712.00"
"HIDCLP","2025-01-01","164","164.1","161.3","162","0.62 %","42,498.00"
"HIDCLP","2024-12-31","172.7","172.7","161","161","-5.01 %","184,680.00"
"HIDCLP","2024-12-29","170.8","170.8","165.5","169.5","-2.59 %","154,512.00"
"HIDCLP","2024-12-26","169.8","174","166.7","174","3.26 %","271,394.00"
"HIDCLP","2024-12-24","163.7","169.8","163.7","168.5","0.90 %","142,786.00"
"HIDCLP","2024-12-23","164","167.9","163.3","167","1.83 %","97,310.00"
"HIDCLP","2024-12-22","166.5","167","163.9","164","-0.79 %","136,968.00"
"HIDCLP","2024-12-19","168","168.9","165.1","165.3","-1.02 %","155,545.00"
"HIDCLP","2024-12-18","167","169","166","167","0.00 %","68,829.00"
"HIDCLP","2024-12-17","167.5","168.9","166","167","0.00 %","92,344.00"
"HIDCLP","2024-12-16","169","171.8","165.7","167","-1.76 %","614,096.00"
"HIDCLP","2024-12-12","174","178","168.8","170","-1.16 %","111,651.00"
"HIDCLP","2024-12-11","169.8","173.1","166.9","172","3.30 %","232,391.00"
"HIDCLP","2024-12-10","167","168.8","165.8","166.5","-0.60 %","114,496.00"
"HIDCLP","2024-12-09","168","169.5","166","167.5","-0.30 %","150,869.00"
"HIDCLP","2024-12-08","171","171.9","167","168","-0.59 %","131,961.00"
"HIDCLP","2024-12-05","171.5","172","168.6","169","-1.52 %","213,223.00"
"HIDCLP","2024-12-04","175.9","175.9","170.1","171.6","-0.52 %","134,336.00"
"HIDCLP","2024-12-03","174","174","170","172.5","-0.23 %","343,779.00"
"HIDCLP","2024-12-02","177.2","177.2","171.6","172.9","-0.52 %","158,653.00"
"HIDCLP","2024-12-01","171.5","175","171.5","173.8","-0.69 %","206,600.00"
"HIDCLP","2024-11-28","177","179.9","174.7","175","-1.13 %","213,177.00"
"HIDCLP","2024-11-27","179.9","179.9","176","177","0.34 %","185,776.00"
"HIDCLP","2024-11-26","176","180","174","176.4","1.38 %","224,231.00"
"HIDCLP","2024-11-25","178.3","178.3","173.9","174","-0.51 %","170,319.00"
"HIDCLP","2024-11-24","176.5","178.5","173.5","174.9","-0.74 %","275,659.00"
"HIDCLP","2024-11-21","179.5","180","176","176.2","-0.73 %","267,856.00"
"HIDCLP","2024-11-20","177.1","181.3","177","177.5","-0.22 %","228,540.00"
"HIDCLP","2024-11-19","183.5","183.5","177.8","177.9","-2.47 %","759,880.00"
"HIDCLP","2024-11-17","179.4","187","179.4","182.4","-0.33 %","494,795.00"
"HIDCLP","2024-11-14","183","185.9","181","183","-0.54 %","444,083.00"
"HIDCLP","2024-11-13","184.4","186","182.1","184","-0.27 %","531,855.00"
"HIDCLP","2024-11-12","187.5","189.3","184.1","184.5","-0.75 %","274,558.00"
"HIDCLP","2024-11-11","190","192","184.7","185.9","-1.27 %","850,128.00"
"HIDCLP","2024-11-10","182.4","191","181.1","188.3","3.23 %","1,047,035.00"
"HIDCLP","2024-11-06","181.5","183.8","180.5","182.4","0.27 %","268,014.00"
"HIDCLP","2024-11-05","183","184","180.8","181.9","0.22 %","228,176.00"
"HIDCLP","2024-10-30","184.9","184.9","179.5","181.5","-1.04 %","333,984.00"
"HIDCLP","2024-10-29","183.5","185","182","183.4","0.99 %","430,857.00"
"HIDCLP","2024-10-28","184.1","184.1","180.1","181.6","0.61 %","354,808.00"
"HIDCLP","2024-10-27","183","184","180.4","180.5","-1.26 %","275,308.00"
"HIDCLP","2024-10-24","184.5","186.6","180","182.8","-0.11 %","463,138.00"
"HIDCLP","2024-10-23","186","187","183","183","-1.08 %","421,413.00"
"HIDCLP","2024-10-22","181","188.7","181","185","1.26 %","330,391.00"
"HIDCLP","2024-10-21","188","188.8","181.6","182.7","-2.30 %","676,700.00"
"HIDCLP","2024-10-20","185","193.5","179","187","0.54 %","1,235,890.00"
"HIDCLP","2024-10-17","182","193","182","186","2.76 %","1,408,628.00"
"HIDCLP","2024-10-16","176.9","182.5","175","181","2.84 %","729,275.00"
"HIDCLP","2024-10-15","176.8","177","173","176","1.15 %","138,111.00"
"HIDCLP","2024-10-09","175","176","172.4","174","-0.06 %","280,904.00"
"HIDCLP","2024-10-08","180","180","172","174.1","-3.01 %","298,614.00"
"HIDCLP","2024-10-07","178","182","175.5","179.5","0.84 %","841,957.00"
"HIDCLP","2024-10-06","164.6","178","164.6","178","6.27 %","737,442.00"
"HIDCLP","2024-10-02","166","170","164","167.5","0.84 %","709,867.00"
"HIDCLP","2024-10-01","162.5","167","161","166.1","3.81 %","601,427.00"
"HIDCLP","2024-09-30","158","161","158","160","0.63 %","127,293.00"
"HIDCLP","2024-09-29","159","160.9","154.5","159","-0.93 %","234,855.00"
"HIDCLP","2024-09-26","166.4","166.4","158","160.5","-1.65 %","296,794.00"
"HIDCLP","2024-09-25","156","163.2","154.9","163.2","5.97 %","554,848.00"
"HIDCLP","2024-09-24","163.7","163.8","152.9","154","-4.35 %","636,821.00"
"HIDCLP","2024-09-23","164","165.9","159.5","161","-1.83 %","371,959.00"
"HIDCLP","2024-09-22","166.2","171.9","162.9","164","0.61 %","487,643.00"
"HIDCLP","2024-09-18","165","167.8","162","163","-0.67 %","272,481.00"
"HIDCLP","2024-09-16","168.6","170.5","163","164.1","-3.41 %","472,342.00"
"HIDCLP","2024-09-15","179","180.9","168.7","169.9","-3.41 %","707,483.00"
"HIDCLP","2024-09-12","173","175.9","168.6","175.9","2.87 %","991,137.00"
"HIDCLP","2024-09-11","180","180","169.8","171","-3.39 %","871,724.00"
"HIDCLP","2024-09-10","170","186","170","177","4.12 %","1,664,085.00"
"HIDCLP","2024-09-09","160.9","173.4","158.2","170","5.66 %","1,382,906.00"
"HIDCLP","2024-09-08","161.7","166","150.1","160.9","-2.48 %","2,223,474.00"
"HIDCLP","2024-09-05","165","171.6","160","165","-1.79 %","448,129.00"
"HIDCLP","2024-09-04","175","177","166.7","168","-4.00 %","400,552.00"
"HIDCLP","2024-09-03","184","184","172","175","-3.05 %","377,558.00"
"HIDCLP","2024-09-02","169.4","183.5","166.6","180.5","4.46 %","574,286.00"
