Symbol,Date,Open,High,Low,Close,Percent Change,Volume
ICFCD83,2025-01-08,"1,285.00","1,285.00","1,280.00","1,280.00",-1.61 %,266.00
ICFCD83,2025-01-15,"1,280.00","1,290.00","1,280.00","1,280.00",0.00 %,700.00
ICFCD83,2025-01-16,"1,229.40","1,229.40","1,229.40","1,229.40",-3.95 %,12.00
ICFCD83,2025-01-21,"1,210.00","1,210.00","1,210.00","1,210.00",-1.58 %,1.00
ICFCD83,2025-01-22,"1,213.00","1,213.00","1,213.00","1,213.00",0.25 %,25.00
ICFCD83,2025-01-23,"1,210.00","1,215.00","1,210.00","1,215.00",0.16 %,230.00
ICFCD83,2025-01-28,"1,205.00","1,205.00","1,205.00","1,205.00",-0.82 %,25.00
ICFCD83,2025-02-03,"1,205.00","1,210.00","1,200.00","1,200.00",-0.41 %,"1,576.00"
ICFCD83,2025-02-04,"1,203.00","1,203.00","1,203.00","1,203.00",0.25 %,190.00
ICFCD83,2025-02-05,"1,226.00","1,226.00","1,226.00","1,226.00",1.91 %,1.00
ICFCD83,2025-02-06,"1,239.90","1,239.90","1,239.90","1,239.90",1.13 %,10.00
ICFCD83,2025-02-10,"1,239.00","1,239.00","1,239.00","1,239.00",-0.07 %,11.00
ICFCD83,2025-02-12,"1,238.90","1,238.90","1,238.90","1,238.90",-0.01 %,10.00
ICFCD83,2025-02-13,"1,238.00","1,238.00","1,238.00","1,238.00",-0.07 %,10.00
ICFCD83,2025-02-16,"1,221.00","1,221.00","1,221.00","1,221.00",-1.37 %,12.00
ICFCD83,2025-02-20,"1,206.00","1,206.00","1,205.00","1,205.00",-1.31 %,190.00
ICFCD83,2025-02-23,"1,205.10","1,205.10","1,205.10","1,205.10",0.01 %,3.00
ICFCD83,2025-02-25,"1,205.00","1,205.00","1,205.00","1,205.00",-0.01 %,200.00
ICFCD83,2025-03-10,"1,200.00","1,200.00","1,195.00","1,195.00",-0.83 %,650.00
ICFCD83,2025-03-12,"1,210.00","1,210.00","1,210.00","1,210.00",1.26 %,3.00
