Symbol,Date,Open,High,Low,Close,Percent Change,Volume
IHL,2025-01-08,700.00,725.00,695.00,703.90,0.06 %,"39,622.00"
IHL,2025-01-09,703.00,714.00,685.00,693.90,-1.42 %,"26,847.00"
IHL,2025-01-12,695.00,695.00,675.00,675.10,-2.71 %,"8,807.00"
IHL,2025-01-13,687.00,687.00,655.00,663.00,-1.79 %,"30,645.00"
IHL,2025-01-15,660.00,708.00,660.00,701.00,5.73 %,"29,446.00"
IHL,2025-01-16,700.00,719.70,694.30,702.00,0.14 %,"61,434.00"
IHL,2025-01-19,701.00,715.00,695.00,712.00,1.42 %,"39,750.00"
IHL,2025-01-20,725.50,725.50,706.00,712.00,0.00 %,"35,958.00"
IHL,2025-01-21,714.00,744.00,706.00,730.00,2.53 %,"53,754.00"
IHL,2025-01-22,730.00,765.00,730.00,755.00,3.42 %,"69,254.00"
IHL,2025-01-23,755.00,769.00,751.00,766.00,1.46 %,"40,725.00"
IHL,2025-01-26,766.00,800.00,750.00,793.00,3.52 %,"175,575.00"
IHL,2025-01-27,778.30,810.00,775.50,784.00,-1.13 %,"50,246.00"
IHL,2025-01-28,769.20,780.00,765.00,770.00,-1.79 %,"47,784.00"
IHL,2025-02-02,770.00,790.00,770.00,781.00,1.43 %,"91,543.00"
IHL,2025-02-03,796.60,811.00,782.00,797.00,2.05 %,"85,842.00"
IHL,2025-02-04,800.00,838.00,798.00,829.00,4.02 %,"65,319.00"
IHL,2025-02-05,838.00,838.00,810.60,815.00,-1.69 %,"53,556.00"
IHL,2025-02-06,800.00,823.00,792.00,799.90,-1.85 %,"36,461.00"
IHL,2025-02-09,785.00,815.00,780.10,781.00,-2.36 %,"25,372.00"
IHL,2025-02-10,770.00,800.00,765.60,780.00,-0.13 %,"46,454.00"
IHL,2025-02-11,770.00,804.00,770.00,786.00,0.77 %,"28,688.00"
IHL,2025-02-12,780.00,797.00,776.00,788.00,0.25 %,"37,894.00"
IHL,2025-02-13,797.00,818.00,772.30,815.00,3.43 %,"62,784.00"
IHL,2025-02-16,809.00,825.90,809.00,814.00,-0.12 %,"42,062.00"
IHL,2025-02-17,820.00,831.00,814.10,820.00,0.74 %,"94,017.00"
IHL,2025-02-18,807.00,830.00,800.00,800.00,-2.44 %,"27,461.00"
IHL,2025-02-20,790.00,810.00,782.00,784.00,-2.00 %,"22,712.00"
IHL,2025-02-23,770.00,798.00,760.00,763.00,-2.68 %,"32,342.00"
IHL,2025-02-24,750.10,790.00,750.10,768.00,0.66 %,"34,954.00"
IHL,2025-02-25,753.50,781.90,750.00,765.00,-0.39 %,"17,062.00"
IHL,2025-02-27,765.00,779.00,755.00,766.00,0.13 %,"15,678.00"
IHL,2025-03-02,766.00,775.00,755.10,766.00,0.00 %,"15,830.00"
IHL,2025-03-03,770.00,770.20,741.00,757.00,-1.17 %,"28,640.00"
IHL,2025-03-04,770.00,781.00,730.10,740.00,-2.25 %,"15,290.00"
IHL,2025-03-05,725.30,739.70,710.80,735.00,-0.68 %,"22,021.00"
IHL,2025-03-06,735.00,748.00,715.10,723.00,-1.63 %,"5,079.00"
IHL,2025-03-09,711.00,744.50,711.00,739.00,2.21 %,"10,278.00"
IHL,2025-03-10,747.00,749.90,715.00,729.00,-1.35 %,"9,808.00"
IHL,2025-03-11,714.50,734.00,708.00,708.00,-2.88 %,"44,514.00"
IHL,2025-03-12,698.10,715.00,698.10,714.00,0.85 %,"4,525.00"
IHL,2025-03-16,714.00,714.00,687.10,695.00,-2.66 %,"8,535.00"
