Symbol,Date,Open,High,Low,Close,Percent Change,Volume
JBBD87,2025-01-08,"1,093.00","1,093.00","1,093.00","1,093.00",0.18 %,40.00
JBBD87,2025-01-13,"1,075.00","1,075.00","1,075.00","1,075.00",-1.65 %,25.00
JBBD87,2025-01-19,"1,045.00","1,059.90","1,045.00","1,059.90",-1.40 %,520.00
JBBD87,2025-01-20,"1,050.00","1,050.00","1,050.00","1,050.00",-0.93 %,30.00
JBBD87,2025-01-22,"1,050.00","1,050.00","1,036.00","1,036.00",-1.33 %,"5,025.00"
JBBD87,2025-01-23,"1,050.00","1,050.00","1,050.00","1,050.00",1.35 %,300.00
JBBD87,2025-01-26,"1,059.00","1,060.00","1,059.00","1,060.00",0.95 %,80.00
JBBD87,2025-01-28,"1,046.00","1,047.00","1,046.00","1,047.00",-1.23 %,75.00
JBBD87,2025-02-02,"1,060.00","1,060.00","1,050.00","1,050.00",0.29 %,684.00
JBBD87,2025-02-03,"1,035.10","1,035.10","1,035.10","1,035.10",-1.42 %,25.00
JBBD87,2025-02-04,"1,044.00","1,044.00","1,043.00","1,043.00",0.76 %,75.00
JBBD87,2025-02-06,"1,047.00","1,047.00","1,047.00","1,047.00",0.38 %,25.00
JBBD87,2025-02-10,"1,075.00","1,080.00","1,075.00","1,080.00",3.15 %,343.00
JBBD87,2025-02-12,"1,040.00","1,050.00","1,040.00","1,050.00",-2.78 %,50.00
JBBD87,2025-02-13,"1,051.00","1,051.00","1,051.00","1,051.00",0.10 %,100.00
JBBD87,2025-02-17,"1,043.10","1,060.00","1,043.10","1,060.00",0.86 %,155.00
JBBD87,2025-02-20,"1,056.00","1,056.00","1,056.00","1,056.00",-0.38 %,2.00
JBBD87,2025-02-23,"1,070.00","1,070.00","1,070.00","1,070.00",1.33 %,250.00
JBBD87,2025-03-05,"1,040.00","1,046.10","1,040.00","1,046.10",-2.23 %,125.00
JBBD87,2025-03-11,"1,048.00","1,048.00","1,048.00","1,048.00",0.18 %,25.00
JBBD87,2025-03-12,"1,048.00","1,048.00","1,048.00","1,048.00",0.00 %,1.00
JBBD87,2025-03-16,"1,038.00","1,038.00","1,038.00","1,038.00",-0.95 %,25.00
