"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JOSHI","2025-01-07","446","470","439.3","445","-0.45 %","205,659.00"
"JOSHI","2025-01-06","440","452","431.2","447","3.23 %","144,073.00"
"JOSHI","2025-01-05","445","447","428","433","-2.21 %","90,170.00"
"JOSHI","2025-01-02","432.9","449.8","425.3","442.8","2.05 %","141,354.00"
"JOSHI","2025-01-01","404.9","434.7","395","433.9","9.29 %","101,145.00"
"JOSHI","2024-12-31","411.6","411.6","380","397","-5.48 %","144,099.00"
"JOSHI","2024-12-29","451.1","451.1","414.3","420","-8.76 %","183,594.00"
"JOSHI","2024-12-26","510.4","510.4","460.3","460.3","-9.99 %","202,519.00"
"JOSHI","2024-12-24","473","521.6","445.9","511.4","5.99 %","417,753.00"
"JOSHI","2024-12-23","449.1","492.3","433.2","482.5","7.20 %","261,529.00"
"JOSHI","2024-12-22","455","461.9","441.1","450.1","-2.13 %","96,812.00"
"JOSHI","2024-12-19","463","463","442","459.9","1.28 %","169,989.00"
"JOSHI","2024-12-18","456.9","457","441","454.1","1.36 %","118,327.00"
"JOSHI","2024-12-17","455","461","438","448","-1.08 %","101,089.00"
"JOSHI","2024-12-16","422.2","455.2","422.2","452.9","9.40 %","424,322.00"
"JOSHI","2024-12-12","429.1","464.1","406.9","414","-5.44 %","352,579.00"
"JOSHI","2024-12-11","467.5","467.5","429.3","437.8","-8.22 %","227,140.00"
"JOSHI","2024-12-10","450","479.2","415.2","477","7.67 %","163,312.00"
"JOSHI","2024-12-09","436","444.9","418","443","3.63 %","288,268.00"
"JOSHI","2024-12-08","476","476","427.5","427.5","-10.00 %","237,245.00"
"JOSHI","2024-12-05","460.7","490","447","475","5.16 %","296,709.00"
"JOSHI","2024-12-04","418.9","451.7","418.9","451.7","9.98 %","685,647.00"
"JOSHI","2024-12-03","380.8","410.7","380.8","410.7","9.99 %","135,359.00"
"JOSHI","2024-12-02","345.7","373.4","333","373.4","9.99 %","207,380.00"
"JOSHI","2024-12-01","351.3","351.3","329.1","339.5","-1.45 %","36,236.00"
"JOSHI","2024-11-28","350","350","334.5","344.5","-0.12 %","33,699.00"
"JOSHI","2024-11-27","348.7","348.7","341.1","344.9","0.88 %","44,016.00"
"JOSHI","2024-11-26","336.6","343","330","341.9","3.61 %","72,138.00"
"JOSHI","2024-11-25","322.1","336","322.1","330","0.92 %","23,577.00"
"JOSHI","2024-11-24","331.3","343","327","327","-3.25 %","25,551.00"
"JOSHI","2024-11-21","331.5","350.1","324.9","338","0.00 %","47,168.00"
"JOSHI","2024-11-20","322.9","340","321.2","338","2.61 %","59,750.00"
"JOSHI","2024-11-19","350.8","350.8","327.6","329.4","-4.24 %","65,887.00"
"JOSHI","2024-11-17","343.7","360","342.1","344","1.71 %","132,178.00"
"JOSHI","2024-11-14","338.9","345","323.1","338.2","0.96 %","63,800.00"
"JOSHI","2024-11-13","329","335","322.6","335","0.00 %","38,454.00"
"JOSHI","2024-11-12","344","344","324.2","335","-0.89 %","23,898.00"
"JOSHI","2024-11-11","330","342","320","338","4.00 %","112,501.00"
"JOSHI","2024-11-10","314","328.9","309.1","325","4.84 %","44,146.00"
"JOSHI","2024-11-06","308","317","308","310","-0.96 %","14,664.00"
"JOSHI","2024-11-05","308.7","318","308.7","313","-0.63 %","15,137.00"
"JOSHI","2024-10-30","309.7","321.9","303.7","315","-0.32 %","13,453.00"
"JOSHI","2024-10-29","314","317","307.8","316","2.27 %","26,798.00"
"JOSHI","2024-10-28","301.7","310","301.7","309","1.98 %","14,417.00"
"JOSHI","2024-10-27","300","308","299.1","303","-0.66 %","16,745.00"
"JOSHI","2024-10-24","315","315","302.7","305","-1.26 %","13,485.00"
"JOSHI","2024-10-23","306","324","304.5","308.9","-0.93 %","18,167.00"
"JOSHI","2024-10-22","296.1","312","296.1","311.8","3.25 %","26,331.00"
"JOSHI","2024-10-21","315.8","322","299","302","-2.49 %","17,015.00"
"JOSHI","2024-10-20","313.7","318","307","309.7","-3.22 %","31,190.00"
"JOSHI","2024-10-17","331.5","331.5","318","320","-1.54 %","34,488.00"
"JOSHI","2024-10-16","327.4","333","301.8","325","1.25 %","18,724.00"
"JOSHI","2024-10-15","324.3","337","308.3","321","0.94 %","8,346.00"
"JOSHI","2024-10-09","322.3","326.9","307.4","318","0.63 %","39,417.00"
"JOSHI","2024-10-08","322.8","325","309.1","316","-0.19 %","30,714.00"
"JOSHI","2024-10-07","295","319","295","316.6","8.42 %","39,887.00"
"JOSHI","2024-10-06","286","293.7","283.5","292","2.10 %","15,998.00"
"JOSHI","2024-10-02","295.8","299","284","286","-1.38 %","28,203.00"
"JOSHI","2024-10-01","277.9","291","272.8","290","5.45 %","20,942.00"
