"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KBLD86","2025-01-07","1127.1","1127.1","1127.1","1127.1","0.45 %","1,329.00"
"KBLD86","2025-01-06","1139.2","1139.2","1125","1122","-1.28 %","200.00"
"KBLD86","2025-01-02","1136.1","1205","1136.1","1136.5","0.04 %","1,334.00"
"KBLD86","2024-12-24","1136.1","1136.1","1136.1","1136.1","0.81 %","1,240.00"
"KBLD86","2024-12-22","1142.5","1142.5","1127","1127","-1.71 %","140.00"
"KBLD86","2024-12-19","1146.6","1146.6","1146.6","1146.6","0.00 %","25.00"
"KBLD86","2024-12-18","1146.6","1146.6","1146.6","1146.6","-2.00 %","25.00"
"KBLD86","2024-12-08","1207.2","1231.3","1170","1170","-1.15 %","930.00"
"KBLD86","2024-12-05","1208.7","1257.4","1208.7","1183.6","-0.12 %","335.00"
"KBLD86","2024-12-04","1185","1185","1115.4","1185","-1.87 %","940.00"
"KBLD86","2024-12-02","1184.9","1184.9","1138.1","1207.6","-0.12 %","375.00"
"KBLD86","2024-12-01","1185","1232.8","1185","1209","4.05 %","925.00"
"KBLD86","2024-11-27","1163.3","1163.3","1095","1161.9","-2.11 %","885.00"
"KBLD86","2024-11-20","1165","1187","1165","1187","1.93 %","110.00"
"KBLD86","2024-11-17","1164.5","1164.5","1164.5","1164.5","0.39 %","1,200.00"
"KBLD86","2024-11-14","1081.7","1160","1081.7","1160","9.38 %","7,550.00"
"KBLD86","2024-11-13","1126.6","1126.6","1060.5","1060.5","-7.74 %","1,200.00"
"KBLD86","2024-11-06","1142","1149.5","1142","1149.5","1.99 %","35.00"
"KBLD86","2024-10-28","1105","1127.1","1105","1127.1","1.09 %","35.00"
"KBLD86","2024-10-23","1115","1115","1115","1115","0.00 %","70.00"
"KBLD86","2024-10-21","1091.18","1115","1091.18","1115","2.18 %","25.00"
"KBLD86","2024-10-17","1091.18","1091.18","1091.18","1091.18","-0.14 %","25.00"
"KBLD86","2024-10-16","1115","1115","1092.7","1092.7","-1.65 %","125.00"
"KBLD86","2024-10-06","1108","1111","1108","1111","1.65 %","50.00"
"KBLD86","2024-10-02","1114.4","1114.4","1093","1093","-1.92 %","150.00"
"KBLD86","2024-09-30","1114.4","1114.4","1114.4","1114.4","2.00 %","50.00"
"KBLD86","2024-09-29","1114.8","1114.8","1092.6","1092.6","-0.04 %","35.00"
"KBLD86","2024-09-25","1093","1093","1093","1093","-0.06 %","10.00"
"KBLD86","2024-09-15","1093.7","1093.7","1093.7","1093.7","-2.00 %","25.00"
"KBLD86","2024-09-12","1116","1116","1116","1116","1.45 %","314.00"
"KBLD86","2024-09-08","1080","1100","1080","1100","0.00 %","120.00"
"KBLD86","2024-09-05","1090","1100","1090","1100","1.85 %","175.00"
"KBLD86","2024-09-04","1072","1080","1072","1080","0.75 %","125.00"
"KBLD86","2024-09-03","1065.1","1072","1065.1","1072","2.58 %","150.00"
"KBLD86","2024-09-02","1045","1045","1045","1045","0.29 %","25.00"
"KBLD86","2024-08-29","1062.8","1062.8","1062.8","1042","-1.96 %","4.00"
"KBLD86","2024-08-28","1060","1062.8","1060","1062.8","2.00 %","215.00"
"KBLD86","2024-08-27","1046","1046","1042","1042","1.61 %","145.00"
"KBLD86","2024-08-25","1128","1128","1025.1","1025.5","-9.09 %","455.00"
"KBLD86","2024-08-01","1128","1128","1128","1128","-2.00 %","50.00"
"KBLD86","2024-07-09","1131","1151","1131","1151","1.95 %","55.00"
"KBLD86","2024-07-07","1070.1","1129","1070","1129","5.02 %","1,170.00"
"KBLD86","2024-07-03","1075","1075","1075","1075","1.42 %","25.00"
"KBLD86","2024-07-02","1060","1060","1060","1060","-0.47 %","1,000.00"
"KBLD86","2024-06-16","1065","1065","1065","1065","1.43 %","25.00"
"KBLD86","2024-06-05","1050","1050","1050","1050","1.25 %","25.00"
"KBLD86","2024-06-04","1037","1037","1037","1037","-1.24 %","25.00"
"KBLD86","2024-06-02","1049.5","1050","1049.5","1050","0.00 %","150.00"
"KBLD86","2024-05-30","1037","1050","1037","1050","-0.66 %","50.00"
"KBLD86","2024-05-26","1057","1057","1057","1057","-1.86 %","25.00"
"KBLD86","2024-05-15","1077","1077","1077","1077","-0.06 %","25.00"
"KBLD86","2024-05-13","1077.7","1077.7","1077.7","1077.7","1.64 %","35.00"
"KBLD86","2024-05-09","1055","1060.3","1055","1060.3","1.99 %","55.00"
"KBLD86","2024-05-02","1039.6","1039.6","1039.6","1039.6","-2.00 %","25.00"
"KBLD86","2024-04-30","1060.8","1060.8","1060.8","1060.8","2.00 %","25.00"
"KBLD86","2024-04-25","1040","1040","1040","1040","1.46 %","25.00"
"KBLD86","2024-04-24","1025","1025","1025","1025","0.00 %","25.00"
"KBLD86","2024-04-22","1025","1025","1025","1025","-1.44 %","10.00"
"KBLD86","2024-04-14","1040","1040","1040","1040","0.00 %","300.00"
"KBLD86","2024-04-09","1040","1040","1040","1040","0.97 %","275.00"
"KBLD86","2024-04-03","1025","1030","1025","1030","1.88 %","515.00"
"KBLD86","2024-03-31","1011","1011","1011","1011","-0.39 %","200.00"
"KBLD86","2024-03-26","1015","1015","1015","1015","0.00 %","160.00"
"KBLD86","2024-03-25","1018","1018","1015","1015","0.50 %","75.00"
"KBLD86","2024-03-18","1011","1011","1010","1010","-0.98 %","118.00"
"KBLD86","2024-03-13","1028","1028","1020","1020","1.19 %","75.00"
"KBLD86","2024-03-06","1008","1008","1008","1008","-0.20 %","382.00"
"KBLD86","2024-02-25","1010","1010","1010","1010","0.00 %","175.00"
"KBLD86","2024-02-12","1010","1010","1010","1010","1.71 %","100.00"
"KBLD86","2024-01-31","994","994","993","993","-0.04 %","600.00"
"KBLD86","2024-01-28","993.4","993.4","993.4","993.4","1.99 %","15.00"
"KBLD86","2024-01-23","974","974","974","974","-0.03 %","15.00"
"KBLD86","2024-01-21","974.3","974.3","974.3","974.3","-1.99 %","10.00"
"KBLD86","2024-01-17","994.1","994.1","994.1","994.1","-1.99 %","50.00"
"KBLD86","2024-01-10","1014.3","1014.3","1014.3","1014.3","1.99 %","118.00"
"KBLD86","2023-12-27","994.5","994.5","994.5","994.5","2.00 %","10.00"
"KBLD86","2023-12-20","980","980","975","975","-0.51 %","130.00"
"KBLD86","2023-12-19","980","981.1","980","980","0.51 %","95.00"
"KBLD86","2023-12-18","1005","1005","975","975","-1.42 %","1,500.00"
"KBLD86","2023-12-14","989","989","989","989","-1.88 %","200.00"
"KBLD86","2023-12-06","1020","1020","1008","1008","-1.92 %","225.00"
"KBLD86","2023-12-05","1027.7","1027.7","1027.7","1027.7","-1.99 %","25.00"
"KBLD86","2023-12-04","1048.6","1048.6","1048.6","1048.6","-2.00 %","25.00"
"KBLD86","2023-07-27","1041.6","1070","1041.6","1070","0.68 %","5,033.00"
"KBLD86","2023-07-17","1084.4","1084.4","1062.8","1062.8","-3.95 %","20.00"
"KBLD86","2023-07-10","1084.9","1106.5","1084.9","1106.5","2.83 %","190.00"
"KBLD86","2023-07-09","1037","1076","1037","1076","3.99 %","130.00"
"KBLD86","2023-07-02","1014.5","1034.7","1014.5","1034.7","4.01 %","100.00"
"KBLD86","2023-06-18","986","994.8","986","994.8","2.00 %","101.00"
"KBLD86","2023-06-12","969","1015.5","969","975.3","1.59 %","370.00"
"KBLD86","2023-06-08","960","960","960","960","0.00 %","25.00"
"KBLD86","2023-06-05","960","960","960","960","-1.54 %","50.00"
"KBLD86","2023-06-04","975","975","975","975","1.88 %","25.00"
"KBLD86","2023-05-24","957","957","957","957","0.00 %","425.00"
"KBLD86","2023-05-21","956.5","957","956.5","957","1.81 %","210.00"
"KBLD86","2023-05-14","940","940","940","940","1.18 %","50.00"
"KBLD86","2023-05-08","920","929","920","929","0.98 %","525.00"
"KBLD86","2023-05-03","920","920","920","920","0.77 %","60.00"
"KBLD86","2023-05-02","920","920","913","913","-0.22 %","175.00"
"KBLD86","2023-04-30","909","915","909","915","1.10 %","65.00"
"KBLD86","2023-04-27","901","905","901","905","0.00 %","325.00"
"KBLD86","2023-04-20","905","905","905","905","-1.84 %","50.00"
"KBLD86","2023-04-13","905","923.1","905","922","1.32 %","110.00"
"KBLD86","2023-04-11","910","910","910","910","0.00 %","20.00"
