Symbol,Date,Open,High,Low,Close,Percent Change,Volume
KBLD90,2025-01-09,"1,165.00","1,225.00","1,165.00","1,225.00",5.60 %,77.00
KBLD90,2025-01-12,"1,227.00","1,245.00","1,227.00","1,245.00",1.63 %,33.00
KBLD90,2025-01-13,"1,280.00","1,300.00","1,280.00","1,300.00",4.42 %,48.00
KBLD90,2025-02-02,"1,197.90","1,197.90","1,197.90","1,197.90",-9.59 %,9.00
KBLD90,2025-02-03,"1,151.00","1,151.00","1,145.00","1,145.00",-4.42 %,55.00
KBLD90,2025-02-04,"1,125.00","1,125.00","1,099.70","1,121.00",-2.10 %,200.00
KBLD90,2025-02-10,"1,184.50","1,185.00","1,184.50","1,185.00",5.71 %,224.00
KBLD90,2025-02-18,"1,162.00","1,162.00","1,162.00","1,162.00",-1.94 %,25.00
KBLD90,2025-02-20,"1,145.00","1,145.00","1,123.00","1,123.00",-3.36 %,105.00
KBLD90,2025-02-23,"1,150.00","1,150.00","1,150.00","1,150.00",2.40 %,30.00
KBLD90,2025-03-04,"1,152.00","1,152.00","1,152.00","1,152.00",0.17 %,105.00
KBLD90,2025-03-06,"1,129.00","1,129.50","1,129.00","1,129.50",-1.95 %,50.00
KBLD90,2025-03-16,"1,112.00","1,112.00","1,112.00","1,112.00",-1.55 %,25.00
