Symbol,Date,Open,High,Low,Close,Percent Change,Volume
KSBBLD87,2025-01-19,"1,080.60","1,080.60","1,080.60","1,080.60",-2.00 %,1.00
KSBBLD87,2025-01-20,"1,065.00","1,065.00","1,065.00","1,065.00",-1.44 %,1.00
KSBBLD87,2025-01-21,"1,051.00","1,051.00","1,051.00","1,051.00",-1.31 %,35.00
KSBBLD87,2025-01-26,"1,045.10","1,047.10","1,045.10","1,047.10",-0.37 %,49.00
KSBBLD87,2025-01-28,"1,050.90","1,050.90","1,050.90","1,050.90",0.36 %,25.00
KSBBLD87,2025-02-02,"1,060.00","1,060.00","1,060.00","1,060.00",0.87 %,52.00
KSBBLD87,2025-02-03,"1,065.00","1,065.00","1,065.00","1,065.00",0.47 %,25.00
KSBBLD87,2025-02-05,"1,047.00","1,067.90","1,047.00","1,067.90",0.27 %,58.00
KSBBLD87,2025-02-06,"1,049.00","1,049.00","1,049.00","1,049.00",-1.77 %,100.00
KSBBLD87,2025-02-10,"1,069.90","1,085.00","1,069.90","1,085.00",3.43 %,204.00
KSBBLD87,2025-02-12,"1,064.00","1,064.00","1,064.00","1,064.00",-1.94 %,100.00
KSBBLD87,2025-02-20,"1,058.00","1,058.00","1,058.00","1,058.00",-0.56 %,25.00
KSBBLD87,2025-02-23,"1,060.00","1,070.00","1,060.00","1,070.00",1.13 %,324.00
KSBBLD87,2025-03-02,"1,055.00","1,055.00","1,050.00","1,050.00",-1.87 %,100.00
KSBBLD87,2025-03-04,"1,050.00","1,070.00","1,050.00","1,070.00",1.90 %,150.00
KSBBLD87,2025-03-06,"1,065.00","1,065.00","1,065.00","1,065.00",-0.47 %,25.00
KSBBLD87,2025-03-09,"1,065.00","1,065.00","1,065.00","1,065.00",0.00 %,75.00
KSBBLD87,2025-03-10,"1,045.00","1,045.00","1,045.00","1,045.00",-1.88 %,200.00
KSBBLD87,2025-03-11,"1,060.00","1,060.00","1,060.00","1,060.00",1.44 %,100.00
KSBBLD87,2025-03-12,"1,050.00","1,050.00","1,050.00","1,050.00",-0.94 %,100.00
