Symbol,Date,Open,High,Low,Close,Percent Change,Volume
LBBLD89,2025-01-08,"1,244.60","1,244.60","1,244.60","1,244.60",-2.00 %,4.00
LBBLD89,2025-01-13,"1,250.00","1,257.30","1,250.00","1,257.30",1.02 %,"20,945.00"
LBBLD89,2025-01-15,"1,240.00","1,240.00","1,240.00","1,240.00",-1.38 %,100.00
LBBLD89,2025-01-16,"1,215.20","1,215.20","1,215.20","1,215.20",-2.00 %,2.00
LBBLD89,2025-01-19,"1,167.10","1,167.10","1,167.10","1,167.10",-3.96 %,5.00
LBBLD89,2025-01-20,"1,165.00","1,165.00","1,165.00","1,165.00",-0.18 %,26.00
LBBLD89,2025-01-21,"1,125.60","1,125.60","1,082.00","1,082.00",-3.38 %,573.00
LBBLD89,2025-01-22,"1,148.10","1,210.00","1,148.10","1,210.00",7.50 %,"60,001.00"
LBBLD89,2025-01-23,"1,165.00","1,165.00","1,165.00","1,165.00",-1.75 %,100.00
LBBLD89,2025-01-26,"1,188.00","1,188.30","1,188.00","1,188.30",2.00 %,257.00
LBBLD89,2025-01-27,"1,170.00","1,170.00","1,170.00","1,170.00",-1.54 %,1.00
LBBLD89,2025-01-28,"1,193.00","1,195.00","1,193.00","1,195.00",2.14 %,45.00
LBBLD89,2025-02-10,"1,175.00","1,175.00","1,152.00","1,152.00",-3.60 %,180.00
LBBLD89,2025-02-11,"1,140.20","1,140.20","1,159.20","1,159.20",0.63 %,293.00
LBBLD89,2025-02-17,"1,160.00","1,200.00","1,160.00","1,200.00",3.52 %,32.00
LBBLD89,2025-02-18,"1,190.00","1,190.00","1,167.00","1,167.00",-2.75 %,86.00
LBBLD89,2025-02-20,"1,143.80","1,143.80","1,143.80","1,143.80",-1.99 %,1.00
LBBLD89,2025-02-23,"1,143.40","1,205.00","1,143.40","1,166.90",2.02 %,86.00
LBBLD89,2025-02-24,"1,203.00","1,203.00","1,180.00","1,203.00",3.09 %,26.00
LBBLD89,2025-02-25,"1,181.00","1,181.00","1,181.00","1,181.00",-1.83 %,66.00
LBBLD89,2025-02-27,"1,158.00","1,158.00","1,158.00","1,158.00",-1.95 %,1.00
LBBLD89,2025-03-02,"1,135.30","1,135.30","1,135.30","1,135.30",-1.96 %,1.00
LBBLD89,2025-03-04,"1,146.00","1,146.00","1,142.00","1,145.00",0.85 %,488.00
LBBLD89,2025-03-05,"1,144.50","1,144.50","1,122.10","1,144.50",-0.04 %,2.00
LBBLD89,2025-03-06,"1,166.90","1,166.90","1,121.70","1,166.90",1.96 %,3.00
LBBLD89,2025-03-09,"1,190.00","1,190.00","1,190.00","1,190.00",1.98 %,5.00
LBBLD89,2025-03-16,"1,190.00","1,190.00","1,190.00","1,190.00",0.00 %,100.00
