"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LVF2","2025-01-07","8.93","9.18","8.93","9.05","-0.11 %","2,200.00"
"LVF2","2025-01-06","8.89","9.06","8.85","9.06","1.91 %","1,250.00"
"LVF2","2025-01-05","8.8","8.89","8.8","8.89","-0.34 %","1,100.00"
"LVF2","2025-01-02","8.83","9.02","8.83","8.92","-0.89 %","1,410.00"
"LVF2","2025-01-01","8.82","9","8.82","9","0.22 %","600.00"
"LVF2","2024-12-31","8.9","9","8.89","8.98","-0.88 %","500.00"
"LVF2","2024-12-29","9","9.06","9","9.06","0.44 %","1,200.00"
"LVF2","2024-12-26","9","9.03","9","9.02","0.45 %","1,150.00"
"LVF2","2024-12-24","8.94","8.98","8.94","8.98","-1.10 %","200.00"
"LVF2","2024-12-23","9.02","9.08","8.85","9.08","-1.30 %","5,900.00"
"LVF2","2024-12-22","9.2","9.2","9.2","9.2","0.77 %","1,280.00"
"LVF2","2024-12-19","9.13","9.13","9.13","9.13","-1.40 %","200.00"
"LVF2","2024-12-18","9.44","9.44","9.26","9.26","0.00 %","550.00"
"LVF2","2024-12-17","9.4","9.4","9.25","9.26","-1.70 %","13,400.00"
"LVF2","2024-12-16","9.42","9.42","9.42","9.42","-1.36 %","100.00"
"LVF2","2024-12-12","9.47","9.55","9.34","9.55","-1.14 %","1,300.00"
"LVF2","2024-12-11","9.85","10","9.66","9.66","-0.31 %","204,550.00"
"LVF2","2024-12-10","9.5","9.69","9.42","9.69","2.76 %","14,400.00"
"LVF2","2024-12-09","9.7","9.71","9.43","9.43","-0.95 %","146,322.00"
"LVF2","2024-12-08","9.41","9.59","9.4","9.52","1.17 %","104,224.00"
"LVF2","2024-12-05","9.25","9.6","9.25","9.41","0.21 %","114,400.00"
"LVF2","2024-12-04","9.34","9.52","9.34","9.39","-1.16 %","3,500.00"
"LVF2","2024-12-03","9.35","9.5","9.35","9.5","0.85 %","2,400.00"
"LVF2","2024-12-02","9.31","9.58","9.31","9.42","-0.32 %","3,200.00"
"LVF2","2024-12-01","9.37","9.55","9.37","9.45","-1.15 %","2,300.00"
"LVF2","2024-11-28","9.37","9.56","9.37","9.56","2.14 %","3,440.00"
"LVF2","2024-11-27","9.28","9.36","9.28","9.36","0.00 %","1,200.00"
"LVF2","2024-11-26","9.32","9.36","9.32","9.36","0.32 %","3,340.00"
"LVF2","2024-11-25","9.15","9.35","9.15","9.33","0.11 %","5,100.00"
"LVF2","2024-11-24","9.33","9.47","9.31","9.32","-1.69 %","2,100.00"
"LVF2","2024-11-21","9.2","9.48","9.2","9.48","2.93 %","1,476.00"
"LVF2","2024-11-20","9.15","9.3","9.14","9.21","-1.07 %","1,200.00"
"LVF2","2024-11-19","9.3","9.31","9.3","9.31","-1.79 %","1,600.00"
"LVF2","2024-11-17","9.21","9.48","9.21","9.48","1.94 %","3,500.00"
"LVF2","2024-11-14","9.21","9.39","9.21","9.3","0.65 %","1,100.00"
"LVF2","2024-11-13","9.06","9.4","9.06","9.24","0.33 %","2,300.00"
"LVF2","2024-11-12","9.1","9.3","9.1","9.21","0.88 %","1,500.00"
"LVF2","2024-11-11","9.1","9.13","9.1","9.13","-0.87 %","630.00"
"LVF2","2024-11-10","9.38","9.56","9.2","9.21","-1.81 %","30,093.00"
"LVF2","2024-11-06","9.3","9.38","9.2","9.38","2.85 %","7,400.00"
"LVF2","2024-11-05","9.15","9.15","9.09","9.12","-0.33 %","1,200.00"
"LVF2","2024-10-30","8.98","9.15","8.98","9.15","1.33 %","1,300.00"
"LVF2","2024-10-29","8.95","9.03","8.95","9.03","0.44 %","1,800.00"
