Symbol,Date,Open,High,Low,Close,Percent Change,Volume
MBLD87,2025-01-09,"1,045.00","1,045.00","1,045.00","1,045.00",-1.32 %,25.00
MBLD87,2025-01-13,"1,042.00","1,042.00","1,040.00","1,040.00",-0.48 %,50.00
MBLD87,2025-01-16,"1,020.00","1,040.00","1,020.00","1,040.00",0.00 %,70.00
MBLD87,2025-01-19,"1,040.00","1,040.00","1,040.00","1,040.00",0.00 %,242.00
MBLD87,2025-01-22,"1,021.00","1,021.00","1,021.00","1,021.00",-1.83 %,25.00
MBLD87,2025-01-23,"1,030.00","1,030.00","1,027.00","1,027.00",0.59 %,55.00
MBLD87,2025-01-28,"1,030.00","1,030.00","1,030.00","1,030.00",0.29 %,100.00
MBLD87,2025-02-02,"1,040.00","1,040.00","1,030.00","1,030.00",0.00 %,172.00
MBLD87,2025-02-04,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,100.00
MBLD87,2025-02-10,"1,040.00","1,063.00","1,040.00","1,063.00",3.20 %,272.00
MBLD87,2025-02-13,"1,042.00","1,042.00","1,042.00","1,042.00",-1.98 %,25.00
MBLD87,2025-02-18,"1,025.00","1,045.50","1,025.00","1,045.50",0.34 %,65.00
MBLD87,2025-02-23,"1,046.00","1,046.00","1,046.00","1,046.00",0.05 %,215.00
MBLD87,2025-02-24,"1,045.00","1,046.00","1,045.00","1,046.00",0.00 %,50.00
MBLD87,2025-03-05,"1,050.00","1,050.00","1,029.00","1,049.50",0.33 %,129.00
MBLD87,2025-03-09,"1,039.00","1,039.00","1,039.00","1,039.00",-1.00 %,25.00
MBLD87,2025-03-12,"1,038.80","1,041.00","1,038.80","1,041.00",0.19 %,35.00
