"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEHL","2025-01-07","509.6","515","491","510","0.08 %","85,850.00"
"MEHL","2025-01-06","469.5","513.8","469.5","509.6","6.39 %","88,711.00"
"MEHL","2025-01-05","462.1","481.4","462.1","479","3.26 %","48,359.00"
"MEHL","2025-01-02","447","465.1","443.1","463.9","3.78 %","30,774.00"
"MEHL","2025-01-01","440","450.8","439.2","447","1.13 %","20,118.00"
"MEHL","2024-12-31","469.2","469.2","433","442","-3.91 %","47,253.00"
"MEHL","2024-12-29","463.6","475","458.2","460","-2.75 %","37,843.00"
"MEHL","2024-12-26","470","489.6","462.6","473","0.21 %","67,341.00"
"MEHL","2024-12-24","465","478","457.1","472","1.51 %","48,092.00"
"MEHL","2024-12-23","442","465","442","465","3.33 %","30,180.00"
"MEHL","2024-12-22","446","454.9","432.1","450","0.67 %","31,904.00"
"MEHL","2024-12-19","450.1","461","444.9","447","-1.76 %","34,723.00"
"MEHL","2024-12-18","465","470","453.8","455","-0.44 %","23,744.00"
"MEHL","2024-12-17","450","460","447.1","457","0.02 %","28,418.00"
"MEHL","2024-12-16","473","480","453","456.9","-3.20 %","52,844.00"
"MEHL","2024-12-12","456","489.8","451.2","472","3.51 %","97,065.00"
"MEHL","2024-12-11","443.1","459","439.2","456","3.10 %","47,902.00"
"MEHL","2024-12-10","454","454","440.5","442.3","-0.83 %","12,987.00"
"MEHL","2024-12-09","445.7","457.1","442.2","446","0.04 %","37,452.00"
"MEHL","2024-12-08","441","462","439","445.8","0.63 %","41,142.00"
"MEHL","2024-12-05","456.5","461","442","443","-2.85 %","67,205.00"
"MEHL","2024-12-04","470","481.9","455.2","456","-1.30 %","77,872.00"
"MEHL","2024-12-03","449.8","468","441","462","4.76 %","93,844.00"
"MEHL","2024-12-02","427.1","465","426.4","441","2.56 %","55,444.00"
"MEHL","2024-12-01","431","439","422.4","430","-1.15 %","17,659.00"
"MEHL","2024-11-28","449","457","433","435","-3.12 %","37,485.00"
"MEHL","2024-11-27","452","460","443","449","-0.66 %","48,958.00"
"MEHL","2024-11-26","420","452","418.5","452","5.85 %","52,419.00"
"MEHL","2024-11-25","420","431.5","411.6","427","2.87 %","19,713.00"
"MEHL","2024-11-24","415","436","415","415.1","-1.17 %","34,380.00"
"MEHL","2024-11-21","447","447.9","420","420","-4.55 %","40,548.00"
"MEHL","2024-11-20","435.2","458","432.3","440","-0.90 %","39,083.00"
"MEHL","2024-11-19","468","470.4","438.3","444","-5.13 %","83,829.00"
"MEHL","2024-11-17","445","481.9","445","468","5.60 %","94,480.00"
"MEHL","2024-11-14","429","455","413","443.2","3.31 %","98,002.00"
"MEHL","2024-11-13","422","430","414","429","1.66 %","44,725.00"
"MEHL","2024-11-12","423","431.3","414.5","422","-0.21 %","18,891.00"
"MEHL","2024-11-11","436.4","444","410","422.9","-1.17 %","66,063.00"
"MEHL","2024-11-10","420.1","431","416","427.9","3.88 %","61,714.00"
"MEHL","2024-11-06","393.2","414","393.2","411.9","2.72 %","44,089.00"
"MEHL","2024-11-05","392","404","385","401","0.75 %","13,145.00"
"MEHL","2024-10-30","395","404.9","391","398","-0.10 %","55,076.00"
