Symbol,Date,Open,High,Low,Close,Percent Change,Volume
MFLD85,2025-01-16,"1,063.30","1,063.30","1,063.30","1,063.30",-2.00 %,20.00
MFLD85,2025-01-19,"1,060.00","1,060.00","1,060.00","1,060.00",-0.31 %,100.00
MFLD85,2025-01-20,"1,040.50","1,040.50","1,040.50","1,040.50",-1.84 %,25.00
MFLD85,2025-01-22,"1,050.00","1,050.00","1,050.00","1,050.00",0.91 %,25.00
MFLD85,2025-01-23,"1,055.00","1,055.00","1,053.00","1,053.00",0.29 %,100.00
MFLD85,2025-01-28,"1,050.00","1,051.00","1,050.00","1,050.00",-0.28 %,450.00
MFLD85,2025-02-03,"1,065.00","1,065.00","1,050.00","1,050.00",0.00 %,100.00
MFLD85,2025-02-04,"1,060.00","1,060.00","1,060.00","1,060.00",0.95 %,225.00
MFLD85,2025-02-05,"1,070.00","1,070.00","1,070.00","1,070.00",0.94 %,30.00
MFLD85,2025-02-09,"1,055.00","1,055.00","1,055.00","1,055.00",-1.40 %,35.00
MFLD85,2025-02-10,"1,065.00","1,065.00","1,065.00","1,065.00",0.95 %,700.00
MFLD85,2025-02-11,"1,048.00","1,048.00","1,051.00","1,051.00",-1.31 %,202.00
MFLD85,2025-02-12,"1,060.00","1,060.00","1,060.00","1,060.00",0.86 %,200.00
MFLD85,2025-02-13,"1,050.10","1,050.10","1,046.00","1,053.30",-0.63 %,304.00
MFLD85,2025-02-18,"1,072.50","1,072.50","1,072.50","1,072.50",1.82 %,1.00
MFLD85,2025-02-25,"1,060.00","1,060.00","1,060.00","1,060.00",-1.17 %,25.00
MFLD85,2025-03-02,"1,060.00","1,060.00","1,060.00","1,060.00",0.00 %,25.00
MFLD85,2025-03-04,"1,063.00","1,063.00","1,063.00","1,063.00",0.28 %,20.00
MFLD85,2025-03-05,"1,056.00","1,056.50","1,056.00","1,056.50",-0.61 %,55.00
MFLD85,2025-03-09,"1,062.00","1,062.00","1,062.00","1,062.00",0.52 %,150.00
MFLD85,2025-03-10,"1,063.00","1,063.00","1,062.00","1,062.00",0.00 %,379.00
MFLD85,2025-03-12,"1,045.00","1,055.00","1,045.00","1,055.00",-0.66 %,99.00
MFLD85,2025-03-16,"1,061.00","1,061.00","1,056.10","1,056.10",0.10 %,225.00
