"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKCL","2025-01-07","1530","1530","1480","1518.9","1.26 %","3,470.00"
"MKCL","2025-01-06","1465","1500","1440","1500","3.52 %","4,346.00"
"MKCL","2025-01-05","1470","1470","1435.1","1449","-0.75 %","5,543.00"
"MKCL","2025-01-02","1470","1473.8","1433","1460","1.04 %","2,975.00"
"MKCL","2025-01-01","1480","1480","1431","1445","-0.62 %","2,221.00"
"MKCL","2024-12-31","1475","1480","1425","1454","-2.09 %","8,261.00"
"MKCL","2024-12-29","1480","1506","1480","1485","-1.00 %","3,513.00"
"MKCL","2024-12-26","1515","1530","1491","1500","-2.60 %","4,490.00"
"MKCL","2024-12-24","1489","1574.9","1489","1540","3.56 %","5,295.00"
"MKCL","2024-12-23","1472","1502","1472","1487","0.33 %","2,033.00"
"MKCL","2024-12-22","1472.2","1495","1472","1482.1","0.75 %","2,852.00"
"MKCL","2024-12-19","1476","1500","1470","1471.1","-1.27 %","2,886.00"
"MKCL","2024-12-18","1495","1510","1473","1490","-0.33 %","5,867.00"
"MKCL","2024-12-17","1478","1537","1478","1495","-0.33 %","3,324.00"
"MKCL","2024-12-16","1540","1540","1463","1500","-3.23 %","7,097.00"
"MKCL","2024-12-12","1560.1","1591","1550","1550","-0.64 %","3,592.00"
"MKCL","2024-12-11","1550","1560","1520.1","1560","0.78 %","2,126.00"
"MKCL","2024-12-10","1545","1563","1521.5","1548","0.19 %","5,678.00"
"MKCL","2024-12-09","1550","1581","1532","1545","0.52 %","4,563.00"
"MKCL","2024-12-08","1567","1567","1520","1537","-2.41 %","6,548.00"
"MKCL","2024-12-05","1605","1629.9","1568","1575","-1.56 %","7,693.00"
"MKCL","2024-12-04","1626","1657.5","1598","1600","-1.54 %","13,435.00"
"MKCL","2024-12-03","1620","1664","1620","1625","-0.61 %","5,459.00"
"MKCL","2024-12-02","1638","1683","1630","1635","-0.18 %","6,783.00"
"MKCL","2024-12-01","1645.1","1664","1631.8","1638","-1.62 %","8,000.00"
"MKCL","2024-11-28","1720","1720","1662","1665","-1.77 %","8,212.00"
"MKCL","2024-11-27","1700","1718","1680","1695","0.59 %","9,800.00"
"MKCL","2024-11-26","1650","1700","1647","1685","2.56 %","14,440.00"
"MKCL","2024-11-25","1640","1660","1600.1","1643","2.05 %","11,847.00"
"MKCL","2024-11-24","1600","1632","1600","1610","0.63 %","6,723.00"
"MKCL","2024-11-21","1635","1659","1600","1600","-2.14 %","11,254.00"
"MKCL","2024-11-20","1610","1651","1610","1635","0.80 %","7,141.00"
"MKCL","2024-11-19","1665","1693.5","1621","1622","-3.74 %","18,145.00"
"MKCL","2024-11-17","1700","1730","1670","1685","-0.82 %","13,112.00"
"MKCL","2024-11-14","1635","1720","1615","1699","5.60 %","34,409.00"
"MKCL","2024-11-13","1615","1620","1586","1608.9","1.51 %","11,369.00"
