Symbol,Date,Open,High,Low,Close,Percent Change,Volume
MLBLD89,2025-01-09,"1,234.00","1,234.00","1,234.00","1,234.00",-0.06 %,25.00
MLBLD89,2025-01-13,"1,220.00","1,220.00","1,196.00","1,196.00",-3.08 %,75.00
MLBLD89,2025-01-16,"1,173.00","1,173.00","1,173.00","1,173.00",-1.92 %,127.00
MLBLD89,2025-01-19,"1,195.00","1,195.00","1,195.00","1,195.00",1.88 %,100.00
MLBLD89,2025-01-20,"1,172.00","1,172.00","1,158.00","1,158.00",-3.10 %,126.00
MLBLD89,2025-01-22,"1,181.10","1,195.00","1,171.20","1,171.20",1.14 %,"13,239.00"
MLBLD89,2025-01-26,"1,163.00","1,163.00","1,163.00","1,163.00",-0.70 %,100.00
MLBLD89,2025-01-27,"1,180.00","1,180.00","1,180.00","1,180.00",1.46 %,25.00
MLBLD89,2025-01-28,"1,162.00","1,163.00","1,162.00","1,163.00",-1.44 %,103.00
MLBLD89,2025-02-02,"1,186.00","1,195.00","1,186.00","1,195.00",2.75 %,320.00
MLBLD89,2025-02-06,"1,180.00","1,180.00","1,160.00","1,160.00",-2.93 %,125.00
MLBLD89,2025-02-10,"1,210.00","1,210.00","1,199.00","1,199.00",3.36 %,"1,022.00"
MLBLD89,2025-02-23,"1,200.00","1,200.00","1,200.00","1,200.00",0.08 %,800.00
