"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MMF1","2025-01-07","8.58","9.07","8.58","8.89","1.83 %","64,833.00"
"MMF1","2025-01-06","8.55","9.1","8.55","8.73","0.34 %","18,012.00"
"MMF1","2025-01-05","8.7","8.84","8.54","8.7","-1.92 %","15,020.00"
"MMF1","2025-01-02","8.99","9.08","8.86","8.87","-1.77 %","18,500.00"
"MMF1","2025-01-01","8.82","9.1","8.74","9.03","0.33 %","4,700.00"
"MMF1","2024-12-31","8.73","9","8.56","9","3.09 %","9,166.00"
"MMF1","2024-12-29","8.6","8.9","8.6","8.73","0.00 %","18,990.00"
"MMF1","2024-12-26","8.82","8.85","8.66","8.73","-3.00 %","13,100.00"
"MMF1","2024-12-24","8.75","9.09","8.75","9","1.12 %","39,030.00"
"MMF1","2024-12-23","8.67","8.9","8.67","8.9","1.14 %","13,900.00"
"MMF1","2024-12-22","8.72","8.8","8.6","8.8","0.80 %","10,195.00"
"MMF1","2024-12-19","8.81","9.01","8.7","8.73","-1.02 %","25,500.00"
"MMF1","2024-12-18","8.69","9","8.69","8.82","-0.45 %","17,210.00"
"MMF1","2024-12-17","8.97","8.97","8.8","8.86","-1.23 %","8,420.00"
"MMF1","2024-12-16","8.96","8.99","8.96","8.97","-1.86 %","6,900.00"
"MMF1","2024-12-12","8.95","9.36","8.95","9.14","1.56 %","6,140.00"
"MMF1","2024-12-11","8.91","9","8.75","9","-0.66 %","23,923.00"
"MMF1","2024-12-10","9.22","9.22","9.04","9.06","-1.74 %","3,111.00"
"MMF1","2024-12-09","9.15","9.23","9.02","9.22","0.77 %","22,272.00"
"MMF1","2024-12-08","9.2","9.48","9.03","9.15","-0.54 %","21,924.00"
"MMF1","2024-12-05","9.4","9.55","9.06","9.2","-0.33 %","36,333.00"
"MMF1","2024-12-04","9.03","9.3","9.03","9.23","2.33 %","95,536.00"
"MMF1","2024-12-03","9.01","9.33","8.99","9.02","-1.42 %","56,010.00"
"MMF1","2024-12-02","9.5","9.72","9.1","9.15","-2.45 %","412,030.00"
"MMF1","2024-12-01","8.93","9.38","8.8","9.38","3.99 %","190,938.00"
"MMF1","2024-11-28","8.92","9.23","8.92","9.02","0.00 %","202,550.00"
"MMF1","2024-11-27","8.98","9.02","8.92","9.02","0.45 %","70,050.00"
"MMF1","2024-11-26","9","9.09","8.92","8.98","0.45 %","39,675.00"
"MMF1","2024-11-25","8.79","9.1","8.67","8.94","-0.11 %","25,760.00"
"MMF1","2024-11-24","8.88","9","8.88","8.95","-0.56 %","8,950.00"
"MMF1","2024-11-21","8.9","9.18","8.88","9","0.22 %","26,300.00"
"MMF1","2024-11-20","8.88","9.02","8.87","8.98","-0.44 %","15,450.00"
"MMF1","2024-11-19","9.02","9.2","8.91","9.02","0.00 %","30,700.00"
"MMF1","2024-11-17","9.21","9.21","8.95","9.02","-1.53 %","123,137.00"
"MMF1","2024-11-14","9.06","9.3","9.06","9.16","-0.87 %","18,826.00"
"MMF1","2024-11-13","9.3","9.31","8.94","9.24","-0.65 %","10,210.00"
"MMF1","2024-11-12","9.11","9.62","9.11","9.3","0.11 %","26,996.00"
"MMF1","2024-11-11","9.4","9.4","9","9.29","0.76 %","30,303.00"
"MMF1","2024-11-10","9","9.27","9","9.22","2.67 %","238,150.00"
"MMF1","2024-11-06","8.65","9.16","8.65","8.98","1.81 %","17,710.00"
"MMF1","2024-11-05","9.28","9.46","8.82","8.82","-3.08 %","5,819.00"
"MMF1","2024-10-30","9.15","9.15","8.93","9.1","0.00 %","246,953.00"
"MMF1","2024-10-29","9.05","9.23","8.83","9.1","1.34 %","160,009.00"
"MMF1","2024-10-28","8.8","9","8.75","8.98","0.79 %","26,951.00"
"MMF1","2024-10-27","8.73","9.05","8.57","8.91","0.11 %","40,500.00"
"MMF1","2024-10-24","9.15","9.15","8.65","8.9","-0.89 %","75,700.00"
"MMF1","2024-10-23","8.73","9.14","8.72","8.98","1.13 %","46,057.00"
"MMF1","2024-10-22","9.15","9.15","8.52","8.88","-1.33 %","67,255.00"
"MMF1","2024-10-21","9.15","9.15","8.82","9","0.11 %","68,538.00"
"MMF1","2024-10-20","9.13","9.13","8.8","8.99","0.33 %","24,711.00"
"MMF1","2024-10-17","8.92","9.05","8.8","8.96","2.40 %","56,871.00"
"MMF1","2024-10-16","8.97","8.97","8.75","8.75","-0.57 %","67,319.00"
