"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MMKJL","2025-01-07","725","738","706","718","-0.97 %","28,870.00"
"MMKJL","2025-01-06","700","732","693","725","5.58 %","48,757.00"
"MMKJL","2025-01-05","693","693","681","686.7","0.99 %","22,134.00"
"MMKJL","2025-01-02","690.3","690.3","670","680","0.46 %","12,604.00"
"MMKJL","2025-01-01","671","683.2","665","676.9","2.72 %","9,155.00"
"MMKJL","2024-12-31","669.4","675","648","659","-2.95 %","24,914.00"
"MMKJL","2024-12-29","683","695","672.2","679","-0.73 %","20,748.00"
"MMKJL","2024-12-26","691","700","684","684","-2.01 %","33,285.00"
"MMKJL","2024-12-24","692","711.9","683.1","698","-0.14 %","25,568.00"
"MMKJL","2024-12-23","675","700","675","699","3.16 %","11,960.00"
"MMKJL","2024-12-22","665","704","665","677.6","0.39 %","15,469.00"
"MMKJL","2024-12-19","690","700","665","675","-2.17 %","29,510.00"
"MMKJL","2024-12-18","686","720","683.1","690","0.57 %","19,436.00"
"MMKJL","2024-12-17","692.1","710","686.1","686.1","-2.68 %","30,403.00"
"MMKJL","2024-12-16","733","746","705","705","-5.62 %","52,145.00"
"MMKJL","2024-12-12","780.3","830","737","747","-2.35 %","61,075.00"
"MMKJL","2024-12-11","700","768.7","700","765","8.51 %","94,614.00"
"MMKJL","2024-12-10","677","715","677","705","2.17 %","54,195.00"
"MMKJL","2024-12-09","690","710","680","690","0.58 %","37,218.00"
"MMKJL","2024-12-08","703","703","667.5","686","-0.58 %","43,133.00"
"MMKJL","2024-12-05","704","723","680","690","-3.85 %","42,886.00"
"MMKJL","2024-12-04","675","725","665.4","717.6","8.38 %","140,361.00"
"MMKJL","2024-12-03","650","679","646","662.1","2.97 %","75,716.00"
"MMKJL","2024-12-02","638","652","636.3","643","0.47 %","20,363.00"
"MMKJL","2024-12-01","629.5","654.8","628","640","-0.36 %","26,614.00"
"MMKJL","2024-11-28","672.9","672.9","638","642.3","-2.84 %","46,212.00"
"MMKJL","2024-11-27","688.5","688.5","658","661.1","-2.06 %","84,039.00"
"MMKJL","2024-11-26","669","680","658","675","2.90 %","94,063.00"
"MMKJL","2024-11-25","643","677","635","656","1.55 %","56,253.00"
"MMKJL","2024-11-24","654.1","666","641","646","-2.56 %","42,118.00"
"MMKJL","2024-11-21","682","691","655","663","-2.77 %","32,680.00"
"MMKJL","2024-11-20","639","688","639","681.9","7.88 %","163,063.00"
"MMKJL","2024-11-19","650","653.1","631","632.1","-2.45 %","92,067.00"
"MMKJL","2024-11-17","626","660","626","648","1.73 %","97,294.00"
"MMKJL","2024-11-14","620","644","620","637","1.11 %","44,584.00"
"MMKJL","2024-11-13","593.5","635","590","630","5.35 %","68,597.00"
"MMKJL","2024-11-12","610","620","591","598","-1.32 %","59,915.00"
"MMKJL","2024-11-11","570.6","606.9","570.6","606","8.31 %","112,758.00"
"MMKJL","2024-11-10","544.1","564.8","536.3","559.5","2.85 %","16,930.00"
"MMKJL","2024-11-06","530","572","529","544","0.74 %","14,864.00"
"MMKJL","2024-11-05","545","549.7","531.3","540","-1.10 %","14,792.00"
"MMKJL","2024-10-30","573.9","574","543","546","-4.55 %","31,820.00"
"MMKJL","2024-10-29","559","614","537.1","572","0.35 %","98,625.00"
"MMKJL","2024-10-28","559.6","582.4","559.6","570","-0.18 %","41,728.00"
"MMKJL","2024-10-27","575","590","558","571","-0.19 %","40,222.00"
"MMKJL","2024-10-24","532.8","579","532.8","572.1","5.24 %","64,132.00"
"MMKJL","2024-10-23","523.5","546","523.5","543.6","1.80 %","19,225.00"
"MMKJL","2024-10-22","519.2","539","519.2","534","0.95 %","12,299.00"
"MMKJL","2024-10-21","519.5","540","519.5","529","-0.21 %","22,397.00"
"MMKJL","2024-10-20","527.3","564","517","530.1","-1.47 %","56,117.00"
"MMKJL","2024-10-17","510","540","502","538","4.04 %","33,117.00"
"MMKJL","2024-10-16","498","521","492.4","517.1","3.84 %","19,617.00"
"MMKJL","2024-10-15","485","498","485","498","2.68 %","2,597.00"
"MMKJL","2024-10-09","490","497","480.2","485","-1.02 %","5,087.00"
"MMKJL","2024-10-08","491","500.8","481","490","-2.00 %","8,710.00"
"MMKJL","2024-10-07","508.9","509","494","500","0.18 %","8,995.00"
"MMKJL","2024-10-06","490.1","548","490","499.1","-0.08 %","49,756.00"
"MMKJL","2024-10-02","507","513","481.3","499.5","-3.01 %","11,622.00"
"MMKJL","2024-10-01","485.1","515.6","485.1","515","4.04 %","10,260.00"
"MMKJL","2024-09-30","499.9","505","484","495","-0.98 %","2,254.00"
"MMKJL","2024-09-29","504.7","524","478","499.9","-2.93 %","13,209.00"
"MMKJL","2024-09-26","494.9","545","490","515","1.98 %","25,087.00"
"MMKJL","2024-09-25","455","505","451.8","505","9.54 %","13,848.00"
"MMKJL","2024-09-24","488","488","460.8","461","-3.74 %","11,366.00"
"MMKJL","2024-09-23","498","507","472.9","478.9","-2.19 %","7,096.00"
"MMKJL","2024-09-22","510","510","474.2","489.6","-2.08 %","13,876.00"
"MMKJL","2024-09-18","495","504","492","500","0.00 %","4,520.00"
"MMKJL","2024-09-16","517","517","493.3","500","-4.21 %","18,150.00"
"MMKJL","2024-09-15","519.9","550","509.6","522","1.62 %","24,650.00"
"MMKJL","2024-09-12","485","513.7","485","513.7","4.84 %","10,058.00"
"MMKJL","2024-09-11","501","501","485","490","-2.00 %","17,811.00"
"MMKJL","2024-09-10","528","528","495","500","-3.47 %","12,910.00"
"MMKJL","2024-09-09","531","531","495","518","-2.26 %","16,150.00"
"MMKJL","2024-09-08","542","542.7","520","530","-0.39 %","23,290.00"
"MMKJL","2024-09-05","539","549","516","532.1","-2.72 %","13,566.00"
"MMKJL","2024-09-04","568","580","544.9","547","-5.53 %","18,352.00"
"MMKJL","2024-09-03","590","600","567","579","-1.03 %","18,388.00"
"MMKJL","2024-09-02","570","599.9","563","585","0.86 %","8,440.00"
"MMKJL","2024-09-01","611.6","611.6","575","580","-7.05 %","9,804.00"
"MMKJL","2024-08-29","597.8","650","588","624","2.30 %","66,521.00"
"MMKJL","2024-08-28","597","610","590","610","2.18 %","32,091.00"
"MMKJL","2024-08-27","569","597","560","597","4.85 %","44,727.00"
"MMKJL","2024-08-25","605","605.8","555","569.4","-4.14 %","15,373.00"
"MMKJL","2024-08-22","581.3","617","578.5","594","0.68 %","20,950.00"
"MMKJL","2024-08-21","590","610","581","590","-1.67 %","28,586.00"
"MMKJL","2024-08-18","635","635","600","600","-5.51 %","28,008.00"
"MMKJL","2024-08-15","645","645","610","635","-0.39 %","44,185.00"
"MMKJL","2024-08-14","638","645","602","637.5","-2.07 %","39,593.00"
"MMKJL","2024-08-13","668","749","647","651","-4.41 %","220,748.00"
"MMKJL","2024-08-12","680","688.8","662","681","-1.16 %","41,581.00"
"MMKJL","2024-08-11","692","692","665.2","689","-0.14 %","63,833.00"
"MMKJL","2024-08-08","632.1","690","618","690","6.98 %","83,941.00"
"MMKJL","2024-08-07","600.8","660","583.5","645","5.22 %","72,116.00"
"MMKJL","2024-08-06","618.2","640","578","613","1.14 %","92,416.00"
"MMKJL","2024-08-05","551","606.1","546.1","606.1","10.00 %","75,324.00"
"MMKJL","2024-08-01","569.9","575","550","551","-1.61 %","30,054.00"
"MMKJL","2024-07-31","570","581","556","560","-1.75 %","54,751.00"
"MMKJL","2024-07-30","574","590","568.4","570","-2.56 %","48,468.00"
"MMKJL","2024-07-29","573.3","632","569","585","0.00 %","31,134.00"
"MMKJL","2024-07-28","580","586","556","585","2.81 %","23,624.00"
"MMKJL","2024-07-25","590","590","565.1","569","-2.23 %","24,951.00"
"MMKJL","2024-07-24","593","598","575","582","-3.77 %","39,604.00"
"MMKJL","2024-07-23","599","632","587.1","604.8","2.34 %","47,314.00"
"MMKJL","2024-07-22","601.9","601.9","575","591","-3.75 %","56,707.00"
"MMKJL","2024-07-21","637","647.9","590","614","-5.54 %","127,406.00"
"MMKJL","2024-07-18","593","665","580","650","7.44 %","63,478.00"
"MMKJL","2024-07-17","602","605","580.1","605","2.37 %","47,934.00"
"MMKJL","2024-07-16","547.7","597.7","547.7","591","5.76 %","52,139.00"
"MMKJL","2024-07-15","536.1","568.9","530","558.8","2.16 %","59,974.00"
"MMKJL","2024-07-14","527.3","548","508","547","5.80 %","45,122.00"
"MMKJL","2024-07-11","522","527","512","517","-0.54 %","43,921.00"
"MMKJL","2024-07-10","504.9","523","493.9","519.8","4.59 %","64,426.00"
"MMKJL","2024-07-09","500","500","488","497","-1.19 %","13,873.00"
"MMKJL","2024-07-08","500","510","496","503","-0.20 %","12,587.00"
"MMKJL","2024-07-07","499","509","493","504","-0.20 %","98,271.00"
"MMKJL","2024-07-04","490","505","490","505","2.02 %","30,166.00"
"MMKJL","2024-07-03","496.4","504","492","495","-2.17 %","33,899.00"
"MMKJL","2024-07-02","515.6","525.9","493","506","0.10 %","19,379.00"
"MMKJL","2024-07-01","494","505.5","484.2","505.5","0.60 %","47,931.00"
"MMKJL","2024-06-30","505.7","558.1","498","502.5","-2.62 %","160,959.00"
"MMKJL","2024-06-27","511","517","505.5","516","1.20 %","83,968.00"
"MMKJL","2024-06-26","479.3","509.9","469.9","509.9","4.27 %","63,761.00"
"MMKJL","2024-06-25","481.3","494","481.3","489","-0.41 %","24,409.00"
"MMKJL","2024-06-24","485","493","483","491","0.10 %","28,367.00"
"MMKJL","2024-06-23","456","490.6","456","490.5","6.17 %","67,482.00"
"MMKJL","2024-06-20","471","487","462","462","-2.74 %","17,569.00"
"MMKJL","2024-06-19","464.2","476","450","475","4.37 %","24,599.00"
"MMKJL","2024-06-18","474","480.5","447","455.1","-2.98 %","35,114.00"
"MMKJL","2024-06-16","477.3","487","469.1","469.1","-3.60 %","10,668.00"
"MMKJL","2024-06-13","483.2","492.8","475","486.6","-1.30 %","32,753.00"
"MMKJL","2024-06-12","505.9","505.9","477","493","-0.60 %","55,858.00"
"MMKJL","2024-06-11","504.5","529","496","496","-1.59 %","38,509.00"
"MMKJL","2024-06-10","482","508.9","482","504","3.07 %","117,744.00"
"MMKJL","2024-06-09","488","497","480","489","0.20 %","64,639.00"
"MMKJL","2024-06-06","476","493","470.4","488","0.62 %","50,375.00"
"MMKJL","2024-06-05","479.4","498","456","485","3.19 %","72,970.00"
"MMKJL","2024-06-04","445","475","445","470","7.01 %","128,790.00"
"MMKJL","2024-06-03","445","447","437.1","439.2","0.50 %","29,675.00"
"MMKJL","2024-06-02","421.5","446","421.5","437","2.37 %","28,150.00"
"MMKJL","2024-05-30","427","440","418","426.9","-1.84 %","12,898.00"
"MMKJL","2024-05-29","443","443.2","414","434.9","0.07 %","8,686.00"
"MMKJL","2024-05-27","426","440","425.9","434.6","2.02 %","3,858.00"
"MMKJL","2024-05-26","447.3","447.3","421.7","426","-2.87 %","8,495.00"
"MMKJL","2024-05-22","440","450","430","438.6","-1.84 %","9,170.00"
"MMKJL","2024-05-21","448.1","450","431.3","446.8","1.55 %","36,388.00"
"MMKJL","2024-05-20","432.2","464","432.2","440","1.80 %","21,128.00"
"MMKJL","2024-05-19","440","446.7","427.1","432.2","-1.32 %","14,735.00"
"MMKJL","2024-05-16","453.9","453.9","429.6","438","-2.01 %","12,070.00"
"MMKJL","2024-05-15","459","459","435","447","-0.67 %","14,692.00"
"MMKJL","2024-05-14","440","457","432","450","0.25 %","28,256.00"
"MMKJL","2024-05-13","454","454","438","448.9","-0.02 %","22,150.00"
"MMKJL","2024-05-12","456.9","459","428","449","-1.73 %","64,009.00"
"MMKJL","2024-05-09","430.3","457.8","430.3","456.9","4.08 %","48,791.00"
"MMKJL","2024-05-08","405.9","439","405.9","439","7.07 %","39,839.00"
"MMKJL","2024-05-07","404.1","415.9","404.1","410","-0.12 %","7,825.00"
"MMKJL","2024-05-06","408.6","414","408.1","410.5","-1.54 %","4,995.00"
"MMKJL","2024-05-05","409","419.2","406.3","416.9","-0.02 %","20,313.00"
"MMKJL","2024-05-02","428.1","428.1","410","417","-0.67 %","13,665.00"
"MMKJL","2024-04-30","411.3","426","405.1","419.8","0.21 %","17,977.00"
"MMKJL","2024-04-29","409.9","420","409.9","418.9","0.17 %","13,183.00"
"MMKJL","2024-04-28","409","418.2","407","418.2","0.29 %","12,822.00"
"MMKJL","2024-04-25","411","426","411","417","-0.24 %","7,799.00"
"MMKJL","2024-04-24","406.4","426.9","406.4","418","0.82 %","8,010.00"
