Symbol,Date,Open,High,Low,Close,Percent Change,Volume
MNMF1,2025-01-16,9.45,10.42,9.34,9.45,-5.50 %,"41,391.00"
MNMF1,2025-01-19,9.31,9.63,8.97,9.63,1.90 %,"85,151.00"
MNMF1,2025-01-20,9.44,10.21,9.11,9.25,-3.95 %,"24,300.00"
MNMF1,2025-01-21,9.25,9.43,9.08,9.25,0.00 %,"13,000.00"
MNMF1,2025-01-22,9.13,9.43,9.07,9.12,-1.41 %,"94,800.00"
MNMF1,2025-01-23,9.00,9.48,9.00,9.30,1.97 %,"79,368.00"
MNMF1,2025-01-26,9.12,9.48,8.90,9.15,-1.61 %,"169,280.00"
MNMF1,2025-01-27,9.15,9.29,8.93,9.09,-0.66 %,"98,345.00"
MNMF1,2025-01-28,8.92,9.40,8.75,9.14,0.55 %,"80,760.00"
MNMF1,2025-02-02,9.00,9.48,8.90,9.18,0.44 %,"121,190.00"
MNMF1,2025-02-03,9.18,9.18,8.96,9.18,0.00 %,"53,130.00"
MNMF1,2025-02-04,9.00,9.28,8.83,9.05,-1.42 %,"29,914.00"
MNMF1,2025-02-05,9.00,9.22,8.91,9.02,-0.33 %,"31,450.00"
MNMF1,2025-02-06,8.85,9.18,8.85,9.00,-0.22 %,"10,770.00"
MNMF1,2025-02-09,9.00,9.05,8.80,9.05,0.56 %,"60,930.00"
MNMF1,2025-02-10,8.87,9.10,8.70,9.00,-0.55 %,"18,655.00"
MNMF1,2025-02-11,8.82,9.11,8.82,8.97,-0.33 %,"22,660.00"
MNMF1,2025-02-12,8.87,9.00,8.87,9.00,0.33 %,"5,350.00"
MNMF1,2025-02-13,8.90,9.25,8.87,8.87,-1.44 %,"24,694.00"
MNMF1,2025-02-16,8.87,9.00,8.80,9.00,1.47 %,"39,370.00"
MNMF1,2025-02-17,8.83,9.10,8.83,9.03,0.33 %,"25,580.00"
MNMF1,2025-02-18,9.02,9.07,8.90,9.00,-0.33 %,"43,254.00"
MNMF1,2025-02-20,8.83,9.18,8.83,8.90,-1.11 %,"24,740.00"
MNMF1,2025-02-23,8.74,9.05,8.74,8.90,0.00 %,"14,610.00"
MNMF1,2025-02-24,8.86,9.00,8.85,8.87,-0.34 %,"7,460.00"
MNMF1,2025-02-25,8.70,9.04,8.70,8.90,0.34 %,"19,120.00"
MNMF1,2025-02-27,8.90,9.00,8.67,8.87,-0.34 %,"4,832.00"
MNMF1,2025-03-02,8.75,9.27,8.75,9.27,4.51 %,"186,840.00"
MNMF1,2025-03-03,9.20,10.00,8.85,9.87,6.47 %,"258,671.00"
MNMF1,2025-03-04,9.85,9.94,9.68,9.71,-1.62 %,"74,432.00"
MNMF1,2025-03-05,9.87,9.95,9.61,9.76,0.51 %,"217,859.00"
MNMF1,2025-03-06,9.76,10.10,9.57,9.57,-1.95 %,"443,620.00"
MNMF1,2025-03-09,9.38,9.38,9.16,9.20,-3.87 %,"30,947.00"
MNMF1,2025-03-10,9.06,9.20,9.06,9.10,-1.09 %,"9,700.00"
MNMF1,2025-03-11,8.92,9.20,8.80,9.08,-0.22 %,"6,250.00"
MNMF1,2025-03-12,9.00,9.10,8.96,9.06,-0.22 %,"34,550.00"
MNMF1,2025-03-16,8.92,9.12,8.92,9.01,-0.55 %,"24,660.00"
