"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MSHL","2025-01-07","980","1000","946","960","-2.39 %","2,080.00"
"MSHL","2025-01-06","984.7","984.7","960","983.5","1.61 %","3,909.00"
"MSHL","2025-01-05","949","967.9","932","967.9","3.29 %","1,921.00"
"MSHL","2025-01-02","906","949","906","937.1","1.64 %","3,070.00"
"MSHL","2025-01-01","913","930.9","910","922","0.99 %","2,750.00"
"MSHL","2024-12-31","931","931","900.1","913","-3.68 %","9,072.00"
"MSHL","2024-12-29","970","970","937","947.9","-3.18 %","10,330.00"
"MSHL","2024-12-26","1009","1009","972","979","-2.97 %","5,057.00"
"MSHL","2024-12-24","968","1039","968","1009","2.44 %","7,615.00"
"MSHL","2024-12-23","961.2","1020","961.2","985","1.13 %","6,520.00"
"MSHL","2024-12-22","974","981.1","951.7","974","-0.08 %","4,135.00"
"MSHL","2024-12-19","975.1","1000","955.7","974.8","-1.04 %","4,443.00"
"MSHL","2024-12-18","1020","1020","978.9","985","-1.99 %","4,391.00"
"MSHL","2024-12-17","970","1010","970","1005","1.62 %","10,982.00"
"MSHL","2024-12-16","1022.1","1022.1","970.2","989","-4.81 %","7,780.00"
"MSHL","2024-12-12","990","1063","990","1039","4.84 %","48,640.00"
"MSHL","2024-12-11","985.1","1009","985.1","991","-0.80 %","5,387.00"
"MSHL","2024-12-10","966.1","1018","966.1","999","1.94 %","10,245.00"
"MSHL","2024-12-09","995","995","967","980","0.31 %","15,817.00"
"MSHL","2024-12-08","999","1000","970.2","977","-0.31 %","13,866.00"
"MSHL","2024-12-05","981","990","961.4","980","-1.90 %","5,476.00"
"MSHL","2024-12-04","1008","1025","976","999","1.01 %","12,875.00"
"MSHL","2024-12-03","990.3","991.7","959","989","-0.10 %","7,230.00"
"MSHL","2024-12-02","1012.9","1012.9","976.1","990","-0.75 %","7,058.00"
"MSHL","2024-12-01","980","997.5","974","997.5","0.87 %","3,830.00"
"MSHL","2024-11-28","990.3","1000","970.1","988.9","0.19 %","9,753.00"
"MSHL","2024-11-27","972.1","1015","972.1","987","0.20 %","20,122.00"
"MSHL","2024-11-26","972","992","972","985","1.33 %","7,309.00"
"MSHL","2024-11-25","975.3","985","970","972.1","-0.33 %","10,570.00"
"MSHL","2024-11-24","991","1012","975","975.3","-2.37 %","5,842.00"
"MSHL","2024-11-21","986","1011","970","999","0.50 %","45,658.00"
"MSHL","2024-11-20","1005","1049","971","994","0.40 %","21,305.00"
"MSHL","2024-11-19","1024.5","1087","986","990","-3.41 %","13,350.00"
"MSHL","2024-11-17","950","1053.8","950","1025","6.99 %","80,599.00"
