Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NABILD87,2025-01-09,"1,086.00","1,086.00","1,086.00","1,086.00",0.00 %,25.00
NABILD87,2025-01-12,"1,068.00","1,068.00","1,068.00","1,068.00",-1.66 %,25.00
NABILD87,2025-01-13,"1,068.00","1,068.00","1,056.00","1,056.00",-2.72 %,315.00
NABILD87,2025-01-16,"1,059.70","1,059.70","1,059.70","1,059.70",1.99 %,25.00
NABILD87,2025-01-19,"1,060.00","1,060.00","1,060.00","1,060.00",0.03 %,403.00
NABILD87,2025-01-21,"1,061.80","1,061.80","1,061.80","1,061.80",0.17 %,43.00
NABILD87,2025-01-22,"1,055.00","1,055.00","1,055.00","1,055.00",-0.64 %,25.00
NABILD87,2025-01-23,"1,055.00","1,056.00","1,055.00","1,056.00",0.09 %,72.00
NABILD87,2025-01-26,"1,056.00","1,056.00","1,056.00","1,056.00",0.00 %,50.00
NABILD87,2025-01-27,"1,072.00","1,077.00","1,072.00","1,077.00",1.99 %,75.00
NABILD87,2025-02-02,"1,076.00","1,076.00","1,076.00","1,076.00",-0.09 %,29.00
NABILD87,2025-02-03,"1,062.00","1,083.00","1,062.00","1,083.00",0.65 %,40.00
NABILD87,2025-02-13,"1,080.00","1,080.00","1,080.00","1,080.00",-1.55 %,25.00
NABILD87,2025-02-24,"1,058.40","1,058.40","1,058.40","1,058.40",-2.00 %,25.00
NABILD87,2025-02-25,"1,050.00","1,050.00","1,050.00","1,050.00",-0.79 %,25.00
NABILD87,2025-03-02,"1,052.10","1,052.10","1,052.10","1,052.10",0.20 %,25.00
NABILD87,2025-03-03,"1,055.00","1,055.00","1,055.00","1,055.00",0.28 %,50.00
NABILD87,2025-03-04,"1,060.00","1,060.00","1,060.00","1,060.00",0.47 %,25.00
NABILD87,2025-03-06,"1,050.00","1,050.00","1,050.00","1,050.00",-0.94 %,25.00
NABILD87,2025-03-12,"1,042.00","1,042.00","1,042.00","1,042.00",-0.76 %,25.00
NABILD87,2025-03-16,"1,050.00","1,050.00","1,050.00","1,050.00",0.77 %,25.00
