"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBF3","2025-01-07","9","9.15","9","9.13","0.33 %","28,250.00"
"NBF3","2025-01-06","9","9.18","9","9.1","-0.55 %","16,150.00"
"NBF3","2025-01-05","9.13","9.31","9.13","9.15","-1.72 %","57,920.00"
"NBF3","2025-01-02","9.55","9.55","9.08","9.31","-0.75 %","8,350.00"
"NBF3","2025-01-01","9.3","9.59","8.92","9.38","0.32 %","9,650.00"
"NBF3","2024-12-31","9.55","9.55","8.94","9.35","-0.53 %","15,750.00"
"NBF3","2024-12-29","9.5","9.65","9","9.4","0.64 %","64,380.00"
"NBF3","2024-12-26","9.57","9.57","9.13","9.34","-0.53 %","4,600.00"
"NBF3","2024-12-24","9.66","9.66","9.11","9.39","-0.95 %","48,650.00"
"NBF3","2024-12-23","9.46","9.65","9.28","9.48","2.05 %","67,796.00"
"NBF3","2024-12-22","9.02","9.35","8.85","9.29","2.99 %","41,446.00"
"NBF3","2024-12-19","9.2","9.53","9.02","9.02","-1.96 %","67,757.00"
"NBF3","2024-12-18","9.78","9.78","9.19","9.2","-4.07 %","17,956.00"
"NBF3","2024-12-17","9","9.66","9","9.59","4.69 %","69,661.00"
"NBF3","2024-12-16","9.22","9.65","9.12","9.16","-1.72 %","30,525.00"
"NBF3","2024-12-12","9.34","9.91","9.3","9.32","-2.20 %","70,474.00"
"NBF3","2024-12-11","9.15","9.53","9.15","9.53","2.14 %","76,488.00"
"NBF3","2024-12-10","9.4","9.46","9.24","9.33","-0.74 %","27,600.00"
"NBF3","2024-12-09","9.45","9.55","9.36","9.4","-1.57 %","33,170.00"
"NBF3","2024-12-08","9.4","9.61","9.4","9.55","0.53 %","38,700.00"
"NBF3","2024-12-05","9.7","9.7","9.46","9.5","-2.56 %","29,045.00"
"NBF3","2024-12-04","9.5","9.75","9.5","9.75","1.56 %","64,050.00"
"NBF3","2024-12-03","9.64","9.65","9.5","9.6","-0.41 %","29,600.00"
"NBF3","2024-12-02","9.93","10.3","9.64","9.64","-2.92 %","384,744.00"
"NBF3","2024-12-01","9.7","9.93","9.4","9.93","3.98 %","157,180.00"
"NBF3","2024-11-28","9.76","9.87","9.4","9.55","-0.31 %","271,095.00"
"NBF3","2024-11-27","9.37","9.6","9.37","9.58","0.42 %","33,880.00"
"NBF3","2024-11-26","9.26","9.58","9.26","9.54","1.81 %","82,140.00"
"NBF3","2024-11-25","9.25","9.4","9.18","9.37","-0.43 %","26,600.00"
"NBF3","2024-11-24","9.32","9.52","9.32","9.41","-0.95 %","127,923.00"
"NBF3","2024-11-21","9.41","9.52","9.41","9.5","0.96 %","267,440.00"
"NBF3","2024-11-20","9.58","9.58","9.25","9.41","0.11 %","21,110.00"
