Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NBLD87,2025-01-08,"1,055.00","1,055.00","1,055.00","1,055.00",-0.57 %,50.00
NBLD87,2025-01-09,"1,055.00","1,055.00","1,055.00","1,055.00",0.00 %,25.00
NBLD87,2025-01-12,"1,060.00","1,064.00","1,058.00","1,058.00",0.28 %,150.00
NBLD87,2025-01-13,"1,056.00","1,056.00","1,056.00","1,056.00",-0.19 %,25.00
NBLD87,2025-01-15,"1,055.10","1,060.00","1,055.10","1,055.10",-0.09 %,125.00
NBLD87,2025-01-19,"1,040.00","1,040.00","1,019.20","1,020.00",-3.33 %,532.00
NBLD87,2025-01-20,"1,040.00","1,040.00","1,040.00","1,040.00",1.96 %,75.00
NBLD87,2025-01-21,"1,022.00","1,022.00","1,022.00","1,022.00",-1.73 %,25.00
NBLD87,2025-01-22,"1,022.00","1,022.00","1,022.00","1,022.00",0.00 %,100.00
NBLD87,2025-01-23,"1,022.00","1,022.00","1,022.00","1,022.00",0.00 %,45.00
NBLD87,2025-01-26,"1,020.00","1,020.00","1,020.00","1,020.00",-0.20 %,25.00
NBLD87,2025-01-27,"1,021.00","1,040.00","1,021.00","1,040.00",1.96 %,75.00
NBLD87,2025-01-28,"1,025.00","1,027.00","1,025.00","1,027.00",-1.25 %,55.00
NBLD87,2025-02-02,"1,040.00","1,040.00","1,040.00","1,040.00",1.27 %,127.00
NBLD87,2025-02-03,"1,035.00","1,037.00","1,035.00","1,037.00",0.88 %,50.00
NBLD87,2025-02-04,"1,040.00","1,041.00","1,040.00","1,040.00",0.29 %,351.00
NBLD87,2025-02-05,"1,031.10","1,031.10","1,031.10","1,031.10",-0.86 %,25.00
NBLD87,2025-02-09,"1,035.00","1,035.00","1,030.00","1,030.00",-0.11 %,256.00
NBLD87,2025-02-10,"1,045.00","1,055.00","1,045.00","1,055.00",2.43 %,382.00
NBLD87,2025-02-11,"1,033.90","1,033.90","1,025.00","1,025.00",-2.84 %,125.00
NBLD87,2025-02-12,"1,035.10","1,045.00","1,035.10","1,045.00",1.95 %,120.00
NBLD87,2025-02-13,"1,031.10","1,031.10","1,030.10","1,030.10",-1.43 %,100.00
NBLD87,2025-02-16,"1,030.10","1,030.10","1,030.10","1,030.10",0.00 %,25.00
NBLD87,2025-02-18,"1,050.00","1,050.70","1,045.00","1,046.00",1.54 %,225.00
NBLD87,2025-02-23,"1,040.00","1,040.00","1,040.00","1,040.00",-0.57 %,695.00
NBLD87,2025-02-24,"1,040.00","1,040.20","1,040.00","1,040.20",0.02 %,125.00
NBLD87,2025-02-25,"1,025.10","1,050.00","1,025.10","1,050.00",0.94 %,283.00
NBLD87,2025-02-27,"1,030.00","1,030.00","1,030.00","1,030.00",-1.90 %,25.00
NBLD87,2025-03-02,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,25.00
NBLD87,2025-03-03,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,30.00
NBLD87,2025-03-04,"1,030.00","1,030.60","1,030.00","1,030.60",0.06 %,80.00
NBLD87,2025-03-05,"1,020.00","1,030.60","1,020.00","1,030.60",0.00 %,118.00
NBLD87,2025-03-06,"1,030.00","1,030.10","1,030.00","1,030.00",-0.06 %,"5,030.00"
NBLD87,2025-03-09,"1,025.00","1,025.00","1,025.00","1,025.00",-0.49 %,25.00
NBLD87,2025-03-10,"1,026.00","1,026.00","1,026.00","1,026.00",0.10 %,25.00
NBLD87,2025-03-11,"1,025.00","1,025.00","1,025.00","1,025.00",-0.10 %,30.00
NBLD87,2025-03-12,"1,025.00","1,025.00","1,022.00","1,022.00",-0.29 %,225.00
NBLD87,2025-03-16,"1,025.00","1,032.00","1,021.50","1,021.50",-0.05 %,210.00
