Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NCCD86,2025-01-23,"1,145.00","1,145.00","1,145.00","1,145.00",1.60 %,10.00
NCCD86,2025-02-04,"1,122.10","1,122.10","1,122.10","1,122.10",-2.00 %,33.00
NCCD86,2025-02-18,"1,100.00","1,100.00","1,100.00","1,100.00",-1.97 %,10.00
NCCD86,2025-02-25,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82 %,325.00
NCCD86,2025-02-27,"1,065.00","1,065.00","1,055.10","1,055.10",-2.31 %,85.00
NCCD86,2025-03-02,"1,050.20","1,060.00","1,040.20","1,040.20",-1.41 %,465.00
NCCD86,2025-03-03,"1,050.50","1,050.50","1,050.50","1,050.50",0.99 %,50.00
NCCD86,2025-03-04,"1,066.00","1,069.00","1,066.00","1,069.00",1.76 %,35.00
NCCD86,2025-03-05,"1,069.00","1,069.00","1,069.00","1,069.00",0.00 %,100.00
NCCD86,2025-03-12,"1,060.00","1,060.00","1,060.00","1,060.00",-0.84 %,135.00
