Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NIBD84,2025-01-09,"1,070.00","1,070.00","1,070.00","1,070.00",-0.09 %,65.00
NIBD84,2025-01-13,"1,070.00","1,070.00","1,070.00","1,070.00",0.00 %,100.00
NIBD84,2025-01-19,"1,048.60","1,048.60","1,048.60","1,048.60",-2.00 %,1.00
NIBD84,2025-01-20,"1,027.70","1,028.50","1,027.70","1,028.50",-1.92 %,40.00
NIBD84,2025-01-22,"1,028.50","1,035.00","1,028.50","1,035.00",0.63 %,285.00
NIBD84,2025-01-27,"1,018.00","1,030.00","1,018.00","1,030.00",-0.48 %,121.00
NIBD84,2025-01-28,"1,023.20","1,023.20","1,023.00","1,023.00",-0.68 %,50.00
NIBD84,2025-02-02,"1,030.00","1,030.00","1,030.00","1,030.00",0.68 %,75.00
NIBD84,2025-02-03,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,50.00
NIBD84,2025-02-05,"1,030.10","1,030.10","1,030.00","1,030.00",0.00 %,100.00
NIBD84,2025-02-06,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,50.00
NIBD84,2025-02-10,"1,035.00","1,035.00","1,035.00","1,035.00",0.49 %,25.00
NIBD84,2025-02-12,"1,048.70","1,055.70","1,048.70","1,055.70",2.00 %,324.00
NIBD84,2025-02-23,"1,034.60","1,034.60","1,034.60","1,034.60",-2.00 %,25.00
NIBD84,2025-02-24,"1,021.40","1,021.40","1,021.40","1,021.40",-1.28 %,25.00
NIBD84,2025-03-02,"1,023.00","1,024.00","1,022.00","1,022.00",0.06 %,325.00
NIBD84,2025-03-03,"1,040.00","1,040.00","1,040.00","1,040.00",1.76 %,25.00
NIBD84,2025-03-05,"1,025.00","1,036.20","1,025.00","1,028.10",-1.14 %,227.00
NIBD84,2025-03-09,"1,028.10","1,028.10","1,028.10","1,028.10",0.00 %,25.00
NIBD84,2025-03-11,"1,027.50","1,027.50","1,027.10","1,027.10",-0.10 %,225.00
