"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIBLGF","2025-01-07","8.47","8.88","8.47","8.88","3.26 %","12,100.00"
"NIBLGF","2025-01-06","8.54","8.7","8.54","8.6","0.47 %","1,003,600.00"
"NIBLGF","2025-01-05","8.54","8.88","8.54","8.56","-1.61 %","6,960.00"
"NIBLGF","2025-01-02","8.81","8.81","8.65","8.7","0.69 %","1,000.00"
"NIBLGF","2025-01-01","8.72","8.73","8.64","8.64","-1.26 %","235,814.00"
"NIBLGF","2024-12-31","8.7","8.9","8.7","8.75","-1.35 %","233,900.00"
"NIBLGF","2024-12-29","8.7","8.87","8.66","8.87","0.00 %","2,300.00"
"NIBLGF","2024-12-26","9.04","9.05","8.87","8.87","0.00 %","2,700.00"
"NIBLGF","2024-12-24","8.66","8.87","8.65","8.87","2.19 %","2,010.00"
"NIBLGF","2024-12-23","8.53","8.68","8.53","8.68","-0.23 %","800.00"
"NIBLGF","2024-12-22","8.8","8.8","8.63","8.7","-0.68 %","2,010.00"
"NIBLGF","2024-12-19","8.73","8.76","8.73","8.76","-1.57 %","200.00"
"NIBLGF","2024-12-18","8.88","9.1","8.88","8.9","-1.77 %","1,800.00"
"NIBLGF","2024-12-17","8.79","9.07","8.79","9.06","1.12 %","2,200.00"
"NIBLGF","2024-12-16","8.91","8.96","8.9","8.96","0.00 %","1,400.00"
"NIBLGF","2024-12-12","8.73","9","8.73","8.96","0.90 %","1,200.00"
"NIBLGF","2024-12-11","8.78","9","8.78","8.88","0.45 %","900.00"
"NIBLGF","2024-12-10","8.98","9","8.84","8.84","-3.39 %","400.00"
"NIBLGF","2024-12-09","9.15","9.15","9.15","9.15","0.00 %","1,500.00"
"NIBLGF","2024-12-08","9.08","9.26","8.98","9.15","0.66 %","4,600.00"
"NIBLGF","2024-12-05","9","9.22","8.87","9.09","1.00 %","9,000.00"
"NIBLGF","2024-12-04","8.95","9","8.95","9","-1.42 %","200.00"
"NIBLGF","2024-12-03","9","9.13","8.95","9.13","-0.54 %","7,280.00"
"NIBLGF","2024-12-02","8.9","9.18","8.9","9.18","3.15 %","3,100.00"
"NIBLGF","2024-12-01","8.86","9","8.85","8.9","-1.11 %","1,900.00"
"NIBLGF","2024-11-28","9","9","8.85","9","0.00 %","1,500.00"
"NIBLGF","2024-11-27","8.86","9","8.84","9","0.56 %","3,900.00"
"NIBLGF","2024-11-26","8.94","9.03","8.86","8.95","0.11 %","1,000.00"
"NIBLGF","2024-11-25","9","9","8.92","8.94","-1.87 %","4,000.00"
"NIBLGF","2024-11-24","9.14","9.14","8.91","9.11","1.56 %","9,900.00"
"NIBLGF","2024-11-21","8.77","8.97","8.77","8.97","0.34 %","1,900.00"
"NIBLGF","2024-11-20","8.78","9.07","8.78","8.94","0.11 %","4,010.00"
"NIBLGF","2024-11-19","9.06","9.06","8.9","8.93","-1.43 %","900.00"
"NIBLGF","2024-11-17","9.01","9.37","9.01","9.06","-1.41 %","3,750.00"
"NIBLGF","2024-11-14","9.13","9.31","9.13","9.19","-1.29 %","17,224.00"
"NIBLGF","2024-11-13","9.13","9.31","9.13","9.31","0.00 %","4,600.00"
"NIBLGF","2024-11-12","9.28","9.31","9.28","9.31","-1.59 %","12,200.00"
"NIBLGF","2024-11-11","9.28","9.46","9.28","9.46","3.96 %","235,400.00"
"NIBLGF","2024-11-10","9.18","9.18","8.85","9.1","1.11 %","7,200.00"
"NIBLGF","2024-11-06","8.8","9","8.8","9","2.27 %","1,340.00"
"NIBLGF","2024-11-05","8.67","8.8","8.67","8.8","1.50 %","400.00"
"NIBLGF","2024-10-30","8.67","8.67","8.67","8.67","-1.25 %","200.00"
"NIBLGF","2024-10-29","8.75","8.78","8.61","8.78","0.34 %","1,500.00"
"NIBLGF","2024-10-28","8.91","8.91","8.57","8.75","0.11 %","2,600.00"
"NIBLGF","2024-10-27","8.73","9.07","8.73","8.74","-1.80 %","2,100.00"
"NIBLGF","2024-10-24","8.93","8.93","8.9","8.9","-2.20 %","1,600.00"
"NIBLGF","2024-10-23","8.89","9.1","8.89","9.1","4.36 %","2,900.00"
"NIBLGF","2024-10-22","8.67","8.86","8.67","8.72","-1.25 %","1,700.00"
"NIBLGF","2024-10-21","8.68","9","8.68","8.83","-0.11 %","1,900.00"
"NIBLGF","2024-10-20","9.18","9.18","8.83","8.84","-1.78 %","1,885.00"
"NIBLGF","2024-10-17","9","9.01","9","9","-0.22 %","8,100.00"
"NIBLGF","2024-10-16","8.98","9.03","8.98","9.02","-1.53 %","1,915.00"
"NIBLGF","2024-10-15","8.99","9.16","8.99","9.16","3.85 %","2,400.00"
"NIBLGF","2024-10-09","8.8","8.82","8.8","8.82","0.00 %","200.00"
"NIBLGF","2024-10-08","9","9.1","8.82","8.82","-3.08 %","1,610.00"
"NIBLGF","2024-10-07","9.1","9.1","9.1","9.1","-0.33 %","285.00"
"NIBLGF","2024-10-06","9.31","9.31","9.13","9.13","-3.89 %","700.00"
"NIBLGF","2024-10-01","9.5","9.69","9.5","9.5","0.00 %","9,552.00"
"NIBLGF","2024-09-30","9.31","9.66","9.31","9.5","0.21 %","106,400.00"
"NIBLGF","2024-09-29","9.47","9.85","9.47","9.48","-1.86 %","9,300.00"
"NIBLGF","2024-09-26","9.83","9.83","9.62","9.66","-3.40 %","101,100.00"
"NIBLGF","2024-09-25","10","10.1","10","10","-1.67 %","200,500.00"
"NIBLGF","2024-09-24","9.6","10.17","9.5","10.17","4.85 %","13,300.00"
"NIBLGF","2024-09-23","9.53","9.7","9.46","9.7","3.74 %","525.00"
"NIBLGF","2024-09-22","9.14","9.35","9","9.35","0.32 %","3,875.00"
"NIBLGF","2024-09-18","9.43","9.43","9.31","9.32","-1.17 %","1,000.00"
"NIBLGF","2024-09-16","9.42","9.6","9.42","9.43","0.21 %","4,800.00"
"NIBLGF","2024-09-15","9.51","9.51","9.4","9.41","-2.99 %","25,000.00"
"NIBLGF","2024-09-12","9.85","9.95","9.67","9.7","-1.62 %","8,554.00"
"NIBLGF","2024-09-11","10.05","10.05","9.86","9.86","-3.80 %","11,806.00"
"NIBLGF","2024-09-10","10.05","10.25","9.35","10.25","3.54 %","2,100.00"
"NIBLGF","2024-09-09","9.42","10.17","9.42","9.9","3.02 %","381,895.00"
"NIBLGF","2024-09-08","9.38","9.76","9.38","9.61","4.46 %","5,775.00"
"NIBLGF","2024-09-05","9.43","9.43","9.11","9.2","-4.27 %","13,200.00"
"NIBLGF","2024-09-04","9.62","9.8","9.6","9.61","-2.04 %","516,675.00"
"NIBLGF","2024-09-03","10","10.01","9.81","9.81","-1.90 %","520,425.00"
"NIBLGF","2024-09-02","9.91","10.05","9.53","10","0.91 %","532,350.00"
"NIBLGF","2024-09-01","9.59","9.95","9.59","9.91","5.31 %","277,825.00"
"NIBLGF","2024-08-29","9.25","9.61","9.11","9.41","3.75 %","175,075.00"
"NIBLGF","2024-08-28","8.95","9.28","8.95","9.07","-0.33 %","9,250.00"
"NIBLGF","2024-08-27","9.24","9.25","9.1","9.1","-1.62 %","6,300.00"
"NIBLGF","2024-08-25","9.23","9.3","9.23","9.25","-1.70 %","4,800.00"
"NIBLGF","2024-08-22","9.32","9.69","9.32","9.41","-0.95 %","125,200.00"
"NIBLGF","2024-08-21","9.65","9.65","9.35","9.5","-3.46 %","54,000.00"
"NIBLGF","2024-08-18","9.6","9.84","9.6","9.84","0.51 %","22,550.00"
"NIBLGF","2024-08-15","9.27","9.79","9.27","9.79","3.71 %","15,500.00"
"NIBLGF","2024-08-14","9.44","9.44","9.26","9.44","-1.97 %","114,700.00"
"NIBLGF","2024-08-13","9.49","9.63","9.15","9.63","-0.52 %","8,120.00"
"NIBLGF","2024-08-12","9.8","9.99","9.61","9.68","-1.22 %","10,380.00"
"NIBLGF","2024-08-11","9.61","9.99","9.61","9.8","0.00 %","597,610.00"
"NIBLGF","2024-08-08","9.9","9.9","9.71","9.8","-2.97 %","115,800.00"
"NIBLGF","2024-08-07","9.76","10.1","9.4","10.1","1.51 %","124,900.00"
"NIBLGF","2024-08-06","9.9","10.27","9.9","9.95","-0.50 %","446,544.00"
"NIBLGF","2024-08-05","9.46","10.08","9.46","10","3.63 %","428,167.00"
"NIBLGF","2024-08-01","9.53","9.76","9.53","9.65","-0.52 %","219,900.00"
"NIBLGF","2024-07-31","9.2","9.7","9.2","9.7","4.30 %","100,375.00"
"NIBLGF","2024-07-30","9.3","9.48","9.21","9.3","0.00 %","48,419.00"
"NIBLGF","2024-07-29","9.25","9.3","9.11","9.3","2.09 %","36,960.00"
"NIBLGF","2024-07-28","9.23","9.48","9","9.11","-3.09 %","5,700.00"
"NIBLGF","2024-07-25","9.23","9.4","9.22","9.4","0.00 %","4,300.00"
"NIBLGF","2024-07-24","9.22","9.4","9.05","9.4","0.00 %","5,400.00"
"NIBLGF","2024-07-23","9","9.43","8.93","9.4","2.40 %","300,860.00"
"NIBLGF","2024-07-22","9.2","9.2","9.18","9.18","-1.61 %","2,015.00"
"NIBLGF","2024-07-21","8.92","9.33","8.92","9.33","2.53 %","52,050.00"
"NIBLGF","2024-07-18","9.4","9.41","9.05","9.1","-2.15 %","32,100.00"
"NIBLGF","2024-07-17","9.38","9.42","9.2","9.3","-2.82 %","7,570.00"
"NIBLGF","2024-07-16","10.43","10.43","9.57","9.57","-10.06 %","60,730.00"
"NIBLGF","2024-07-15","9.84","10.64","9.12","10.64","9.92 %","197,664.00"
"NIBLGF","2024-07-14","9.14","9.69","8.9","9.68","7.92 %","120,522.00"
"NIBLGF","2024-07-11","8.6","9.18","8.6","8.97","3.58 %","21,800.00"
"NIBLGF","2024-07-10","8.38","8.66","8.36","8.66","2.49 %","15,206.00"
"NIBLGF","2024-07-09","8.55","8.55","8.41","8.45","-1.17 %","3,288.00"
"NIBLGF","2024-07-08","8.4","8.55","8.4","8.55","0.00 %","1,200.00"
"NIBLGF","2024-07-07","8.6","8.77","8.47","8.55","0.59 %","34,300.00"
"NIBLGF","2024-07-04","8.23","8.5","8.23","8.5","1.80 %","2,795.00"
"NIBLGF","2024-07-03","8.19","8.35","8.19","8.35","2.08 %","4,475.00"
"NIBLGF","2024-07-02","8.15","8.2","8.15","8.18","-1.09 %","600.00"
"NIBLGF","2024-07-01","8.27","8.27","8.27","8.27","0.00 %","200.00"
"NIBLGF","2024-06-30","8.12","8.27","8.12","8.27","0.49 %","1,600.00"
"NIBLGF","2024-06-27","8.2","8.36","8.2","8.23","0.37 %","2,350.00"
"NIBLGF","2024-06-26","8.1","8.31","8.09","8.2","0.61 %","3,500.00"
"NIBLGF","2024-06-25","8.09","8.15","8.09","8.15","0.37 %","1,900.00"
"NIBLGF","2024-06-24","8.12","8.12","8.12","8.12","-1.58 %","600.00"
"NIBLGF","2024-06-23","8.09","8.25","8.09","8.25","2.23 %","9,200.00"
"NIBLGF","2024-06-20","8.21","8.21","8.06","8.07","-3.58 %","3,200.00"
"NIBLGF","2024-06-18","8.21","8.37","8.21","8.37","1.95 %","14,650.00"
"NIBLGF","2024-06-16","8.21","8.21","8.2","8.21","0.00 %","1,300.00"
"NIBLGF","2024-06-13","8.18","8.24","8.18","8.21","-0.48 %","1,200.00"
"NIBLGF","2024-06-12","8.15","8.32","8.15","8.25","0.36 %","5,269.00"
"NIBLGF","2024-06-11","8.35","8.35","8.2","8.22","-1.56 %","3,100.00"
"NIBLGF","2024-06-10","8.13","8.35","8.13","8.35","0.72 %","10,300.00"
"NIBLGF","2024-06-09","8.02","8.42","8.02","8.29","3.37 %","26,460.00"
"NIBLGF","2024-06-06","8.02","8.02","8.02","8.02","0.00 %","2,200.00"
"NIBLGF","2024-06-05","7.95","8.02","7.95","8.02","-1.11 %","400.00"
"NIBLGF","2024-06-04","8.1","8.2","8.1","8.11","1.25 %","2,600.00"
"NIBLGF","2024-06-03","8.06","8.1","7.97","8.01","-0.62 %","3,800.00"
"NIBLGF","2024-06-02","8.06","8.06","8.06","8.06","-0.62 %","3,000.00"
"NIBLGF","2024-05-30","8.33","8.33","8.11","8.11","-4.59 %","30,800.00"
"NIBLGF","2024-05-29","8.15","8.67","8.15","8.5","3.91 %","18,000.00"
"NIBLGF","2024-05-27","8.15","8.36","8.15","8.18","-1.09 %","6,300.00"
"NIBLGF","2024-05-26","8.4","8.4","8.08","8.27","-3.39 %","6,844.00"
"NIBLGF","2024-05-22","8.4","8.56","8.25","8.56","2.39 %","31,450.00"
"NIBLGF","2024-05-21","8.2","8.36","8.2","8.36","0.48 %","7,524.00"
"NIBLGF","2024-05-20","8","8.32","7.98","8.32","3.87 %","23,064.00"
"NIBLGF","2024-05-19","8","8.17","8","8.01","0.00 %","1,700.00"
"NIBLGF","2024-05-16","7.96","8.16","7.96","8.01","0.75 %","1,730.00"
"NIBLGF","2024-05-15","7.93","8","7.93","7.95","0.00 %","5,590.00"
"NIBLGF","2024-05-14","7.78","7.95","7.78","7.95","0.38 %","800.00"
"NIBLGF","2024-05-13","7.9","7.92","7.9","7.92","0.13 %","11,800.00"
"NIBLGF","2024-05-12","7.79","8.05","7.79","7.91","0.13 %","5,395.00"
"NIBLGF","2024-05-09","7.86","7.9","7.86","7.9","-1.00 %","800.00"
"NIBLGF","2024-05-08","7.97","7.98","7.97","7.98","-1.85 %","700.00"
"NIBLGF","2024-05-07","8.32","8.32","8.13","8.13","-0.37 %","4,150.00"
"NIBLGF","2024-05-06","7.9","8.16","7.9","8.16","2.00 %","4,850.00"
"NIBLGF","2024-05-05","8","8","8","8","1.27 %","4,700.00"
"NIBLGF","2024-05-02","7.83","7.98","7.83","7.9","-1.00 %","1,100.00"
"NIBLGF","2024-04-30","8","8.1","7.98","7.98","-0.62 %","59,695.00"
"NIBLGF","2024-04-29","8.25","8.25","8.02","8.03","-1.59 %","2,000.00"
"NIBLGF","2024-04-28","7.9","8.16","7.9","8.16","3.95 %","2,000.00"
"NIBLGF","2024-04-25","7.99","8","7.69","7.85","-1.75 %","5,000.00"
"NIBLGF","2024-04-24","7.83","7.99","7.83","7.99","1.40 %","25,200.00"
"NIBLGF","2024-04-22","7.95","7.95","7.8","7.88","-0.51 %","1,700.00"
"NIBLGF","2024-04-21","7.95","7.95","7.92","7.92","-0.38 %","3,000.00"
"NIBLGF","2024-04-18","7.94","7.95","7.94","7.95","0.13 %","800.00"
"NIBLGF","2024-04-16","7.85","7.94","7.85","7.94","0.51 %","2,800.00"
"NIBLGF","2024-04-15","7.95","8.1","7.9","7.9","-0.13 %","700.00"
"NIBLGF","2024-04-14","7.9","8","7.9","7.91","-1.13 %","4,410.00"
"NIBLGF","2024-04-10","7.91","8.29","7.91","8","1.14 %","1,400.00"
"NIBLGF","2024-04-09","8","8","7.81","7.91","-0.13 %","2,950.00"
"NIBLGF","2024-04-07","7.8","7.92","7.8","7.92","0.13 %","800.00"
"NIBLGF","2024-04-04","7.9","7.91","7.9","7.91","-1.13 %","2,500.00"
"NIBLGF","2024-04-03","7.84","8","7.84","8","0.00 %","2,650.00"
"NIBLGF","2024-04-02","8.1","8.1","7.94","8","0.00 %","930.00"
"NIBLGF","2024-04-01","7.8","8","7.8","8","0.63 %","9,900.00"
"NIBLGF","2024-03-31","8","8","7.92","7.95","-0.63 %","2,850.00"
"NIBLGF","2024-03-28","8.09","8.11","7.95","8","-3.03 %","4,050.00"
"NIBLGF","2024-03-27","8.1","8.25","8.1","8.25","-0.12 %","1,400.00"
"NIBLGF","2024-03-26","7.95","8.26","7.95","8.26","1.98 %","53,300.00"
"NIBLGF","2024-03-25","7.94","8.1","7.94","8.1","1.50 %","3,320.00"
"NIBLGF","2024-03-21","7.95","7.98","7.95","7.98","-0.13 %","1,700.00"
"NIBLGF","2024-03-20","7.96","8","7.9","7.99","0.38 %","1,300.00"
"NIBLGF","2024-03-19","8","8","7.96","7.96","-1.97 %","62,100.00"
"NIBLGF","2024-03-18","8.1","8.12","8.1","8.12","0.00 %","3,150.00"
"NIBLGF","2024-03-17","7.77","8.16","7.77","8.12","2.65 %","5,000.00"
"NIBLGF","2024-03-14","8.23","8.23","7.91","7.91","-1.98 %","2,200.00"
"NIBLGF","2024-03-13","8.25","8.25","8.07","8.07","-2.30 %","44,700.00"
"NIBLGF","2024-03-12","7.87","8.26","7.87","8.26","3.25 %","700.00"
"NIBLGF","2024-03-10","7.93","8.08","7.93","8","0.50 %","7,100.00"
"NIBLGF","2024-03-07","7.92","8.07","7.92","7.96","0.51 %","3,700.00"
"NIBLGF","2024-03-06","7.89","7.92","7.89","7.92","-1.61 %","4,300.00"
"NIBLGF","2024-03-05","7.95","8.05","7.92","8.05","0.88 %","13,885.00"
"NIBLGF","2024-03-03","7.95","7.98","7.95","7.98","-1.60 %","3,010.00"
"NIBLGF","2024-02-29","7.95","8.18","7.95","8.11","1.63 %","71,107.00"
"NIBLGF","2024-02-28","7.95","8","7.95","7.98","-0.25 %","2,200.00"
"NIBLGF","2024-02-27","7.97","8","7.96","8","0.38 %","2,800.00"
"NIBLGF","2024-02-26","7.95","8.09","7.95","7.97","0.25 %","11,973.00"
"NIBLGF","2024-02-25","7.9","8","7.9","7.95","-0.13 %","11,554.00"
"NIBLGF","2024-02-22","7.9","8.01","7.9","7.96","-0.62 %","187,081.00"
"NIBLGF","2024-02-21","7.91","8.06","7.91","8.01","-0.12 %","3,300.00"
"NIBLGF","2024-02-20","7.83","8.05","7.83","8.02","0.75 %","22,451.00"
"NIBLGF","2024-02-18","7.78","8","7.78","7.96","0.76 %","103,700.00"
"NIBLGF","2024-02-15","7.94","8.1","7.85","7.9","-2.47 %","900.00"
"NIBLGF","2024-02-14","7.8","8.1","7.8","8.1","2.53 %","102,339.00"
"NIBLGF","2024-02-13","7.9","8.05","7.9","7.9","-1.25 %","11,900.00"
"NIBLGF","2024-02-12","7.98","8.26","7.98","8","-0.37 %","177,300.00"
"NIBLGF","2024-02-11","8","8.17","8","8.03","0.25 %","13,008.00"
"NIBLGF","2024-02-08","7.96","8.1","7.96","8.01","-1.11 %","4,100.00"
"NIBLGF","2024-02-07","7.88","8.25","7.88","8.1","1.12 %","3,900.00"
"NIBLGF","2024-02-06","7.84","8.06","7.69","8.01","0.13 %","6,250.00"
"NIBLGF","2024-02-05","7.81","8","7.81","8","0.76 %","5,780.00"
"NIBLGF","2024-02-04","7.9","8","7.89","7.94","-0.87 %","1,300.00"
"NIBLGF","2024-02-01","8.15","8.15","7.9","8.01","-3.61 %","7,410.00"
"NIBLGF","2024-01-31","8.17","8.31","8.15","8.31","0.00 %","7,400.00"
"NIBLGF","2024-01-30","8","8.33","8","8.31","5.59 %","79,300.00"
"NIBLGF","2024-01-29","7.9","8","7.86","7.87","-1.25 %","52,936.00"
"NIBLGF","2024-01-28","7.96","8.05","7.9","7.97","-1.73 %","18,644.00"
"NIBLGF","2024-01-25","8.1","8.36","8","8.11","1.38 %","2,600.00"
"NIBLGF","2024-01-24","8","8","8","8","0.00 %","4,081.00"
"NIBLGF","2024-01-23","8","8.47","8","8","-1.84 %","32,850.00"
"NIBLGF","2024-01-22","8.01","8.2","8.01","8.15","1.75 %","2,825.00"
"NIBLGF","2024-01-21","8.01","8.33","8.01","8.01","-0.50 %","21,306.00"
"NIBLGF","2024-01-18","7.98","8.16","7.98","8.05","-1.11 %","6,600.00"
"NIBLGF","2024-01-17","8.16","8.2","8.1","8.14","-0.25 %","1,527,950.00"
"NIBLGF","2024-01-16","8","8.16","7.87","8.16","0.00 %","2,700.00"
"NIBLGF","2024-01-14","7.73","8.16","7.73","8.16","3.82 %","2,450.00"
"NIBLGF","2024-01-11","8","8.16","7.85","7.86","-3.68 %","1,501,600.00"
"NIBLGF","2024-01-10","8.1","8.46","8.1","8.16","0.62 %","3,050.00"
"NIBLGF","2024-01-09","7.97","8.26","7.97","8.11","-0.12 %","204,825.00"
"NIBLGF","2024-01-08","7.96","8.12","7.96","8.12","0.12 %","2,620.00"
"NIBLGF","2024-01-07","8.26","8.26","8.11","8.11","0.12 %","3,950.00"
"NIBLGF","2024-01-04","7.98","8.11","7.98","8.1","0.00 %","5,100.00"
"NIBLGF","2024-01-03","8.12","8.12","7.95","8.1","-0.25 %","1,400.00"
"NIBLGF","2024-01-02","8.12","8.14","8.12","8.12","-0.25 %","2,200.00"
"NIBLGF","2024-01-01","8.12","8.7","8.12","8.14","0.25 %","63,580.00"
"NIBLGF","2023-12-28","8.11","8.28","8.11","8.12","0.12 %","16,100.00"
"NIBLGF","2023-12-27","8.1","8.26","8.1","8.11","-0.98 %","3,100.00"
"NIBLGF","2023-12-24","8.15","8.48","8.15","8.19","0.37 %","42,440.00"
"NIBLGF","2023-12-21","8.06","8.29","8","8.16","0.25 %","35,466.00"
"NIBLGF","2023-12-20","8","8.19","8","8.14","1.37 %","14,400.00"
"NIBLGF","2023-12-19","8.05","8.16","8","8.03","-2.07 %","12,400.00"
"NIBLGF","2023-12-18","7.63","8.2","7.63","8.2","5.40 %","26,870.00"
"NIBLGF","2023-12-17","7.78","7.78","7.63","7.78","1.97 %","3,400.00"
"NIBLGF","2023-12-14","7.66","7.66","7.6","7.63","-0.65 %","1,100.00"
"NIBLGF","2023-12-13","7.62","7.77","7.62","7.68","-0.78 %","47,300.00"
"NIBLGF","2023-12-12","7.53","7.89","7.53","7.74","1.98 %","306,800.00"
"NIBLGF","2023-12-11","7.45","7.7","7.41","7.59","2.29 %","16,750.00"
"NIBLGF","2023-12-10","7.42","7.42","7.42","7.42","-1.85 %","100.00"
"NIBLGF","2023-12-07","7.42","7.56","7.4","7.56","1.89 %","1,200.00"
"NIBLGF","2023-12-06","7.38","7.54","7.38","7.42","0.27 %","12,400.00"
"NIBLGF","2023-12-04","7.37","7.41","7.37","7.4","-0.67 %","1,600.00"
