"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIBLSTF","2025-01-07","8.59","8.6","8.59","8.6","0.12 %","1,200.00"
"NIBLSTF","2025-01-06","8.6","8.77","8.26","8.59","-0.12 %","7,799.00"
"NIBLSTF","2025-01-05","8.6","9","8.6","8.6","-1.94 %","2,950.00"
"NIBLSTF","2025-01-02","8.58","8.77","8.41","8.77","2.45 %","3,800.00"
"NIBLSTF","2025-01-01","8.52","8.56","8.35","8.56","0.47 %","1,510.00"
"NIBLSTF","2024-12-31","8.68","8.68","8.07","8.52","-3.73 %","9,840.00"
"NIBLSTF","2024-12-29","8.95","8.95","8.78","8.85","-1.12 %","1,700.00"
"NIBLSTF","2024-12-26","9.14","9.14","8.63","8.95","-0.22 %","1,770.00"
"NIBLSTF","2024-12-24","8.71","8.97","8.71","8.97","1.01 %","6,100.00"
"NIBLSTF","2024-12-23","8.53","9.04","8.53","8.88","3.26 %","11,610.00"
"NIBLSTF","2024-12-22","8.7","8.87","8.53","8.6","-1.15 %","7,000.00"
"NIBLSTF","2024-12-19","8.54","8.7","8.53","8.7","1.64 %","3,420.00"
"NIBLSTF","2024-12-18","8.7","8.87","8.53","8.56","-1.61 %","12,810.00"
"NIBLSTF","2024-12-17","8.7","9.33","8.7","8.7","-1.58 %","19,270.00"
"NIBLSTF","2024-12-16","8.85","8.86","8.84","8.84","-1.89 %","5,400.00"
"NIBLSTF","2024-12-12","9","9.36","9","9.01","-1.85 %","4,320.00"
"NIBLSTF","2024-12-11","9","9.18","8.88","9.18","1.44 %","14,300.00"
"NIBLSTF","2024-12-10","9.07","9.07","9.05","9.05","-2.16 %","2,810.00"
"NIBLSTF","2024-12-09","9.25","9.25","9.07","9.25","-1.91 %","7,650.00"
"NIBLSTF","2024-12-08","8.9","9.43","8.74","9.43","3.97 %","39,000.00"
"NIBLSTF","2024-12-05","9","9.07","8.9","9.07","1.34 %","12,680.00"
"NIBLSTF","2024-12-04","9.25","9.27","8.95","8.95","-5.09 %","30,200.00"
"NIBLSTF","2024-12-03","9.25","9.43","9.11","9.43","1.95 %","13,000.00"
"NIBLSTF","2024-12-02","9.1","9.25","9.1","9.25","0.54 %","8,620.00"
"NIBLSTF","2024-12-01","9.23","9.42","9.2","9.2","-0.43 %","9,350.00"
"NIBLSTF","2024-11-28","9.24","9.4","9.24","9.24","0.00 %","2,670.00"
"NIBLSTF","2024-11-27","9.1","9.42","9.1","9.24","-0.11 %","10,510.00"
"NIBLSTF","2024-11-26","9.23","9.25","9.05","9.25","0.22 %","1,760.00"
"NIBLSTF","2024-11-25","8.95","9.23","8.95","9.23","1.43 %","5,850.00"
"NIBLSTF","2024-11-24","9.15","9.15","8.63","9.1","-0.55 %","10,310.00"
