"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIBSF2","2025-01-07","8.53","8.7","8.37","8.54","0.12 %","1,530.00"
"NIBSF2","2025-01-06","8.23","8.69","8.21","8.53","2.03 %","15,950.00"
"NIBSF2","2025-01-05","8.35","8.52","8.35","8.36","-1.76 %","41,175.00"
"NIBSF2","2025-01-02","8.35","8.51","8.35","8.51","0.12 %","13,036.00"
"NIBSF2","2025-01-01","8.4","8.5","8.26","8.5","1.19 %","15,755.00"
"NIBSF2","2024-12-31","8.67","8.67","8.33","8.4","-1.18 %","5,800.00"
"NIBSF2","2024-12-29","8.45","8.6","8.44","8.5","0.71 %","3,650.00"
"NIBSF2","2024-12-26","8.41","8.57","8.41","8.44","-1.40 %","2,700.00"
"NIBSF2","2024-12-24","8.29","8.6","8.29","8.56","1.30 %","13,600.00"
"NIBSF2","2024-12-23","8.6","8.61","8.45","8.45","-0.59 %","16,967.00"
"NIBSF2","2024-12-22","8.38","8.67","8.38","8.5","0.00 %","19,205.00"
"NIBSF2","2024-12-19","8.45","8.61","8.45","8.5","-1.16 %","4,125.00"
"NIBSF2","2024-12-18","8.41","8.6","8.41","8.6","1.90 %","5,150.00"
"NIBSF2","2024-12-17","8.42","8.6","8.42","8.44","-1.40 %","6,950.00"
"NIBSF2","2024-12-16","8.49","8.83","8.49","8.56","-1.04 %","12,200.00"
"NIBSF2","2024-12-12","8.61","8.78","8.48","8.65","0.82 %","26,400.00"
"NIBSF2","2024-12-11","8.6","8.7","8.55","8.58","-1.38 %","12,300.00"
"NIBSF2","2024-12-10","8.68","8.85","8.68","8.7","0.23 %","7,340.00"
"NIBSF2","2024-12-09","8.72","8.85","8.6","8.68","-1.03 %","10,100.00"
"NIBSF2","2024-12-08","8.81","8.9","8.73","8.77","-0.45 %","5,361.00"
"NIBSF2","2024-12-05","8.82","8.82","8.74","8.81","-0.90 %","2,300.00"
"NIBSF2","2024-12-04","8.82","9.07","8.74","8.89","-0.11 %","11,240.00"
"NIBSF2","2024-12-03","8.9","9","8.9","8.9","0.00 %","77,000.00"
"NIBSF2","2024-12-02","8.7","8.9","8.7","8.9","2.30 %","13,780.00"
"NIBSF2","2024-12-01","8.63","8.8","8.61","8.7","-1.14 %","8,660.00"
"NIBSF2","2024-11-28","8.75","8.9","8.6","8.8","0.57 %","18,120.00"
"NIBSF2","2024-11-27","8.86","8.9","8.75","8.75","-1.57 %","8,800.00"
"NIBSF2","2024-11-26","8.8","8.89","8.75","8.89","1.02 %","38,210.00"
"NIBSF2","2024-11-25","8.88","8.88","8.71","8.8","-0.79 %","10,220.00"
"NIBSF2","2024-11-24","8.61","8.88","8.61","8.87","1.95 %","7,380.00"
"NIBSF2","2024-11-21","8.8","8.85","8.7","8.7","-1.69 %","7,505.00"
"NIBSF2","2024-11-20","8.82","8.99","8.81","8.85","-1.45 %","10,500.00"
"NIBSF2","2024-11-19","8.99","8.99","8.82","8.98","-0.11 %","39,003.00"
"NIBSF2","2024-11-17","8.72","9.14","8.7","8.99","2.16 %","47,870.00"
"NIBSF2","2024-11-14","8.8","8.87","8.67","8.8","1.97 %","22,370.00"
"NIBSF2","2024-11-13","8.7","9.05","8.62","8.63","-1.37 %","18,524.00"
"NIBSF2","2024-11-12","8.77","8.97","8.74","8.75","-0.23 %","54,800.00"
"NIBSF2","2024-11-11","8.56","8.94","8.56","8.77","1.27 %","15,430.00"
"NIBSF2","2024-11-10","8.62","8.96","8.62","8.66","-1.48 %","30,500.00"
"NIBSF2","2024-11-06","8.35","8.79","8.29","8.79","3.29 %","3,600.00"
"NIBSF2","2024-11-05","8.44","8.67","8.44","8.51","2.78 %","20,500.00"
"NIBSF2","2024-10-30","8.6","8.6","8.28","8.28","-3.38 %","22,100.00"
"NIBSF2","2024-10-29","8.58","8.74","8.41","8.57","1.78 %","9,063.00"
"NIBSF2","2024-10-28","8.3","8.62","8.3","8.42","0.36 %","6,050.00"
"NIBSF2","2024-10-27","8.3","8.56","8.3","8.39","0.00 %","15,000.00"
"NIBSF2","2024-10-24","8.77","8.77","8.39","8.39","-5.73 %","26,500.00"
"NIBSF2","2024-10-23","8.8","8.9","8.8","8.9","0.91 %","2,200.00"
"NIBSF2","2024-10-22","8.52","8.97","8.52","8.82","1.50 %","60,140.00"
"NIBSF2","2024-10-21","8.81","8.83","8.69","8.69","-1.25 %","8,700.00"
"NIBSF2","2024-10-20","8.63","8.8","8.63","8.8","0.00 %","3,872.00"
"NIBSF2","2024-10-17","8.76","8.9","8.76","8.8","0.80 %","14,530.00"
"NIBSF2","2024-10-16","8.87","8.87","8.71","8.73","-1.58 %","21,050.00"
"NIBSF2","2024-10-15","8.46","8.87","8.46","8.87","6.74 %","11,900.00"
"NIBSF2","2024-10-09","8.1","8.31","8.1","8.31","1.84 %","2,900.00"
"NIBSF2","2024-10-08","8.25","8.3","8.16","8.16","-0.49 %","3,020.00"
"NIBSF2","2024-10-07","8.2","8.3","8.15","8.2","0.61 %","2,650.00"
"NIBSF2","2024-10-06","7.94","8.15","7.94","8.15","0.62 %","6,300.00"
"NIBSF2","2024-10-02","8.09","8.15","7.94","8.1","-1.82 %","12,290.00"
"NIBSF2","2024-10-01","7.8","8.25","7.8","8.25","3.77 %","6,595.00"
"NIBSF2","2024-09-30","7.8","7.95","7.8","7.95","0.00 %","6,850.00"
"NIBSF2","2024-09-29","7.75","7.97","7.65","7.95","0.63 %","15,560.00"
