Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NICAD8283,2025-01-08,"1,140.00","1,155.00","1,140.00","1,155.00",1.57 %,"1,073.00"
NICAD8283,2025-01-09,"1,132.10","1,132.10","1,132.10","1,132.10",-1.98 %,100.00
NICAD8283,2025-01-12,"1,154.00","1,154.20","1,154.00","1,154.20",1.95 %,401.00
NICAD8283,2025-01-13,"1,131.20","1,148.00","1,126.00","1,148.00",-0.54 %,"28,550.00"
NICAD8283,2025-01-15,"1,125.10","1,140.00","1,125.10","1,140.00",-0.70 %,75.00
NICAD8283,2025-01-16,"1,094.90","1,094.90","1,094.90","1,094.90",-3.96 %,2.00
NICAD8283,2025-01-19,"1,090.00","1,090.00","1,090.00","1,090.00",-0.45 %,140.00
NICAD8283,2025-01-20,"1,090.00","1,151.90","1,090.00","1,151.90",5.68 %,963.00
NICAD8283,2025-01-21,"1,168.00","1,191.30","1,168.00","1,191.30",3.42 %,102.00
NICAD8283,2025-01-22,"1,190.70","1,190.70","1,190.70","1,190.70",-0.05 %,7.00
NICAD8283,2025-01-23,"1,198.00","1,198.00","1,198.00","1,198.00",0.61 %,10.00
NICAD8283,2025-01-26,"1,129.00","1,129.00","1,078.20","1,078.20",-10.00 %,734.00
NICAD8283,2025-01-27,"1,091.50","1,091.50","1,091.50","1,091.50",1.23 %,6.00
NICAD8283,2025-01-28,"1,069.90","1,075.00","1,069.90","1,075.00",-1.51 %,"1,345.00"
NICAD8283,2025-02-02,"1,055.80","1,057.00","1,032.50","1,050.00",-2.33 %,"2,276.00"
NICAD8283,2025-02-03,"1,070.40","1,093.80","1,070.40","1,072.00",2.10 %,145.00
NICAD8283,2025-02-04,"1,087.00","1,090.00","1,044.10","1,044.10",-3.95 %,"2,015.00"
NICAD8283,2025-02-05,"1,053.00","1,105.50","1,045.20","1,062.00",1.71 %,"1,034.00"
NICAD8283,2025-02-06,"1,081.00","1,081.00","1,080.00","1,080.60",1.75 %,194.00
NICAD8283,2025-02-09,"1,100.00","1,100.00","1,100.00","1,100.00",1.80 %,9.00
NICAD8283,2025-02-10,"1,078.00","1,080.00","1,077.00","1,077.00",-2.09 %,695.00
NICAD8283,2025-02-11,"1,078.00","1,078.00","1,077.50","1,077.50",0.05 %,600.00
NICAD8283,2025-02-12,"1,099.00","1,120.00","1,090.00","1,090.00",1.16 %,"1,310.00"
NICAD8283,2025-02-13,"1,082.00","1,100.00","1,078.20","1,078.20",-1.08 %,552.00
NICAD8283,2025-02-16,"1,098.00","1,099.00","1,098.00","1,099.00",1.93 %,145.00
NICAD8283,2025-02-17,"1,081.00","1,081.00","1,081.00","1,081.00",-1.64 %,121.00
NICAD8283,2025-02-18,"1,095.00","1,102.60","1,095.00","1,102.60",2.00 %,300.00
NICAD8283,2025-02-23,"1,124.10","1,124.10","1,100.00","1,100.00",-0.24 %,40.00
NICAD8283,2025-02-24,"1,105.00","1,105.00","1,105.00","1,105.00",0.45 %,10.00
NICAD8283,2025-02-25,"1,085.00","1,091.00","1,085.00","1,091.00",-1.27 %,"1,022.00"
NICAD8283,2025-02-27,"1,080.00","1,100.90","1,070.20","1,100.90",0.91 %,"1,020.00"
NICAD8283,2025-03-02,"1,090.00","1,090.00","1,090.00","1,090.00",-0.99 %,25.00
NICAD8283,2025-03-03,"1,084.00","1,084.00","1,083.00","1,083.00",-0.64 %,315.00
NICAD8283,2025-03-04,"1,081.00","1,081.00","1,081.00","1,081.00",-0.18 %,190.00
NICAD8283,2025-03-05,"1,101.90","1,101.90","1,085.00","1,085.00",0.37 %,35.00
NICAD8283,2025-03-06,"1,106.60","1,106.60","1,106.60","1,106.60",1.99 %,9.00
NICAD8283,2025-03-09,"1,100.00","1,145.00","1,100.00","1,145.00",3.47 %,399.00
NICAD8283,2025-03-10,"1,144.50","1,144.50","1,130.00","1,130.00",-1.31 %,29.00
NICAD8283,2025-03-11,"1,107.40","1,107.40","1,085.30","1,085.30",-3.96 %,220.00
NICAD8283,2025-03-12,"1,070.20","1,070.20","1,070.00","1,070.00",-1.41 %,389.00
