"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICBF","2025-01-07","9.01","9.1","9.01","9.1","-0.87 %","3,100.00"
"NICBF","2025-01-06","9.18","9.18","9.18","9.18","2.00 %","500.00"
"NICBF","2025-01-05","9.05","9.05","9","9","-0.55 %","4,000.00"
"NICBF","2025-01-02","9.05","9.05","9.05","9.05","-1.63 %","500.00"
"NICBF","2025-01-01","9.22","9.22","9.2","9.2","1.77 %","5,100.00"
"NICBF","2024-12-31","9.05","9.05","9.04","9.04","-1.95 %","2,000.00"
"NICBF","2024-12-29","9","9.22","9","9.22","1.99 %","5,600.00"
"NICBF","2024-12-26","8.89","9.04","8.89","9.04","-0.33 %","1,000,500.00"
"NICBF","2024-12-24","9.11","9.11","9.07","9.07","-0.44 %","1,200.00"
"NICBF","2024-12-23","9.11","9.11","9.11","9.11","-0.11 %","300.00"
"NICBF","2024-12-22","9.3","9.3","9.12","9.12","-1.41 %","7,100.00"
"NICBF","2024-12-19","9.25","9.25","9.25","9.25","0.00 %","500.00"
"NICBF","2024-12-18","9.25","9.25","9.25","9.25","-0.54 %","3,200.00"
"NICBF","2024-12-17","9.3","9.32","9.3","9.3","-0.21 %","11,100.00"
"NICBF","2024-12-16","9.32","9.32","9.32","9.32","-2.00 %","100.00"
"NICBF","2024-12-12","9.33","9.52","9.33","9.51","3.03 %","15,448.00"
"NICBF","2024-12-11","9.4","9.4","9.23","9.23","-1.91 %","1,800.00"
"NICBF","2024-12-10","9.41","9.41","9.4","9.41","-1.05 %","8,700.00"
"NICBF","2024-12-09","9.33","9.51","9.33","9.51","0.11 %","3,400.00"
"NICBF","2024-12-08","9.32","9.5","9.32","9.5","-0.11 %","800.00"
"NICBF","2024-12-05","9.5","9.51","9.5","9.51","-1.86 %","1,100.00"
"NICBF","2024-12-04","9.69","9.7","9.69","9.69","-1.92 %","75,135.00"
"NICBF","2024-12-03","9.5","9.88","9.5","9.88","4.00 %","42,652.00"
"NICBF","2024-12-01","9.51","9.51","9.5","9.5","0.32 %","5,800.00"
"NICBF","2024-11-28","9.52","9.52","9.47","9.47","-0.53 %","1,100.00"
"NICBF","2024-11-27","9.66","9.69","9.5","9.52","-3.25 %","10,800.00"
"NICBF","2024-11-26","10","10","9.81","9.84","-3.53 %","900.00"
"NICBF","2024-11-25","10.25","10.25","10.2","10.2","-1.92 %","8,700.00"
"NICBF","2024-11-24","10.4","10.4","10.4","10.4","1.86 %","100.00"
"NICBF","2024-11-20","10.19","10.21","10.19","10.21","1.90 %","449,950.00"
"NICBF","2024-11-19","10.01","10.21","10","10.02","0.20 %","343,116.00"
"NICBF","2024-11-17","9.85","10.1","9.85","10","3.41 %","31,950.00"
"NICBF","2024-11-14","9.66","9.67","9.66","9.67","0.00 %","5,100.00"
"NICBF","2024-11-13","9.49","9.67","9.49","9.67","1.90 %","57,211.00"
"NICBF","2024-11-12","9.68","9.68","9.49","9.49","-1.15 %","2,785.00"
"NICBF","2024-11-11","9.5","9.68","9.5","9.6","1.05 %","11,600.00"
"NICBF","2024-11-10","9.43","9.5","9.43","9.5","-1.04 %","19,590.00"
"NICBF","2024-11-06","9.36","9.6","9.36","9.6","4.58 %","18,000.00"
"NICBF","2024-11-05","8.98","9.18","8.98","9.18","0.33 %","7,200.00"
"NICBF","2024-10-30","9.15","9.15","9.15","9.15","-1.72 %","800.00"
"NICBF","2024-10-29","9.13","9.31","9.13","9.31","0.11 %","1,400.00"
"NICBF","2024-10-28","9.23","9.3","9.23","9.3","2.76 %","200.00"
"NICBF","2024-10-27","9.05","9.05","9.05","9.05","-1.63 %","1,100.00"
"NICBF","2024-10-24","9.15","9.33","9.15","9.2","-1.08 %","11,300.00"
"NICBF","2024-10-23","9.3","9.3","9.3","9.3","-0.85 %","100.00"
"NICBF","2024-10-22","9.07","9.38","9.07","9.38","2.51 %","2,700.00"
"NICBF","2024-10-21","9.11","9.15","9.11","9.15","-0.76 %","4,000.00"
"NICBF","2024-10-20","9.21","9.22","9.2","9.22","0.22 %","2,900.00"
"NICBF","2024-10-17","8.83","9.2","8.83","9.2","2.22 %","1,850.00"
"NICBF","2024-10-16","8.93","9","8.93","9","-0.11 %","2,800.00"
"NICBF","2024-10-15","9.08","9.08","9.01","9.01","-0.77 %","718.00"
"NICBF","2024-10-09","8.91","9.08","8.91","9.08","3.18 %","300.00"
"NICBF","2024-10-08","8.8","8.8","8.8","8.8","-1.23 %","500.00"
"NICBF","2024-10-07","8.91","8.91","8.91","8.91","1.95 %","1,900.00"
"NICBF","2024-10-06","8.74","8.94","8.74","8.74","-1.69 %","20,700.00"
"NICBF","2024-10-02","8.89","8.89","8.89","8.89","-1.88 %","200.00"
"NICBF","2024-10-01","8.89","9.06","8.89","9.06","3.90 %","300.00"
"NICBF","2024-09-30","8.64","8.72","8.49","8.72","-1.02 %","13,170.00"
"NICBF","2024-09-29","8.97","8.97","8.81","8.81","-3.72 %","6,000.00"
"NICBF","2024-09-26","9.18","9.18","9","9.15","-0.33 %","2,200.00"
"NICBF","2024-09-25","9","9.18","9","9.18","2.00 %","200.00"
"NICBF","2024-09-24","9","9","8.92","9","0.90 %","3,730.00"
"NICBF","2024-09-23","9.1","9.1","8.92","8.92","-0.89 %","7,000.00"
"NICBF","2024-09-22","9.46","9.46","9","9","-6.64 %","59,500.00"
"NICBF","2024-09-18","9.83","9.83","9.64","9.64","-3.89 %","10,170.00"
"NICBF","2024-09-16","9.99","10.23","9.99","10.03","0.50 %","255,200.00"
"NICBF","2024-09-15","10.11","10.11","9.71","9.98","-3.20 %","68,256.00"
"NICBF","2024-09-12","10.03","10.5","10.02","10.31","1.08 %","332,565.00"
"NICBF","2024-09-11","10.28","10.48","10.01","10.2","1.19 %","31,325.00"
"NICBF","2024-09-10","10.3","10.3","10.06","10.08","-0.20 %","54,320.00"
"NICBF","2024-09-09","10.07","10.11","10.05","10.1","-0.88 %","32,405.00"
"NICBF","2024-09-08","10.01","10.19","10.01","10.19","0.89 %","17,130.00"
"NICBF","2024-09-05","10.26","10.26","10.06","10.1","-0.79 %","28,595.00"
"NICBF","2024-09-04","10.03","10.18","10","10.18","0.79 %","47,400.00"
"NICBF","2024-09-03","10.1","10.2","10.1","10.1","-0.49 %","71,280.00"
"NICBF","2024-09-02","10.1","10.15","10.07","10.15","-0.68 %","8,970.00"
"NICBF","2024-09-01","9.99","10.24","9.99","10.22","2.00 %","33,281.00"
"NICBF","2024-08-29","10.18","10.2","10","10.02","0.30 %","35,090.00"
"NICBF","2024-08-28","10.19","10.24","9.99","9.99","-1.09 %","29,569.00"
"NICBF","2024-08-27","10","10.11","10","10.1","0.40 %","71,565.00"
"NICBF","2024-08-25","10","10.1","10","10.06","0.50 %","4,500.00"
"NICBF","2024-08-22","9.82","10.19","9.82","10.01","-0.10 %","24,300.00"
"NICBF","2024-08-21","10","10.23","10","10.02","0.20 %","42,210.00"
"NICBF","2024-08-18","10.19","10.19","9.8","10","-1.86 %","15,400.00"
"NICBF","2024-08-15","9.7","10.19","9.7","10.19","3.14 %","143,861.00"
"NICBF","2024-08-14","9.97","9.97","9.65","9.88","-0.90 %","27,890.00"
"NICBF","2024-08-13","9.94","10.13","9.94","9.97","-0.30 %","119,092.00"
"NICBF","2024-08-12","10","10.19","9.91","10","1.01 %","734,228.00"
"NICBF","2024-08-11","9.81","10.02","9.81","9.9","0.51 %","34,800.00"
"NICBF","2024-08-08","9.82","10.19","9.7","9.85","-1.70 %","2,980,400.00"
"NICBF","2024-08-07","9.62","10.02","9.62","10.02","2.24 %","2,200.00"
"NICBF","2024-08-06","9.9","10","9.72","9.8","-1.11 %","54,300.00"
"NICBF","2024-08-05","9.83","10","9.83","9.91","-0.90 %","41,800.00"
"NICBF","2024-08-01","10","10.3","9.91","10","0.00 %","42,840.00"
"NICBF","2024-07-31","9.69","10.15","9.69","10","1.63 %","35,700.00"
"NICBF","2024-07-30","9.99","10.15","9.82","9.84","-1.60 %","8,800.00"
"NICBF","2024-07-29","9.99","10.3","9.99","10","2.04 %","17,810.00"
"NICBF","2024-07-28","9.63","9.9","9.63","9.8","-0.20 %","238,472.00"
"NICBF","2024-07-25","10.18","10.18","9.8","9.82","-1.70 %","1,980.00"
"NICBF","2024-07-24","9.9","10.05","9.82","9.99","-0.10 %","133,575.00"
"NICBF","2024-07-23","9.94","10.1","9.94","10","-1.38 %","33,900.00"
"NICBF","2024-07-22","9.84","10.14","9.8","10.14","1.00 %","45,420.00"
"NICBF","2024-07-21","9.49","10.04","9.49","10.04","6.81 %","35,960.00"
"NICBF","2024-07-18","9.35","9.58","9.3","9.4","0.53 %","18,200.00"
"NICBF","2024-07-17","9.23","9.59","9.23","9.35","-0.64 %","1,093,640.00"
"NICBF","2024-07-16","9.41","9.41","9.22","9.41","-1.98 %","3,565.00"
"NICBF","2024-07-15","9.48","9.6","9.48","9.6","3.23 %","1,700.00"
"NICBF","2024-07-14","9.3","9.3","9.3","9.3","1.64 %","1,000.00"
"NICBF","2024-07-11","9.15","9.15","9.15","9.15","-1.61 %","700.00"
"NICBF","2024-07-10","9.18","9.3","9.18","9.3","3.33 %","300.00"
"NICBF","2024-07-09","9","9","9","9","-0.44 %","50,000.00"
"NICBF","2024-07-08","8.87","9.04","8.71","9.04","3.91 %","700.00"
"NICBF","2024-07-07","8.65","8.7","8.65","8.7","-1.36 %","3,400.00"
"NICBF","2024-07-04","9","9.18","8.82","8.82","-3.18 %","3,501,200.00"
"NICBF","2024-07-03","9.11","9.11","9.11","9.11","-0.98 %","100.00"
"NICBF","2024-07-02","9.36","9.36","9.2","9.2","0.22 %","21,240.00"
"NICBF","2024-07-01","9.15","9.18","9.15","9.18","2.00 %","16,729.00"
"NICBF","2024-06-30","8.88","9.15","8.87","9","3.33 %","127,420.00"
"NICBF","2024-06-27","8.7","8.71","8.7","8.71","-1.36 %","8,700.00"
"NICBF","2024-06-26","8.65","8.83","8.65","8.83","0.34 %","1,500.00"
"NICBF","2024-06-25","8.71","8.8","8.71","8.8","1.15 %","1,600.00"
"NICBF","2024-06-24","8.72","8.72","8.55","8.7","-2.14 %","3,200.00"
"NICBF","2024-06-23","8.72","8.89","8.38","8.89","0.79 %","8,200.00"
"NICBF","2024-06-19","8.82","8.82","8.67","8.82","-1.89 %","2,400.00"
"NICBF","2024-06-18","8.82","8.99","8.82","8.99","3.93 %","9,200.00"
"NICBF","2024-06-16","8.6","8.67","8.6","8.65","1.76 %","25,000.00"
"NICBF","2024-06-13","8.48","8.5","8.48","8.5","-1.39 %","300.00"
"NICBF","2024-06-11","8.38","8.63","8.38","8.62","1.06 %","1,900.00"
"NICBF","2024-06-10","8.53","8.53","8.53","8.53","-1.04 %","1,000.00"
"NICBF","2024-06-09","8.8","8.8","8.6","8.62","-1.71 %","11,000.00"
"NICBF","2024-06-06","8.64","8.77","8.64","8.77","-0.45 %","400.00"
"NICBF","2024-06-05","8.82","8.82","8.81","8.81","0.00 %","10,000.00"
"NICBF","2024-06-04","8.8","8.95","8.8","8.81","-0.68 %","1,100.00"
"NICBF","2024-06-03","9","9.05","8.87","8.87","-0.11 %","28,143.00"
"NICBF","2024-05-29","8.88","8.88","8.88","8.88","1.95 %","2,400.00"
"NICBF","2024-05-27","8.96","9.1","8.7","8.71","-2.79 %","8,250.00"
"NICBF","2024-05-26","8.66","8.96","8.66","8.96","3.94 %","89,745.00"
"NICBF","2024-05-22","8.6","8.62","8.6","8.62","1.65 %","10,200.00"
"NICBF","2024-05-21","8.6","8.6","8.48","8.48","-1.05 %","800.00"
"NICBF","2024-05-20","8.68","8.68","8.57","8.57","0.71 %","37,943.00"
"NICBF","2024-05-19","8.51","8.51","8.5","8.51","-1.85 %","9,000.00"
"NICBF","2024-05-16","8.7","8.7","8.67","8.67","-1.92 %","40,600.00"
"NICBF","2024-05-15","8.84","8.84","8.84","8.84","-2.00 %","200.00"
"NICBF","2024-05-14","8.85","9.02","8.85","9.02","2.50 %","21,725.00"
"NICBF","2024-05-13","8.97","9.01","8.63","8.8","0.00 %","111,000.00"
"NICBF","2024-05-12","8.9","9","8.8","8.8","0.57 %","265,117.00"
"NICBF","2024-05-09","8.49","8.75","8.49","8.75","2.82 %","100,200.00"
"NICBF","2024-05-08","8.51","8.51","8.51","8.51","-1.96 %","2,535.00"
"NICBF","2024-05-07","8.5","8.72","8.5","8.68","3.46 %","124,474.00"
"NICBF","2024-05-06","8.3","8.39","8.23","8.39","0.00 %","33,775.00"
"NICBF","2024-05-05","8.13","8.39","8.13","8.39","1.94 %","3,270.00"
"NICBF","2024-05-02","8.2","8.23","8.2","8.23","0.37 %","142,784.00"
"NICBF","2024-04-30","8.2","8.2","8.2","8.2","-0.97 %","100.00"
"NICBF","2024-04-29","8.13","8.28","8.12","8.28","1.97 %","1,300.00"
"NICBF","2024-04-28","7.85","8.12","7.85","8.12","2.01 %","3,100.00"
"NICBF","2024-04-25","7.81","7.96","7.81","7.96","0.00 %","425.00"
"NICBF","2024-04-24","7.99","7.99","7.71","7.96","-2.09 %","375.00"
"NICBF","2024-04-22","8.15","8.15","8.01","8.13","-0.25 %","600.00"
"NICBF","2024-04-21","8.15","8.15","8.15","8.15","-1.81 %","1,000.00"
"NICBF","2024-04-18","8.2","8.3","8.2","8.3","-0.60 %","3,200.00"
"NICBF","2024-04-16","8.45","8.45","8.35","8.35","-0.60 %","8,800.00"
"NICBF","2024-04-15","8.36","8.4","8.36","8.4","-1.52 %","200.00"
"NICBF","2024-04-14","8.6","8.6","8.53","8.53","-1.95 %","200.00"
"NICBF","2024-04-10","8.7","8.7","8.7","8.7","0.00 %","1,000.00"
"NICBF","2024-04-07","8.53","8.7","8.53","8.7","0.00 %","8,500.00"
"NICBF","2024-04-04","8.7","8.7","8.7","8.7","-1.92 %","650.00"
"NICBF","2024-04-03","8.53","8.87","8.36","8.87","1.95 %","5,600.00"
"NICBF","2024-04-02","8.7","8.7","8.7","8.7","1.64 %","100,165.00"
"NICBF","2024-03-28","8.56","8.56","8.56","8.56","1.90 %","10,350.00"
"NICBF","2024-03-27","8.4","8.4","8.4","8.4","-0.36 %","111.00"
"NICBF","2024-03-26","8.43","8.43","8.43","8.43","0.00 %","44,365.00"
"NICBF","2024-03-25","8.6","8.6","8.43","8.43","-0.47 %","7,000.00"
"NICBF","2024-03-21","8.45","8.47","8.45","8.47","-1.40 %","10,490.00"
"NICBF","2024-03-20","8.59","8.59","8.59","8.59","0.00 %","200.00"
"NICBF","2024-03-19","8.56","8.59","8.56","8.59","-1.49 %","600.00"
"NICBF","2024-03-18","8.98","8.99","8.72","8.72","-1.91 %","91,000.00"
"NICBF","2024-03-17","8.9","9.07","8.89","8.89","1.02 %","34,293.00"
"NICBF","2024-03-14","8.8","8.8","8.8","8.8","1.97 %","200.00"
"NICBF","2024-03-13","8.8","8.8","8.63","8.63","-1.03 %","2,100.00"
"NICBF","2024-03-12","8.7","8.72","8.7","8.72","1.99 %","18,580.00"
"NICBF","2024-03-10","8.3","8.55","8.3","8.55","1.91 %","16,835.00"
"NICBF","2024-03-06","8.35","8.39","8.35","8.39","1.94 %","5,000.00"
"NICBF","2024-03-05","8.39","8.39","8.23","8.23","0.00 %","5,600.00"
"NICBF","2024-03-03","8.23","8.23","8.23","8.23","-1.08 %","120.00"
"NICBF","2024-02-28","8.16","8.32","8.16","8.32","0.00 %","10,020.00"
"NICBF","2024-02-26","8.12","8.32","8.12","8.32","0.85 %","2,150.00"
"NICBF","2024-02-25","8.25","8.25","8.25","8.25","-1.43 %","100.00"
"NICBF","2024-02-22","8.37","8.37","8.37","8.37","-1.65 %","5,500.00"
"NICBF","2024-02-21","8.52","8.52","8.35","8.51","1.79 %","909.00"
"NICBF","2024-02-20","8.36","8.36","8.36","8.36","-1.53 %","350.00"
"NICBF","2024-02-18","8.33","8.49","8.33","8.49","1.92 %","25,030.00"
"NICBF","2024-02-15","8.33","8.34","8.33","8.33","-0.12 %","2,450.00"
"NICBF","2024-02-14","8.68","8.68","8.34","8.34","-5.76 %","4,800.00"
"NICBF","2024-02-12","8.55","8.85","8.46","8.85","5.36 %","18,700.00"
