Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NICD88,2025-01-08,"1,070.00","1,070.00","1,070.00","1,070.00",1.90 %,100.00
NICD88,2025-01-09,"1,054.00","1,054.00","1,045.00","1,045.00",-2.34 %,50.00
NICD88,2025-01-12,"1,050.00","1,050.00","1,050.00","1,050.00",0.48 %,25.00
NICD88,2025-01-13,"1,049.00","1,050.00","1,043.00","1,043.00",-0.67 %,100.00
NICD88,2025-01-19,"1,040.00","1,040.00","1,040.00","1,040.00",-0.29 %,375.00
NICD88,2025-01-20,"1,032.00","1,032.00","1,031.10","1,031.10",-0.86 %,225.00
NICD88,2025-01-22,"1,020.00","1,020.00","1,020.00","1,020.00",-1.08 %,25.00
NICD88,2025-01-23,"1,023.00","1,023.00","1,023.00","1,023.00",0.29 %,72.00
NICD88,2025-01-28,"1,021.00","1,021.00","1,021.00","1,021.00",-0.20 %,25.00
NICD88,2025-02-03,"1,021.00","1,021.00","1,021.00","1,021.00",0.00 %,25.00
NICD88,2025-02-04,"1,031.00","1,031.00","1,031.00","1,031.00",0.98 %,20.00
NICD88,2025-02-05,"1,035.00","1,035.00","1,035.00","1,035.00",0.39 %,98.00
NICD88,2025-02-09,"1,029.00","1,029.00","1,029.00","1,029.00",-0.58 %,25.00
NICD88,2025-02-10,"1,049.00","1,063.00","1,042.00","1,042.00",1.26 %,507.00
NICD88,2025-02-17,"1,050.00","1,050.00","1,050.00","1,050.00",0.77 %,50.00
NICD88,2025-02-18,"1,035.00","1,055.00","1,035.00","1,055.00",0.48 %,150.00
NICD88,2025-02-23,"1,056.00","1,056.00","1,049.00","1,049.00",-0.57 %,320.00
NICD88,2025-02-25,"1,029.00","1,029.00","1,029.00","1,029.00",-1.91 %,25.00
NICD88,2025-03-02,"1,032.00","1,045.00","1,030.00","1,030.00",0.10 %,375.00
NICD88,2025-03-03,"1,025.00","1,030.00","1,025.00","1,030.00",0.00 %,275.00
NICD88,2025-03-04,"1,025.00","1,045.50","1,025.00","1,045.50",1.50 %,75.00
NICD88,2025-03-05,"1,030.00","1,030.00","1,026.00","1,026.00",-1.87 %,100.00
NICD88,2025-03-06,"1,026.00","1,026.00","1,026.00","1,026.00",0.00 %,25.00
NICD88,2025-03-09,"1,010.20","1,026.00","1,006.00","1,020.00",-0.58 %,150.00
NICD88,2025-03-10,"1,030.00","1,030.00","1,030.00","1,030.00",0.98 %,200.00
NICD88,2025-03-12,"1,020.50","1,020.50","1,020.50","1,020.50",-0.92 %,50.00
NICD88,2025-03-16,"1,015.00","1,030.00","1,015.00","1,025.00",0.44 %,205.00
