"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICGF2","2025-01-07","8.47","8.74","8.47","8.58","0.35 %","55,300.00"
"NICGF2","2025-01-06","8.45","8.59","8.45","8.55","-0.47 %","1,000.00"
"NICGF2","2025-01-05","8.65","8.66","8.52","8.59","-2.61 %","1,500.00"
"NICGF2","2025-01-02","8.8","8.82","8.8","8.82","0.23 %","700.00"
"NICGF2","2025-01-01","8.85","9","8.8","8.8","-2.33 %","500.00"
"NICGF2","2024-12-31","8.99","9.01","8.99","9.01","1.81 %","2,200.00"
"NICGF2","2024-12-29","8.62","8.85","8.62","8.85","0.68 %","7,830.00"
"NICGF2","2024-12-26","8.81","8.81","8.65","8.79","-2.12 %","6,700.00"
"NICGF2","2024-12-24","8.83","9.1","8.83","8.98","0.00 %","7,770.00"
"NICGF2","2024-12-23","8.9","8.98","8.83","8.98","0.00 %","3,500.00"
"NICGF2","2024-12-22","8.92","8.98","8.92","8.98","0.00 %","2,900.00"
"NICGF2","2024-12-19","8.75","9","8.75","8.98","2.63 %","2,300.00"
"NICGF2","2024-12-18","8.72","8.91","8.72","8.75","-1.46 %","11,880.00"
"NICGF2","2024-12-17","8.71","8.88","8.71","8.88","0.57 %","1,240.00"
"NICGF2","2024-12-16","8.8","8.85","8.8","8.83","-1.45 %","2,300.00"
"NICGF2","2024-12-12","8.83","9.04","8.83","8.96","-0.44 %","1,700.00"
"NICGF2","2024-12-11","9","9","8.96","9","0.00 %","3,400.00"
"NICGF2","2024-12-10","9.09","9.09","8.91","9","0.90 %","9,474.00"
"NICGF2","2024-12-09","8.91","9","8.91","8.92","-0.22 %","2,166.00"
"NICGF2","2024-12-08","8.93","9.11","8.9","8.94","-1.87 %","2,420.00"
"NICGF2","2024-12-05","9.08","9.11","8.91","9.11","-1.51 %","72,300.00"
"NICGF2","2024-12-04","9.38","9.38","9.23","9.25","-1.39 %","15,800.00"
"NICGF2","2024-12-03","9.31","9.5","9.31","9.38","-1.26 %","6,100.00"
"NICGF2","2024-12-02","9.63","9.63","9.44","9.5","-1.35 %","7,700.00"
"NICGF2","2024-12-01","9.5","9.79","9.5","9.63","2.67 %","78,763.00"
"NICGF2","2024-11-28","9.18","9.38","9.18","9.38","1.96 %","2,836.00"
"NICGF2","2024-11-27","9.08","9.2","8.95","9.2","-0.65 %","8,780.00"
"NICGF2","2024-11-26","9.05","9.26","9.05","9.26","0.65 %","2,900.00"
"NICGF2","2024-11-25","8.92","9.28","8.92","9.2","1.10 %","57,900.00"
"NICGF2","2024-11-24","9.1","9.1","8.92","9.1","0.00 %","2,035.00"
"NICGF2","2024-11-21","9.22","9.22","9.1","9.1","-3.19 %","600.00"
"NICGF2","2024-11-20","9.12","9.4","9.12","9.4","1.40 %","2,224.00"
"NICGF2","2024-11-19","9.27","9.27","9.27","9.27","-1.90 %","2,100.00"
"NICGF2","2024-11-17","9.22","9.58","9.22","9.45","0.53 %","1,650.00"
"NICGF2","2024-11-14","9.21","9.65","9.21","9.4","0.11 %","3,950.00"
"NICGF2","2024-11-13","9.15","9.39","9.14","9.39","1.08 %","11,372.00"
"NICGF2","2024-11-12","8.93","9.29","8.8","9.29","1.98 %","8,400.00"
"NICGF2","2024-11-11","9.2","9.38","9.06","9.11","-0.98 %","11,850.00"
"NICGF2","2024-11-10","8.82","9.2","8.65","9.2","2.34 %","10,530.00"
"NICGF2","2024-11-06","8.81","9.15","8.81","8.99","1.01 %","3,700.00"
"NICGF2","2024-11-05","9","9","8.9","8.9","-2.20 %","1,300.00"
"NICGF2","2024-10-30","9","9.1","9","9.1","-0.87 %","1,100.00"
"NICGF2","2024-10-29","9","9.18","8.99","9.18","0.11 %","2,835.00"
"NICGF2","2024-10-28","8.8","9.2","8.8","9.17","6.01 %","14,055.00"
"NICGF2","2024-10-27","8.49","8.65","8.49","8.65","0.00 %","6,200.00"
"NICGF2","2024-10-24","8.65","8.68","8.65","8.65","-1.48 %","1,500.00"
"NICGF2","2024-10-23","8.75","8.78","8.75","8.78","-0.23 %","3,500.00"
"NICGF2","2024-10-22","8.67","8.8","8.57","8.8","-0.34 %","1,220.00"
"NICGF2","2024-10-21","8.65","8.99","8.65","8.83","2.08 %","2,140.00"
"NICGF2","2024-10-20","8.58","8.7","8.58","8.65","-1.03 %","2,100.00"
"NICGF2","2024-10-17","8.56","8.74","8.56","8.74","0.11 %","700.00"
"NICGF2","2024-10-16","8.45","8.73","8.45","8.73","1.99 %","1,600.00"
"NICGF2","2024-10-15","8.56","8.56","8.56","8.56","0.00 %","300.00"
"NICGF2","2024-10-09","8.61","8.78","8.51","8.56","-1.72 %","2,000.00"
"NICGF2","2024-10-08","8.69","8.71","8.67","8.71","-0.80 %","300.00"
"NICGF2","2024-10-07","8.6","8.78","8.6","8.78","3.05 %","400.00"
"NICGF2","2024-10-06","8.45","8.52","8.45","8.52","-0.93 %","1,220.00"
"NICGF2","2024-10-02","8.41","8.6","8.41","8.6","0.47 %","1,000.00"
"NICGF2","2024-10-01","8.4","8.56","8.32","8.56","3.76 %","2,170.00"
"NICGF2","2024-09-30","8.3","8.31","8.25","8.25","-1.20 %","2,440.00"
"NICGF2","2024-09-29","8.2","8.45","8.2","8.35","-0.12 %","3,200.00"
"NICGF2","2024-09-26","8.38","8.38","8.25","8.36","1.70 %","3,200.00"
"NICGF2","2024-09-25","8.3","8.3","8.21","8.22","-1.20 %","2,200.00"
"NICGF2","2024-09-24","8.44","8.45","8.28","8.32","-1.19 %","8,220.00"
"NICGF2","2024-09-23","8.45","8.45","8.4","8.42","-0.36 %","2,300.00"
"NICGF2","2024-09-22","8.41","8.57","8.41","8.45","-0.94 %","2,400.00"
