"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICSF","2025-01-07","9.04","9.25","9.04","9.25","0.33 %","3,710.00"
"NICSF","2025-01-06","9.29","9.3","9.14","9.22","-0.86 %","13,480.00"
"NICSF","2025-01-05","9.14","9.3","9.02","9.3","0.00 %","14,400.00"
"NICSF","2025-01-02","9.13","9.3","9.13","9.3","0.00 %","1,020.00"
"NICSF","2025-01-01","9.2","9.44","9.2","9.3","0.43 %","9,650.00"
"NICSF","2024-12-31","9.3","9.38","9.26","9.26","-0.86 %","11,000.00"
"NICSF","2024-12-29","9.2","9.38","9.2","9.34","0.21 %","4,600.00"
"NICSF","2024-12-26","9.2","9.5","9.2","9.32","0.11 %","32,705.00"
"NICSF","2024-12-24","9.2","9.38","9.2","9.31","0.87 %","5,900.00"
"NICSF","2024-12-23","9.02","9.23","9.02","9.23","0.33 %","2,800.00"
"NICSF","2024-12-22","9.25","9.25","9.1","9.2","-1.29 %","5,950.00"
"NICSF","2024-12-19","9.26","9.43","9.25","9.32","-0.32 %","6,600.00"
"NICSF","2024-12-18","9.31","9.5","9.31","9.35","-1.58 %","33,900.00"
"NICSF","2024-12-17","9.6","9.6","9.5","9.5","-2.76 %","12,720.00"
"NICSF","2024-12-16","9.39","9.77","9.39","9.77","2.73 %","142,750.00"
"NICSF","2024-12-12","9.44","9.52","9.44","9.51","0.11 %","10,600.00"
"NICSF","2024-12-11","9.45","9.52","9.45","9.5","-0.21 %","4,100.00"
"NICSF","2024-12-10","9.45","9.63","9.45","9.52","-0.83 %","52,239.00"
"NICSF","2024-12-09","9.58","9.77","9.39","9.6","2.13 %","70,252.00"
"NICSF","2024-12-08","9.5","9.57","9.4","9.4","-1.78 %","13,750.00"
"NICSF","2024-12-05","9.39","9.57","9.39","9.57","0.74 %","77,350.00"
"NICSF","2024-12-04","9.8","9.8","9.45","9.5","-4.04 %","3,583.00"
"NICSF","2024-12-03","9.55","9.91","9.42","9.9","3.56 %","13,150.00"
"NICSF","2024-12-02","9.58","9.69","9.55","9.56","-0.21 %","24,350.00"
"NICSF","2024-12-01","9.52","9.58","9.52","9.58","-1.24 %","1,500.00"
"NICSF","2024-11-28","9.74","9.74","9.36","9.7","1.57 %","14,500.00"
"NICSF","2024-11-27","9.46","9.55","9.46","9.55","-1.04 %","4,950.00"
"NICSF","2024-11-26","9.65","9.84","9.65","9.65","0.21 %","18,350.00"
"NICSF","2024-11-25","9.44","9.63","9.44","9.63","0.31 %","5,800.00"
"NICSF","2024-11-24","9.61","9.7","9.43","9.6","-2.04 %","4,800.00"
"NICSF","2024-11-21","10.2","10.2","9.8","9.8","-3.92 %","28,510.00"
"NICSF","2024-11-20","10","10.4","10","10.2","0.20 %","82,276.00"
"NICSF","2024-11-19","9.99","10.18","9.61","10.18","1.90 %","37,040.00"
"NICSF","2024-11-17","9.91","9.99","9.6","9.99","-1.09 %","67,110.00"
"NICSF","2024-11-14","9.8","10.1","9.62","10.1","1.10 %","23,100.00"
"NICSF","2024-11-13","9.61","9.99","9.61","9.99","3.42 %","30,750.00"
"NICSF","2024-11-12","9.59","9.9","9.59","9.66","-1.13 %","12,500.00"
"NICSF","2024-11-11","10","10","9.7","9.77","-2.30 %","17,760.00"
"NICSF","2024-11-10","9.9","10","9.72","10","-0.99 %","84,065.00"
"NICSF","2024-11-06","10.27","10.27","9.34","10.1","0.00 %","151,565.00"
"NICSF","2024-11-05","9.31","10.1","9.17","10.1","8.02 %","10,020.00"
"NICSF","2024-10-30","9.35","9.35","9.35","9.35","-1.79 %","2,500.00"
"NICSF","2024-10-29","9.2","9.52","9.2","9.52","4.04 %","11,742.00"
"NICSF","2024-10-28","9.2","9.26","9.02","9.15","-0.44 %","5,600.00"
"NICSF","2024-10-27","9.26","9.44","9.11","9.19","-0.76 %","2,000.00"
"NICSF","2024-10-24","9.5","9.5","9.25","9.26","-2.53 %","22,200.00"
"NICSF","2024-10-23","9.43","9.58","9.4","9.5","2.70 %","8,230.00"
"NICSF","2024-10-22","9.19","9.35","9.18","9.25","-1.18 %","10,515.00"
"NICSF","2024-10-21","9.55","9.74","9.36","9.36","-2.50 %","29,500.00"
"NICSF","2024-10-20","9.43","9.79","9.09","9.6","0.00 %","43,745.00"
"NICSF","2024-10-17","9.1","9.61","9.1","9.6","6.19 %","246,180.00"
"NICSF","2024-10-16","9","9.05","9","9.04","-0.66 %","2,230.00"
"NICSF","2024-10-15","9.23","9.3","9.07","9.1","-3.19 %","8,968.00"
"NICSF","2024-10-09","9.3","9.4","9","9.4","2.17 %","21,055.00"
