Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NIMBD90,2025-01-09,"1,159.00","1,159.00","1,159.00","1,159.00",-1.86 %,984.00
NIMBD90,2025-01-13,"1,158.00","1,251.00","1,125.00","1,125.00",-2.93 %,"6,196.00"
NIMBD90,2025-01-15,"1,102.50","1,124.50","1,102.50","1,124.50",-0.04 %,230.00
NIMBD90,2025-01-19,"1,155.00","1,155.00","1,155.00","1,155.00",2.71 %,615.00
NIMBD90,2025-01-26,"1,134.00","1,134.00","1,134.00","1,134.00",-1.82 %,25.00
NIMBD90,2025-01-27,"1,125.00","1,125.00","1,125.00","1,125.00",-0.79 %,25.00
NIMBD90,2025-02-02,"1,155.00","1,155.00","1,132.00","1,132.00",0.62 %,100.00
NIMBD90,2025-02-03,"1,132.00","1,132.00","1,132.00","1,132.00",0.00 %,25.00
NIMBD90,2025-02-04,"1,132.00","1,132.00","1,132.00","1,132.00",0.00 %,100.00
NIMBD90,2025-02-10,"1,150.00","1,180.00","1,150.00","1,180.00",4.24 %,226.00
NIMBD90,2025-02-12,"1,152.00","1,152.00","1,152.00","1,152.00",-2.37 %,100.00
NIMBD90,2025-02-20,"1,140.00","1,140.00","1,140.00","1,140.00",-1.04 %,38.00
NIMBD90,2025-02-23,"1,155.00","1,155.00","1,155.00","1,155.00",1.32 %,127.00
NIMBD90,2025-02-25,"1,178.10","1,178.10","1,178.10","1,178.10",2.00 %,25.00
NIMBD90,2025-03-02,"1,160.00","1,160.00","1,160.00","1,160.00",-1.54 %,30.00
NIMBD90,2025-03-04,"1,140.00","1,155.00","1,140.00","1,155.00",-0.43 %,58.00
NIMBD90,2025-03-09,"1,131.90","1,131.90","1,131.90","1,131.90",-2.00 %,25.00
NIMBD90,2025-03-10,"1,131.00","1,131.00","1,131.00","1,131.00",-0.08 %,30.00
NIMBD90,2025-03-12,"1,112.00","1,115.00","1,107.00","1,115.00",-1.41 %,97.00
