"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIMBPO","2025-01-07","161.7","164.9","158.7","164.9","-0.06 %","2,447.00"
"NIMBPO","2025-01-06","160.3","165","160.1","165","1.04 %","2,432.00"
"NIMBPO","2025-01-05","160.1","163.3","160.1","163.3","0.18 %","450.00"
"NIMBPO","2025-01-02","167","167","162","163","-1.21 %","1,545.00"
"NIMBPO","2025-01-01","163.8","165","163.8","165","-1.26 %","1,325.00"
"NIMBPO","2024-12-31","167.1","167.1","167.1","167.1","0.00 %","29,574.00"
"NIMBPO","2024-12-29","164","167.1","160.1","167.1","0.60 %","4,920.00"
"NIMBPO","2024-12-26","163","168.5","162.3","166.1","0.30 %","20,012.00"
"NIMBPO","2024-12-24","170","170","165.6","165.6","-0.84 %","413.00"
"NIMBPO","2024-12-23","162","167","162","167","1.21 %","2,820.00"
"NIMBPO","2024-12-22","165","165","162","165","1.66 %","5,764.00"
"NIMBPO","2024-12-19","169","169","162.3","162.3","-2.17 %","12,581.00"
"NIMBPO","2024-12-18","168.5","169","165.9","165.9","-0.06 %","630.00"
"NIMBPO","2024-12-17","169.3","169.3","166","166","0.00 %","2,514.00"
"NIMBPO","2024-12-16","168.6","168.6","166","166","-3.49 %","7,285.00"
"NIMBPO","2024-12-12","167","172","167","172","1.78 %","1,544.00"
"NIMBPO","2024-12-11","168.1","169.3","167.6","169","0.00 %","4,461.00"
"NIMBPO","2024-12-10","167.3","170.5","167.2","169","-0.71 %","12,992.00"
"NIMBPO","2024-12-09","170.5","170.5","168","170.2","1.01 %","1,050.00"
"NIMBPO","2024-12-08","169","169","168.2","168.5","-1.81 %","3,827.00"
"NIMBPO","2024-12-04","177","177","171.6","171.6","-1.38 %","219.00"
"NIMBPO","2024-12-03","170","174","169.9","174","0.58 %","635.00"
"NIMBPO","2024-12-02","168.3","173","168","173","1.17 %","11,417.00"
"NIMBPO","2024-12-01","174.3","174.3","170.9","171","-0.06 %","2,173.00"
"NIMBPO","2024-11-28","171.1","171.1","171.1","171.1","-1.67 %","2,326.00"
"NIMBPO","2024-11-27","171","174","171","174","1.75 %","1,206.00"
"NIMBPO","2024-11-26","177.4","177.9","171","171","-2.01 %","15,312.00"
"NIMBPO","2024-11-25","169","178","169","174.5","2.65 %","2,326.00"
