"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMB50","2025-01-07","10.13","10.4","10.12","10.4","2.46 %","2,900.00"
"NMB50","2025-01-06","10.05","10.21","10","10.15","1.00 %","24,205.00"
"NMB50","2025-01-05","10.3","10.3","10.05","10.05","-1.95 %","11,820.00"
"NMB50","2025-01-02","10.25","10.25","10.25","10.25","1.18 %","110.00"
"NMB50","2025-01-01","10.13","10.13","10.13","10.13","-1.84 %","500.00"
"NMB50","2024-12-31","10.01","10.41","10.01","10.32","1.08 %","36,948.00"
"NMB50","2024-12-29","10.15","10.21","10.15","10.21","0.59 %","12,500.00"
"NMB50","2024-12-26","10.21","10.5","10.1","10.15","1.40 %","169,329.00"
"NMB50","2024-12-24","10.39","10.41","10.01","10.01","-5.57 %","390,660.00"
"NMB50","2024-12-23","10.65","10.65","10.4","10.6","-1.03 %","22,000.00"
"NMB50","2024-12-22","10.75","10.75","10.5","10.71","0.37 %","2,500.00"
"NMB50","2024-12-19","10.3","10.67","10.3","10.67","3.49 %","5,100.00"
"NMB50","2024-12-18","10.5","10.5","10.31","10.31","-3.64 %","2,300.00"
"NMB50","2024-12-17","10.46","10.7","10.46","10.7","2.29 %","177,042.00"
"NMB50","2024-12-16","10.67","10.67","10.46","10.46","-3.86 %","11,300.00"
"NMB50","2024-12-12","10.75","10.88","10.75","10.88","0.00 %","7,000.00"
"NMB50","2024-12-11","10.7","10.88","10.7","10.88","0.09 %","35,402.00"
"NMB50","2024-12-10","10.46","10.87","10.46","10.87","4.02 %","34,560.00"
"NMB50","2024-12-09","10.84","10.84","10.45","10.45","-2.43 %","15,951.00"
"NMB50","2024-12-08","10.4","10.82","10.38","10.71","0.94 %","11,047.00"
"NMB50","2024-12-05","10.61","10.7","10.61","10.61","-1.76 %","1,100.00"
"NMB50","2024-12-04","10.86","10.86","10.66","10.8","1.41 %","93,650.00"
"NMB50","2024-12-03","10.35","10.69","10.33","10.65","1.43 %","14,681.00"
"NMB50","2024-12-02","10.63","10.71","10.5","10.5","0.19 %","40,565.00"
"NMB50","2024-12-01","10.69","10.69","10.48","10.48","-1.96 %","635.00"
"NMB50","2024-11-28","10.49","10.69","10.49","10.69","-0.09 %","45,246.00"
"NMB50","2024-11-27","10.6","10.7","10.6","10.7","1.42 %","2,110.00"
"NMB50","2024-11-26","10.33","10.75","10.33","10.55","0.09 %","9,300.00"
"NMB50","2024-11-25","10.51","10.54","10.5","10.54","-1.59 %","28,200.00"
"NMB50","2024-11-24","10.51","10.71","10.51","10.71","0.09 %","17,000.00"
"NMB50","2024-11-21","10.74","10.95","10.55","10.7","-0.37 %","17,034.00"
"NMB50","2024-11-20","10.74","10.74","10.54","10.74","0.00 %","40,200.00"
"NMB50","2024-11-19","10.55","10.76","10.55","10.74","2.29 %","137,900.00"
"NMB50","2024-11-17","10.4","10.6","10.31","10.5","0.96 %","43,860.00"
"NMB50","2024-11-14","10.4","10.57","10.21","10.4","-1.42 %","53,554.00"
"NMB50","2024-11-13","10.6","10.8","10.55","10.55","0.09 %","126,180.00"
"NMB50","2024-11-12","10.35","10.67","10.34","10.54","-0.09 %","43,791.00"
"NMB50","2024-11-11","10.4","10.55","10.4","10.55","0.00 %","22,700.00"
"NMB50","2024-11-10","10.35","10.76","10.34","10.55","2.03 %","16,254.00"
"NMB50","2024-11-06","10.48","10.48","10.34","10.34","-1.90 %","8,545.00"
"NMB50","2024-11-05","10.2","10.54","10.16","10.54","1.74 %","20,919.00"
"NMB50","2024-10-30","10.5","10.51","10.36","10.36","-0.38 %","15,100.00"
"NMB50","2024-10-29","10.3","10.5","10.22","10.4","0.97 %","58,775.00"
"NMB50","2024-10-28","10.3","10.3","10.3","10.3","0.98 %","100.00"
"NMB50","2024-10-27","10.4","10.4","10.2","10.2","-0.97 %","7,136.00"
"NMB50","2024-10-24","10.2","10.4","10.2","10.3","0.98 %","10,366.00"
"NMB50","2024-10-23","10.25","10.31","10.1","10.2","-0.49 %","16,950.00"
"NMB50","2024-10-22","10.3","10.45","10.1","10.25","-0.97 %","153,439.00"
"NMB50","2024-10-21","10.59","10.77","10.35","10.35","-4.17 %","29,903.00"
"NMB50","2024-10-20","10.84","10.84","10.5","10.8","1.50 %","86,950.00"
"NMB50","2024-10-17","10.11","10.64","9.9","10.64","3.60 %","267,320.00"
"NMB50","2024-10-16","10.55","10.55","10.26","10.27","-1.82 %","13,860.00"
"NMB50","2024-10-15","10.26","10.46","10.26","10.46","3.98 %","22,762.00"
"NMB50","2024-10-09","10.26","10.5","10.06","10.06","-1.85 %","23,545.00"
"NMB50","2024-10-08","10.03","10.48","10","10.25","0.49 %","133,000.00"
"NMB50","2024-10-07","10.45","10.45","10.11","10.2","-0.97 %","11,620.00"
"NMB50","2024-10-06","10.1","10.3","10","10.3","3.62 %","195,000.00"
"NMB50","2024-10-02","9.57","10.33","9.57","9.94","2.26 %","4,595.00"
"NMB50","2024-10-01","10.2","10.2","9.72","9.72","-3.86 %","155,440.00"
"NMB50","2024-09-30","9.83","10.13","9.64","10.11","0.80 %","21,200.00"
"NMB50","2024-09-29","10.26","10.26","9.89","10.03","-4.11 %","52,459.00"
"NMB50","2024-09-26","11.8","12.03","11.8","11.96","0.17 %","1,635,994.00"
"NMB50","2024-09-25","11.8","12","11.75","11.94","1.96 %","136,120.00"
"NMB50","2024-09-24","11.99","12","11.7","11.71","-1.18 %","41,698.00"
"NMB50","2024-09-23","12.15","12.15","11.51","11.85","-0.84 %","53,350.00"
"NMB50","2024-09-22","11.72","12.05","11.7","11.95","3.91 %","152,831.00"
"NMB50","2024-09-18","11","11.5","10.8","11.5","2.86 %","96,600.00"
"NMB50","2024-09-16","11.69","11.69","11.18","11.18","-4.36 %","34,000.00"
"NMB50","2024-09-15","11.73","11.73","11.5","11.69","1.65 %","35,766.00"
"NMB50","2024-09-12","11.4","11.5","11.27","11.5","0.00 %","130,250.00"
"NMB50","2024-09-11","11.4","11.5","11.4","11.5","0.00 %","15,500.00"
