"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NSIF2","2025-01-07","10.4","10.6","10.11","10.29","0.88 %","20,625.00"
"NSIF2","2025-01-06","10.45","10.45","10.15","10.2","-0.49 %","17,300.00"
"NSIF2","2025-01-05","10.32","10.5","10.1","10.25","0.89 %","9,025.00"
"NSIF2","2025-01-02","10.05","10.25","10.05","10.16","0.00 %","20,810.00"
"NSIF2","2025-01-01","10.11","10.3","10.11","10.16","-0.10 %","37,890.00"
"NSIF2","2024-12-31","10.1","10.69","10.1","10.17","0.39 %","462,125.00"
"NSIF2","2024-12-29","10.4","10.6","10.13","10.13","-0.69 %","178,200.00"
"NSIF2","2024-12-26","10.06","10.5","9.92","10.2","1.90 %","1,354,640.00"
"NSIF2","2024-12-24","10.21","10.41","10.01","10.01","-3.29 %","1,773,810.00"
"NSIF2","2024-12-23","10.7","10.7","10.25","10.35","-1.71 %","20,300.00"
"NSIF2","2024-12-22","10.34","10.53","10.34","10.53","2.13 %","6,800.00"
"NSIF2","2024-12-19","10.31","10.31","10.26","10.31","-1.43 %","77,475.00"
"NSIF2","2024-12-18","10.36","10.47","10.36","10.46","0.10 %","9,550.00"
"NSIF2","2024-12-17","10.36","10.45","10.36","10.45","-0.57 %","2,000.00"
"NSIF2","2024-12-16","10.45","10.71","10.45","10.51","-1.31 %","21,880.00"
"NSIF2","2024-12-12","10.53","10.7","10.53","10.65","-0.19 %","11,300.00"
"NSIF2","2024-12-11","10.64","10.69","10.64","10.67","0.28 %","3,500.00"
"NSIF2","2024-12-10","10.62","10.8","10.6","10.64","0.19 %","1,350.00"
"NSIF2","2024-12-09","10.7","10.7","10.6","10.62","-0.75 %","20,500.00"
"NSIF2","2024-12-08","10.55","10.72","10.51","10.7","0.85 %","203,200.00"
"NSIF2","2024-12-05","10.63","10.7","10.6","10.61","-2.12 %","300,500.00"
"NSIF2","2024-12-04","10.8","10.85","10.66","10.84","1.78 %","340,000.00"
"NSIF2","2024-12-03","10.51","10.75","10.51","10.65","-0.19 %","140,700.00"
"NSIF2","2024-12-02","10.55","10.72","10.55","10.67","0.19 %","207,400.00"
"NSIF2","2024-12-01","10.48","10.68","10.48","10.65","-0.09 %","37,775.00"
"NSIF2","2024-11-28","10.55","10.72","10.55","10.66","0.28 %","30,740.00"
"NSIF2","2024-11-27","10.55","10.75","10.55","10.63","-0.56 %","100,600.00"
"NSIF2","2024-11-26","10.5","10.74","10.5","10.69","0.28 %","166,000.00"
"NSIF2","2024-11-25","10.7","10.7","10.65","10.66","-0.09 %","82,610.00"
"NSIF2","2024-11-24","10.42","10.71","10.42","10.67","0.66 %","161,000.00"
"NSIF2","2024-11-21","10.5","10.7","10.5","10.6","-0.09 %","39,305.00"
"NSIF2","2024-11-20","10.51","10.8","10.51","10.61","-1.03 %","121,900.00"
"NSIF2","2024-11-19","10.7","10.75","10.54","10.72","0.00 %","33,250.00"
"NSIF2","2024-11-17","10.35","10.76","10.35","10.72","1.52 %","327,050.00"
"NSIF2","2024-11-14","10.34","10.75","10.34","10.56","0.19 %","141,525.00"
"NSIF2","2024-11-13","10.5","10.54","10.5","10.54","-0.57 %","900.00"
"NSIF2","2024-11-12","10.54","10.76","10.15","10.6","-1.40 %","14,025.00"
"NSIF2","2024-11-11","10.42","10.76","10.42","10.75","1.42 %","100,950.00"
"NSIF2","2024-11-10","10.9","10.9","10.45","10.6","-0.93 %","29,625.00"
"NSIF2","2024-11-06","10.22","10.7","10.22","10.7","3.08 %","59,775.00"
"NSIF2","2024-11-05","10.3","10.45","10.2","10.38","-1.24 %","1,925.00"
"NSIF2","2024-10-30","10.75","10.75","10.51","10.51","-2.23 %","179,770.00"
"NSIF2","2024-10-29","10.21","10.86","10.21","10.75","4.67 %","221,509.00"
"NSIF2","2024-10-28","10.2","10.5","10.2","10.27","-1.25 %","1,075.00"
"NSIF2","2024-10-27","10.08","10.4","10.08","10.4","1.36 %","3,225.00"
"NSIF2","2024-10-24","10.73","10.73","10.15","10.26","-2.47 %","3,325.00"
"NSIF2","2024-10-23","10.63","10.92","10.36","10.52","0.19 %","1,790,510.00"
"NSIF2","2024-10-22","10.03","10.5","9.84","10.5","2.74 %","41,575.00"
"NSIF2","2024-10-21","10.11","10.25","10.05","10.22","-0.78 %","16,625.00"
"NSIF2","2024-10-20","10.5","10.5","10.3","10.3","-1.25 %","99,170.00"
"NSIF2","2024-10-17","10.75","10.75","10.39","10.43","-1.04 %","123,925.00"
"NSIF2","2024-10-16","10.03","10.84","10.03","10.54","4.56 %","27,900.00"
"NSIF2","2024-10-15","10.22","10.25","10.08","10.08","-2.61 %","15,200.00"
"NSIF2","2024-10-09","10.3","10.49","10.2","10.35","-0.38 %","12,225.00"
"NSIF2","2024-10-08","10.2","10.39","10","10.39","-0.10 %","8,700.00"
"NSIF2","2024-10-07","10.21","10.4","10.18","10.4","0.29 %","83,700.00"
"NSIF2","2024-10-06","10.1","10.38","10.1","10.37","1.87 %","126,670.00"
"NSIF2","2024-10-02","9.82","10.18","9.82","10.18","2.83 %","3,540.00"
"NSIF2","2024-10-01","9.8","10.04","9.69","9.9","1.02 %","79,900.00"
"NSIF2","2024-09-30","10.15","10.35","9.78","9.8","-1.61 %","3,226.00"
"NSIF2","2024-09-29","10.78","10.78","9.96","9.96","-9.45 %","98,495.00"
"NSIF2","2024-09-26","11.32","11.32","11","11","-0.99 %","540,680.00"
"NSIF2","2024-09-25","11.54","11.54","11.11","11.11","-1.86 %","43,993.00"
"NSIF2","2024-09-24","11.62","11.62","11.18","11.32","-0.70 %","114,755.00"
"NSIF2","2024-09-23","11.61","11.61","11.18","11.4","0.09 %","274,066.00"
"NSIF2","2024-09-22","11.83","11.83","10.93","11.39","-1.81 %","647,203.00"
"NSIF2","2024-09-18","11.44","11.65","11.4","11.6","1.40 %","432,654.00"
"NSIF2","2024-09-16","11.67","11.9","11.38","11.44","-0.09 %","46,738.00"
"NSIF2","2024-09-15","11.86","12.25","11.45","11.45","-1.55 %","55,200.00"
"NSIF2","2024-09-12","11.66","11.66","11.4","11.63","1.13 %","49,500.00"
"NSIF2","2024-09-11","11.78","11.78","11.48","11.5","-0.43 %","126,575.00"
"NSIF2","2024-09-10","11.93","11.93","11.28","11.55","-1.28 %","128,790.00"
"NSIF2","2024-09-09","12","12","11.56","11.7","-0.85 %","184,700.00"
"NSIF2","2024-09-08","11.9","11.99","11.67","11.8","0.43 %","114,650.00"
"NSIF2","2024-09-05","12","12","11.58","11.75","-0.42 %","115,950.00"
"NSIF2","2024-09-04","12.06","12.06","11.6","11.8","-0.25 %","63,125.00"
"NSIF2","2024-09-03","12.02","12.02","11.8","11.83","0.34 %","101,697.00"
"NSIF2","2024-09-02","11.93","11.93","11.4","11.79","0.77 %","93,935.00"
"NSIF2","2024-09-01","11.91","11.91","11.6","11.7","0.09 %","81,049.00"
"NSIF2","2024-08-29","11.89","12.12","11.44","11.69","0.26 %","112,944.00"
"NSIF2","2024-08-28","11.82","11.99","11.4","11.66","0.60 %","274,955.00"
"NSIF2","2024-08-27","11.56","11.7","11.4","11.59","-1.36 %","303,461.00"
"NSIF2","2024-08-25","12.24","12.47","11.7","11.75","-2.08 %","150,182.00"
"NSIF2","2024-08-22","12","12.15","11.82","12","0.00 %","187,246.00"
"NSIF2","2024-08-21","11.6","12.1","11.32","12","1.69 %","720,785.00"
"NSIF2","2024-08-18","11.9","12","11.67","11.8","-0.84 %","110,450.00"
"NSIF2","2024-08-15","11.86","12.21","11.47","11.9","2.32 %","396,221.00"
"NSIF2","2024-08-14","11.99","11.99","11.4","11.63","-1.11 %","134,025.00"
"NSIF2","2024-08-13","11.77","11.85","11.32","11.76","1.91 %","794,822.00"
"NSIF2","2024-08-12","11.67","12.13","11.23","11.54","0.79 %","605,275.00"
"NSIF2","2024-08-11","11.3","11.52","11.28","11.45","1.33 %","190,725.00"
"NSIF2","2024-08-08","11.64","11.7","11.1","11.3","-1.05 %","638,290.00"
"NSIF2","2024-08-07","10.95","11.49","10.95","11.42","2.24 %","520,550.00"
"NSIF2","2024-08-06","11.98","12.2","11.17","11.17","-4.94 %","880,385.00"
"NSIF2","2024-08-05","11.29","11.75","11.27","11.75","4.17 %","409,855.00"
"NSIF2","2024-08-01","11.3","11.48","11.12","11.28","-0.35 %","1,250,710.00"
"NSIF2","2024-07-31","11","11.32","11","11.32","1.89 %","79,180.00"
"NSIF2","2024-07-30","10.7","11.49","10.7","11.11","1.93 %","46,525.00"
"NSIF2","2024-07-29","11","11.22","10.9","10.9","-1.18 %","256,400.00"
"NSIF2","2024-07-28","11.01","11.24","10.98","11.03","0.27 %","691,750.00"
"NSIF2","2024-07-25","11.29","11.74","10.85","11","-0.63 %","408,450.00"
"NSIF2","2024-07-24","10.9","11.18","10.87","11.07","0.91 %","156,050.00"
"NSIF2","2024-07-23","11.24","11.43","10.92","10.97","-0.45 %","268,725.00"
"NSIF2","2024-07-22","10.01","11.04","10.01","11.02","7.93 %","514,890.00"
"NSIF2","2024-07-21","10.41","11.45","10.21","10.21","-1.92 %","273,795.00"
"NSIF2","2024-07-18","10.81","11.02","10.2","10.41","-1.79 %","349,250.00"
"NSIF2","2024-07-17","10.8","11.39","10.4","10.6","0.09 %","11,800.00"
"NSIF2","2024-07-16","9.9","10.6","9.9","10.59","5.27 %","14,625.00"
"NSIF2","2024-07-15","10.15","10.35","10","10.06","-0.89 %","333,550.00"
"NSIF2","2024-07-14","10.28","10.37","9.91","10.15","0.00 %","339,900.00"
"NSIF2","2024-07-11","10.05","10.2","10.05","10.15","1.20 %","21,750.00"
"NSIF2","2024-07-10","10.1","10.11","9.96","10.03","-0.79 %","427,375.00"
"NSIF2","2024-07-09","10.35","10.35","10.1","10.11","-0.39 %","45,600.00"
"NSIF2","2024-07-08","10.44","10.44","10.15","10.15","-0.88 %","33,630.00"
"NSIF2","2024-07-07","10","10.24","9.99","10.24","2.61 %","331,700.00"
"NSIF2","2024-07-04","9.93","10.06","9.93","9.98","-0.99 %","438,000.00"
"NSIF2","2024-07-03","9.99","10.08","9.91","10.08","1.92 %","56,850.00"
"NSIF2","2024-07-02","10.05","10.09","9.77","9.89","-1.59 %","131,900.00"
"NSIF2","2024-07-01","9.76","10.05","9.76","10.05","1.11 %","11,600.00"
"NSIF2","2024-06-30","9.89","10.12","9.88","9.94","-1.19 %","12,500.00"
"NSIF2","2024-06-27","9.85","10.06","9.81","10.06","1.62 %","2,500.00"
"NSIF2","2024-06-26","9.81","9.9","9.81","9.9","0.00 %","1,250.00"
"NSIF2","2024-06-25","9.58","9.9","9.58","9.9","2.27 %","11,600.00"
"NSIF2","2024-06-24","9.6","9.79","9.6","9.68","-0.21 %","1,300.00"
"NSIF2","2024-06-23","9.52","9.7","9.52","9.7","-0.10 %","1,200.00"
"NSIF2","2024-06-20","9.52","9.9","9.52","9.71","0.10 %","410.00"
"NSIF2","2024-06-19","9.65","9.7","9.64","9.7","0.41 %","800.00"
"NSIF2","2024-06-18","9.69","9.76","9.66","9.66","-2.13 %","30,500.00"
"NSIF2","2024-06-16","9.81","10","9.81","9.87","-1.30 %","9,500.00"
"NSIF2","2024-06-13","9.8","10","9.8","10","0.20 %","10,800.00"
"NSIF2","2024-06-12","9.68","10.04","9.68","9.98","1.32 %","13,350.00"
"NSIF2","2024-06-11","9.74","9.85","9.7","9.85","1.13 %","2,050.00"
