"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NWCL","2025-01-07","957.6","985","957.6","974.6","-0.25 %","2,865.00"
"NWCL","2025-01-06","967","978","947.7","977","2.84 %","4,486.00"
"NWCL","2025-01-05","920.2","955","920","950","1.60 %","5,268.00"
"NWCL","2025-01-02","927","938","913","935","0.96 %","2,995.00"
"NWCL","2025-01-01","931","948","923.7","926.1","-0.42 %","3,047.00"
"NWCL","2024-12-31","960","962.8","910","930","-2.82 %","4,562.00"
"NWCL","2024-12-29","957","980","955","957","-1.85 %","5,650.00"
"NWCL","2024-12-26","991","995","965","975","-1.61 %","2,335.00"
"NWCL","2024-12-24","999","1008","985","991","0.25 %","4,024.00"
"NWCL","2024-12-23","954","991.3","952.5","988.5","3.62 %","3,882.00"
"NWCL","2024-12-22","951","983","951","954","-1.14 %","3,377.00"
"NWCL","2024-12-19","995","995","963.5","965","-1.13 %","1,549.00"
"NWCL","2024-12-18","973.1","990","962","976","0.41 %","4,360.00"
"NWCL","2024-12-17","965.2","989","965.2","972","-0.82 %","4,566.00"
"NWCL","2024-12-16","1030","1030","970","980","-3.45 %","5,761.00"
"NWCL","2024-12-12","1005","1029.9","995","1015","-0.10 %","7,427.00"
"NWCL","2024-12-11","1003.6","1029.5","1003","1016","-0.29 %","2,738.00"
"NWCL","2024-12-10","1006","1025","993.1","1019","0.89 %","4,016.00"
"NWCL","2024-12-09","1018","1024","998","1010","0.10 %","5,636.00"
"NWCL","2024-12-08","998.1","1025","998","1009","-0.88 %","8,750.00"
"NWCL","2024-12-05","1015.3","1040","1015.3","1018","-1.55 %","9,518.00"
"NWCL","2024-12-04","1025","1080","1025","1034","-0.58 %","9,194.00"
"NWCL","2024-12-03","1042","1049","1025","1040","-0.38 %","6,958.00"
"NWCL","2024-12-02","1047.9","1059.9","1029","1044","1.46 %","5,504.00"
"NWCL","2024-12-01","1021","1041","1021","1029","-0.96 %","4,709.00"
"NWCL","2024-11-28","1069.8","1071.9","1027","1039","-2.44 %","7,104.00"
"NWCL","2024-11-27","1063","1078.7","1051.3","1065","0.19 %","9,933.00"
"NWCL","2024-11-26","1053","1065.8","1040","1063","1.43 %","9,346.00"
"NWCL","2024-11-25","1020.1","1050","1020.1","1048","1.55 %","7,055.00"
"NWCL","2024-11-24","1040","1040","1020","1032","-0.19 %","4,365.00"
"NWCL","2024-11-21","1083.2","1083.2","1015","1034","-2.64 %","10,115.00"
"NWCL","2024-11-20","1045","1062.9","1020.3","1062","2.23 %","11,028.00"
"NWCL","2024-11-19","1100","1102","1038.8","1038.8","-6.74 %","16,143.00"
"NWCL","2024-11-17","1131.1","1142.9","1091","1113.9","0.44 %","15,407.00"
"NWCL","2024-11-14","1025","1140","1025","1109","6.12 %","35,460.00"
"NWCL","2024-11-13","1016","1050.9","1016","1045","1.46 %","7,435.00"
"NWCL","2024-11-12","1015","1076","1015","1030","-0.48 %","9,561.00"
"NWCL","2024-11-11","1039.2","1056","1020","1035","1.58 %","14,173.00"
"NWCL","2024-11-10","992","1024","992","1018.9","1.89 %","8,094.00"
"NWCL","2024-11-06","1001","1010","998","1000","-1.38 %","2,195.00"
"NWCL","2024-11-05","1012","1020","996","1014","0.30 %","3,356.00"
"NWCL","2024-10-30","1044.7","1044.8","1011","1011","-1.65 %","4,926.00"
"NWCL","2024-10-29","1000.1","1038","1000.1","1028","2.49 %","8,457.00"
"NWCL","2024-10-28","982","1005","982","1003","2.35 %","3,887.00"
"NWCL","2024-10-27","959","989.4","959","980","1.03 %","3,086.00"
"NWCL","2024-10-24","970","980","960.8","970","-0.92 %","3,337.00"
"NWCL","2024-10-23","988","1008","971","979","-1.00 %","4,728.00"
"NWCL","2024-10-22","975","1014","963","988.9","1.37 %","12,970.00"
"NWCL","2024-10-21","1001","1010","975.5","975.5","-3.79 %","11,782.00"
"NWCL","2024-10-20","1025","1045.5","1002.1","1013.9","-1.94 %","10,901.00"
"NWCL","2024-10-17","1040","1056","1026.2","1034","-0.48 %","12,128.00"
"NWCL","2024-10-16","1030","1057","1029","1039","0.10 %","10,861.00"
"NWCL","2024-10-15","1035","1040","1011","1038","2.28 %","5,224.00"
"NWCL","2024-10-09","1015","1040","1014.9","1014.9","-0.50 %","6,937.00"
"NWCL","2024-10-08","1050","1070","1015.4","1020","-1.45 %","5,866.00"
"NWCL","2024-10-07","1060","1080","1030","1035","-0.67 %","13,369.00"
"NWCL","2024-10-06","1038.69","1080","1010","1042","-1.23 %","18,418.00"
"NWCL","2024-10-02","998.5","1076.9","998.5","1055","7.76 %","62,053.00"
"NWCL","2024-10-01","900","979","900","979","10.00 %","14,103.00"
"NWCL","2024-09-30","870","890","862.5","890","2.30 %","9,262.00"
"NWCL","2024-09-29","874","911","842","870","-2.25 %","10,279.00"
"NWCL","2024-09-26","910","917","866.3","890","-3.16 %","5,876.00"
"NWCL","2024-09-25","916.9","929","883","919","2.22 %","7,454.00"
"NWCL","2024-09-24","912","940","893.8","899","-3.33 %","6,520.00"
"NWCL","2024-09-23","958","968","925","930","-4.72 %","7,580.00"
"NWCL","2024-09-22","979","1017","950","976.1","1.68 %","3,271.00"
"NWCL","2024-09-18","960","975","942","960","-1.94 %","9,621.00"
"NWCL","2024-09-16","999","1000","951","979","-0.10 %","13,049.00"
"NWCL","2024-09-15","1072","1080","980","980","-7.10 %","19,306.00"
"NWCL","2024-09-12","1040","1064","1010.1","1054.9","2.43 %","15,677.00"
"NWCL","2024-09-11","1005","1045","1005","1029.9","0.48 %","12,134.00"
"NWCL","2024-09-10","1084","1084","1013.2","1025","-3.76 %","14,569.00"
"NWCL","2024-09-09","1008","1088","987","1065","7.59 %","38,032.00"
"NWCL","2024-09-08","955.2","1025","952.1","989.9","2.47 %","14,072.00"
"NWCL","2024-09-05","962","980","943","966","-1.13 %","19,183.00"
"NWCL","2024-09-04","1005","1035","970","977","-3.93 %","9,484.00"
"NWCL","2024-09-03","1011","1050","1005","1017","-0.73 %","11,504.00"
"NWCL","2024-09-02","971.1","1039.8","971.1","1024.5","3.48 %","9,344.00"
"NWCL","2024-09-01","1020.1","1040","990","990","-2.95 %","15,150.00"
"NWCL","2024-08-29","1015.2","1041","1015","1020.1","-0.48 %","11,120.00"
"NWCL","2024-08-28","1080","1081.2","1017","1025","-3.30 %","14,573.00"
"NWCL","2024-08-27","1031","1072.5","1031","1060","1.44 %","19,767.00"
"NWCL","2024-08-25","1089.9","1089.9","1010","1045","-4.12 %","24,842.00"
"NWCL","2024-08-22","1145","1145.4","1089.9","1089.9","-2.95 %","20,820.00"
"NWCL","2024-08-21","1100","1130","1081","1123","0.99 %","18,041.00"
"NWCL","2024-08-18","1129","1129","1085.1","1112","-1.51 %","31,858.00"
"NWCL","2024-08-15","1149","1171","1096","1129","-1.74 %","30,227.00"
"NWCL","2024-08-14","1165","1200","1145","1149","-2.63 %","26,781.00"
"NWCL","2024-08-13","1201","1224","1155","1180","-1.26 %","26,685.00"
"NWCL","2024-08-12","1230","1249","1185","1195","-2.85 %","30,081.00"
"NWCL","2024-08-11","1138","1238.5","1138","1230","9.24 %","51,666.00"
"NWCL","2024-08-08","1154","1200","1120.1","1126","-1.23 %","34,845.00"
"NWCL","2024-08-07","1100","1150","1090","1140","3.64 %","25,459.00"
"NWCL","2024-08-06","1239","1260","1098","1100","-9.84 %","68,331.00"
"NWCL","2024-08-05","1200","1250","1130","1220","3.39 %","66,946.00"
"NWCL","2024-08-01","1242.6","1264","1180","1180","-5.04 %","64,637.00"
"NWCL","2024-07-31","1140","1242.6","1135","1242.6","9.99 %","56,106.00"
"NWCL","2024-07-30","1015.5","1129.7","1015.5","1129.7","10.00 %","71,369.00"
"NWCL","2024-07-29","1050","1074","1027","1027","-2.28 %","45,425.00"
"NWCL","2024-07-28","1045","1070","1016.1","1051","2.54 %","36,767.00"
"NWCL","2024-07-25","1050","1050","1023.2","1025","-2.94 %","46,352.00"
"NWCL","2024-07-24","1100","1120","1029","1056","-2.14 %","52,931.00"
"NWCL","2024-07-23","1000.5","1079.1","1000","1079.1","10.00 %","49,983.00"
"NWCL","2024-07-22","926.2","1000","921","981","5.71 %","68,451.00"
"NWCL","2024-07-21","935","955","919","928","0.19 %","47,923.00"
"NWCL","2024-07-18","921.2","965","921.2","926.2","-1.46 %","52,787.00"
"NWCL","2024-07-17","923","948.6","905.1","939.9","1.83 %","38,971.00"
"NWCL","2024-07-16","891","925","891","923","2.78 %","27,085.00"
"NWCL","2024-07-15","940","950","896.1","898","-4.16 %","51,393.00"
"NWCL","2024-07-14","930.2","965","917","937","2.74 %","38,136.00"
"NWCL","2024-07-11","893","915","882.1","912","3.64 %","41,785.00"
"NWCL","2024-07-10","877","905","872.1","880","0.34 %","40,173.00"
"NWCL","2024-07-09","862.6","897.3","862.6","877","-0.34 %","27,619.00"
"NWCL","2024-07-08","881.1","915","872.1","880","-2.10 %","25,146.00"
"NWCL","2024-07-07","897","922","882.1","898.9","0.21 %","39,341.00"
"NWCL","2024-07-04","892","920","888","897","0.56 %","39,218.00"
"NWCL","2024-07-03","892.9","915","857.7","892","-0.11 %","38,473.00"
"NWCL","2024-07-02","889.4","935","872","893","2.41 %","21,537.00"
"NWCL","2024-07-01","895","895","867.3","872","-1.91 %","22,649.00"
"NWCL","2024-06-30","837.9","915","837.9","889","3.98 %","70,248.00"
"NWCL","2024-06-27","860.4","882","855","855","-2.51 %","10,221.00"
"NWCL","2024-06-26","840","899","831","877","4.97 %","45,896.00"
"NWCL","2024-06-25","855","867","835","835.5","-1.01 %","17,010.00"
"NWCL","2024-06-24","832","855","830","844","1.44 %","17,512.00"
"NWCL","2024-06-23","843.1","860","832","832","-3.24 %","17,684.00"
"NWCL","2024-06-20","858.1","877.5","841","859.9","-1.05 %","19,303.00"
"NWCL","2024-06-19","848.7","889","848.7","869","0.35 %","20,927.00"
"NWCL","2024-06-18","870","892.5","848.7","866","0.00 %","45,589.00"
"NWCL","2024-06-16","895","904.7","855","866","-3.78 %","29,695.00"
