Symbol,Date,Open,High,Low,Close,Percent Change,Volume
PBD84,2025-01-08,"1,101.00","1,121.20","1,099.30","1,121.20",1.91 %,95.00
PBD84,2025-01-15,"1,098.80","1,098.80","1,098.80","1,098.80",-2.00 %,50.00
PBD84,2025-01-19,"1,098.00","1,120.00","1,098.00","1,120.00",1.93 %,200.00
PBD84,2025-01-20,"1,098.00","1,098.00","1,098.00","1,098.00",-1.98 %,25.00
PBD84,2025-01-26,"1,100.00","1,100.00","1,100.00","1,100.00",0.14 %,225.00
PBD84,2025-01-28,"1,100.00","1,100.00","1,081.00","1,081.00",-1.73 %,125.00
PBD84,2025-02-02,"1,081.00","1,081.00","1,061.60","1,061.60",-1.79 %,50.00
PBD84,2025-02-03,"1,082.80","1,082.80","1,082.80","1,082.80",2.00 %,25.00
PBD84,2025-02-04,"1,063.20","1,063.20","1,063.00","1,063.00",-1.83 %,25.00
PBD84,2025-02-09,"1,060.00","1,060.00","1,060.00","1,060.00",-0.28 %,25.00
PBD84,2025-02-11,"1,081.20","1,081.20","1,081.20","1,081.20",2.00 %,10.00
PBD84,2025-02-12,"1,102.00","1,102.80","1,081.10","1,081.10",-0.01 %,65.00
PBD84,2025-02-24,"1,080.00","1,081.00","1,080.00","1,080.00",-0.10 %,80.00
PBD84,2025-02-25,"1,061.50","1,061.50","1,060.60","1,060.60",-1.80 %,30.00
PBD84,2025-03-04,"1,060.50","1,060.50","1,059.00","1,059.00",-0.15 %,25.00
PBD84,2025-03-09,"1,075.00","1,075.00","1,064.50","1,064.50",0.52 %,225.00
PBD84,2025-03-10,"1,070.00","1,070.00","1,066.00","1,066.00",0.14 %,100.00
PBD84,2025-03-12,"1,064.50","1,066.00","1,064.50","1,064.50",-0.14 %,1.00
PBD84,2025-03-16,"1,058.50","1,094.40","1,052.00","1,094.40",2.81 %,120.00
