"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PBD88","2025-01-07","1148","1148","1148","1148","-1.88 %","100.00"
"PBD88","2025-01-05","1125","1170","1125","1170","4.00 %","658.00"
"PBD88","2025-01-02","1117","1139.3","1117","1125","0.72 %","79.00"
"PBD88","2025-01-01","1117","1117","1117","1117","-0.27 %","30.00"
"PBD88","2024-12-31","1135","1135","1120","1120","-1.15 %","80.00"
"PBD88","2024-12-29","1150","1153","1133","1133","-1.79 %","140.00"
"PBD88","2024-12-26","1131","1153.6","1131","1153.6","2.00 %","93.00"
"PBD88","2024-12-24","1131","1131","1131","1131","-1.65 %","100.00"
"PBD88","2024-12-23","1113","1173","1113","1150","3.32 %","580.00"
"PBD88","2024-12-22","1130","1130","1111","1113","-2.22 %","100.00"
"PBD88","2024-12-19","1116","1116","1116","1138.3","2.00 %","1.00"
"PBD88","2024-12-18","1116","1116","1116","1116","-1.60 %","25.00"
"PBD88","2024-12-17","1134.2","1134.2","1134.2","1134.2","2.00 %","10.00"
"PBD88","2024-12-16","1112","1112","1112","1112","0.18 %","25.00"
"PBD88","2024-12-11","1125","1130","1110","1110","-1.07 %","75.00"
"PBD88","2024-12-09","1098","1122","1098","1122","2.44 %","160.00"
"PBD88","2024-12-08","1095.3","1095.3","1095.3","1095.3","0.07 %","25.00"
"PBD88","2024-12-04","1094.5","1094.5","1094.5","1094.5","-0.32 %","50.00"
"PBD88","2024-12-03","1095","1100","1095","1098","-1.26 %","100.00"
"PBD88","2024-12-01","1112","1112","1112","1112","0.00 %","25.00"
"PBD88","2024-11-27","1112","1112","1112","1112","0.00 %","25.00"
"PBD88","2024-11-26","1112","1112","1112","1112","0.63 %","25.00"
"PBD88","2024-11-25","1105","1105","1105","1105","-0.63 %","25.00"
"PBD88","2024-11-24","1112","1112","1112","1112","-0.89 %","25.00"
"PBD88","2024-11-21","1112","1122","1112","1122","0.00 %","65.00"
"PBD88","2024-11-20","1122","1122","1122","1122","0.00 %","25.00"
"PBD88","2024-11-19","1100","1122","1100","1122","0.18 %","75.00"
"PBD88","2024-11-17","1105","1133","1105","1120","1.59 %","590.00"
"PBD88","2024-11-14","1090","1102.5","1090","1102.5","0.14 %","80.00"
"PBD88","2024-11-13","1101","1101","1101","1101","-0.09 %","125.00"
"PBD88","2024-11-12","1090","1102","1077","1102","-0.27 %","105.00"
"PBD88","2024-11-11","1105","1105","1105","1105","0.36 %","25.00"
"PBD88","2024-11-10","1100","1101","1100","1101","-1.70 %","75.00"
"PBD88","2024-11-06","1120","1120","1120","1120","1.27 %","50.00"
"PBD88","2024-11-05","1106","1106","1106","1106","-0.36 %","75.00"
"PBD88","2024-10-30","1100","1110","1100","1110","0.91 %","50.00"
"PBD88","2024-10-29","1100","1100","1100","1100","0.92 %","25.00"
"PBD88","2024-10-28","1090","1090","1090","1090","-0.91 %","25.00"
"PBD88","2024-10-27","1102","1133","1100","1100","-0.19 %","310.00"
"PBD88","2024-10-24","1102.1","1102.1","1102.1","1102.1","0.00 %","25.00"
"PBD88","2024-10-23","1100","1102.1","1100","1102.1","0.19 %","100.00"
"PBD88","2024-10-22","1111","1111","1100","1100","-2.91 %","50.00"
"PBD88","2024-10-21","1105","1133","1105","1133","2.53 %","175.00"
"PBD88","2024-10-20","1105","1105","1105","1105","-0.45 %","50.00"
"PBD88","2024-10-17","1110","1110","1110","1110","0.00 %","75.00"
"PBD88","2024-10-16","1127","1133","1105","1110","0.45 %","613.00"
"PBD88","2024-10-15","1105","1105","1105","1105","-0.09 %","25.00"
