"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PBLD86","2025-01-07","1115","1120","1115","1120","0.45 %","2,456.00"
"PBLD86","2024-12-23","1136","1136","1115","1115","-1.76 %","52.00"
"PBLD86","2024-12-22","1135","1135","1135","1135","1.61 %","50.00"
"PBLD86","2024-12-18","1117","1117","1117","1117","1.92 %","280.00"
"PBLD86","2024-12-04","1116","1116","1096","1096","-3.69 %","50.00"
"PBLD86","2024-11-27","1130","1138","1130","1138","0.62 %","60.00"
"PBLD86","2024-11-06","1131","1131","1131","1131","0.35 %","15.00"
"PBLD86","2024-10-27","1124","1127","1124","1127","0.63 %","40.00"
"PBLD86","2024-10-24","1119.9","1120","1119.9","1120","0.36 %","75.00"
"PBLD86","2024-10-22","1116","1116","1116","1116","0.09 %","75.00"
"PBLD86","2024-10-21","1115","1115","1115","1115","1.36 %","355.00"
"PBLD86","2024-10-20","1100","1100","1100","1100","0.70 %","75.00"
"PBLD86","2024-10-15","1092.3","1092.4","1092.3","1092.4","2.00 %","340.00"
"PBLD86","2024-10-08","1071","1071","1071","1071","2.00 %","100.00"
"PBLD86","2024-08-21","1050","1050","1050","1050","0.00 %","75.00"
"PBLD86","2024-08-18","1033.9","1050","1033.9","1050","-0.47 %","50.00"
"PBLD86","2024-08-12","1053.6","1055","1053.6","1055","2.13 %","300.00"
"PBLD86","2024-08-07","1033","1033","1033","1033","0.31 %","25.00"
"PBLD86","2024-08-06","1029.8","1029.8","1029.8","1029.8","0.19 %","10.00"
"PBLD86","2024-08-05","1048.6","1048.6","1027.8","1027.8","-1.98 %","100.00"
"PBLD86","2024-08-01","1048.6","1048.6","1048.6","1048.6","-2.00 %","25.00"
"PBLD86","2024-07-07","1070","1070","1070","1070","0.47 %","7,805.00"
"PBLD86","2024-07-02","1078","1078","1065","1065","-3.18 %","7,830.00"
"PBLD86","2024-07-01","1100","1100","1100","1100","0.00 %","100.00"
"PBLD86","2024-06-27","1055","1100","1055","1100","2.71 %","285.00"
"PBLD86","2024-06-10","1071","1071","1071","1071","2.00 %","110.00"
"PBLD86","2024-06-09","1050","1050","1050","1050","0.00 %","50.00"
"PBLD86","2024-06-04","1050","1050","1050","1050","0.48 %","25.00"
"PBLD86","2024-06-03","1045","1045","1045","1045","1.11 %","25.00"
"PBLD86","2024-05-30","1039.1","1039.1","1033.5","1033.5","-2.41 %","75.00"
"PBLD86","2024-05-26","1080","1080","1059","1059","-2.87 %","50.00"
"PBLD86","2024-05-19","1088","1090.3","1088","1090.3","1.99 %","250.00"
"PBLD86","2024-05-14","1067","1069","1067","1069","1.96 %","105.00"
"PBLD86","2024-05-13","1047","1048.5","1047","1048.5","1.99 %","75.00"
"PBLD86","2024-05-12","1028","1028","1028","1028","0.00 %","25.00"
"PBLD86","2024-05-08","1028","1028","1028","1028","0.00 %","100.00"
"PBLD86","2024-05-07","1028","1028","1028","1028","-0.05 %","300.00"
"PBLD86","2024-05-06","1028.6","1028.6","1028.5","1028.5","-1.95 %","200.00"
"PBLD86","2024-04-22","1020","1049","1020","1049","4.90 %","625.00"
"PBLD86","2024-04-18","1000","1000","1000","1000","0.19 %","500.00"
"PBLD86","2024-04-03","1005","1005","998.1","998.1","-1.22 %","150.00"
"PBLD86","2024-04-02","990.6","1010.4","990.6","1010.4","4.04 %","20.00"
"PBLD86","2024-03-07","971.2","971.2","971.2","971.2","2.00 %","150.00"
"PBLD86","2024-03-06","952.2","952.2","952.2","952.2","1.99 %","600.00"
"PBLD86","2024-01-16","933.6","933.6","933.6","933.6","2.00 %","49.00"
"PBLD86","2023-12-05","915.5","915.5","915.3","915.3","-0.51 %","78.00"
"PBLD86","2023-09-11","920","920","920","920","-0.66 %","49.00"
"PBLD86","2023-09-07","926.1","926.1","926.1","926.1","-2.00 %","100.00"
"PBLD86","2023-08-28","945","945","945","945","1.39 %","31.00"
"PBLD86","2023-08-17","932","932","932","932","-2.00 %","100.00"
"PBLD86","2023-08-14","951","951","951","951","1.13 %","50.00"
"PBLD86","2023-08-13","959.5","959.5","940.4","940.4","-3.94 %","75.00"
"PBLD86","2023-07-16","941.1","979","941.1","979","6.10 %","30.00"
"PBLD86","2023-06-08","922.7","922.7","922.7","922.7","1.99 %","25.00"
"PBLD86","2023-06-05","904.7","904.7","904.7","904.7","2.00 %","100.00"
"PBLD86","2023-04-30","909","909","887","887","-1.99 %","200.00"
"PBLD86","2023-04-27","905","905","905","905","0.00 %","25.00"
"PBLD86","2023-04-24","905","905","905","905","1.98 %","100.00"
"PBLD86","2023-04-19","887.4","887.4","887.4","887.4","2.00 %","25.00"
"PBLD86","2023-04-13","870","870","870","870","1.99 %","200.00"
"PBLD86","2023-03-01","853","853","853","853","-1.95 %","100.00"
"PBLD86","2023-02-06","870","870","870","870","-1.14 %","25.00"
"PBLD86","2023-02-05","906.5","906.5","870.7","880","-4.86 %","400.00"
"PBLD86","2023-01-10","925","925","925","925","0.00 %","50.00"
"PBLD86","2022-11-24","925","925","925","925","-0.05 %","50.00"
"PBLD86","2022-09-12","925.5","925.5","925.5","925.5","-1.54 %","165.00"
"PBLD86","2022-09-08","940","940","940","940","0.17 %","300.00"
"PBLD86","2022-08-30","938.4","938.4","938.4","938.4","2.00 %","225.00"
"PBLD86","2022-08-29","920","920","920","920","-1.75 %","100.00"
"PBLD86","2022-08-28","936.3","936.4","936.3","936.4","1.99 %","65.00"
"PBLD86","2022-08-21","918.1","918.1","918.1","918.1","2.00 %","10.00"
"PBLD86","2022-08-14","900.1","900.1","900.1","900.1","-0.22 %","25.00"
"PBLD86","2022-07-28","903","903","902.1","902.1","-2.00 %","75.00"
"PBLD86","2022-07-24","920.5","920.5","920.5","920.5","0.00 %","300.00"
"PBLD86","2022-07-22","921","921","920.5","920.5","-1.96 %","100.00"
"PBLD86","2022-07-21","938.9","938.9","938.9","938.9","-0.01 %","50.00"
"PBLD86","2022-05-25","939","939","939","939","-0.11 %","25.00"
"PBLD86","2022-04-21","943.5","943.5","940","940","-1.05 %","100.00"
"PBLD86","2022-03-29","950","950","950","950","-0.06 %","300.00"
"PBLD86","2022-03-27","970","970","950.6","950.6","-3.00 %","125.00"
"PBLD86","2022-03-21","980","980","980","980","0.00 %","200.00"
"PBLD86","2022-01-16","1000","980.1","980","980","-2.00 %","100.00"
"PBLD86","2021-12-05","1004.5","1004.5","1000","1000","-2.44 %","500.00"
"PBLD86","2021-12-01","1025","1025","1025","1025","-1.91 %","50.00"
