Symbol,Date,Open,High,Low,Close,Percent Change,Volume
PBLD87,2025-01-08,"1,059.00","1,059.00","1,059.00","1,059.00",0.00 %,25.00
PBLD87,2025-01-13,"1,041.00","1,050.00","1,041.00","1,042.00",-1.61 %,75.00
PBLD87,2025-01-19,"1,040.00","1,040.00","1,040.00","1,040.00",-0.19 %,125.00
PBLD87,2025-01-21,"1,025.00","1,025.00","1,025.00","1,025.00",-1.44 %,75.00
PBLD87,2025-01-22,"1,025.00","1,025.00","1,025.00","1,025.00",0.00 %,25.00
PBLD87,2025-02-02,"1,030.00","1,062.00","1,030.00","1,030.00",0.49 %,280.00
PBLD87,2025-02-03,"1,030.00","1,030.00","1,030.00","1,030.00",0.00 %,25.00
PBLD87,2025-02-05,"1,031.00","1,031.00","1,031.00","1,031.00",0.10 %,500.00
PBLD87,2025-02-10,"1,062.00","1,062.00","1,062.00","1,062.00",3.01 %,305.00
PBLD87,2025-02-18,"1,041.00","1,062.00","1,035.00","1,062.00",0.00 %,725.00
PBLD87,2025-02-20,"1,041.00","1,041.00","1,035.00","1,036.00",-2.45 %,625.00
PBLD87,2025-02-23,"1,046.00","1,046.00","1,046.00","1,046.00",0.97 %,325.00
PBLD87,2025-02-24,"1,040.00","1,040.00","1,040.00","1,040.00",-0.57 %,150.00
PBLD87,2025-03-04,"1,046.00","1,046.00","1,046.00","1,046.00",0.58 %,625.00
PBLD87,2025-03-05,"1,031.60","1,032.00","1,031.00","1,031.00",-1.43 %,125.00
PBLD87,2025-03-06,"1,022.00","1,022.00","1,022.00","1,022.00",-0.87 %,25.00
PBLD87,2025-03-09,"1,025.00","1,030.00","1,020.40","1,030.00",0.78 %,125.00
PBLD87,2025-03-10,"1,022.10","1,022.10","1,022.10","1,022.10",-0.77 %,25.00
PBLD87,2025-03-16,"1,023.20","1,030.00","1,023.20","1,030.00",0.77 %,200.00
