"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PMLI","2025-01-07","555","599","546.1","599","9.99 %","145,253.00"
"PMLI","2025-01-06","519","544.6","519","544.6","4.93 %","13,651.00"
"PMLI","2025-01-05","515","525","515","519","0.35 %","12,253.00"
"PMLI","2025-01-02","508.2","521","508.2","517.2","1.02 %","8,656.00"
"PMLI","2025-01-01","500.2","520","500.2","512","0.39 %","4,165.00"
"PMLI","2024-12-31","512","518","507","510","-2.30 %","12,595.00"
"PMLI","2024-12-29","525","530","520","522","-0.57 %","7,778.00"
"PMLI","2024-12-26","520.3","535","520.3","525","-0.19 %","7,401.00"
"PMLI","2024-12-24","518","530","518","526","1.54 %","13,774.00"
"PMLI","2024-12-23","512","524.3","510","518","1.57 %","15,026.00"
"PMLI","2024-12-22","516.2","519.5","510","510","-1.83 %","9,802.00"
"PMLI","2024-12-19","530","535","519.5","519.5","-2.07 %","12,007.00"
"PMLI","2024-12-18","531.3","539","530","530.5","-1.30 %","16,877.00"
"PMLI","2024-12-17","540","545","536","537.5","-1.61 %","7,676.00"
"PMLI","2024-12-16","545.8","552","544.2","546.3","-1.46 %","10,396.00"
"PMLI","2024-12-12","554","559","553","554.4","-0.11 %","4,619.00"
"PMLI","2024-12-11","545","556.9","545","555","0.73 %","7,135.00"
"PMLI","2024-12-10","554","554","549","551","-0.72 %","14,483.00"
"PMLI","2024-12-09","552.4","560","552.4","555","0.16 %","7,712.00"
"PMLI","2024-12-08","554","559","553.3","554.1","-0.70 %","13,458.00"
"PMLI","2024-12-05","560","570","556.3","558","-1.22 %","11,861.00"
"PMLI","2024-12-04","555.6","569","555.6","564.9","-0.02 %","6,164.00"
"PMLI","2024-12-03","560","569.8","560","565","0.36 %","9,440.00"
"PMLI","2024-12-02","556","567","556","563","1.26 %","15,501.00"
"PMLI","2024-12-01","555.6","563.8","555.6","556","-1.66 %","12,131.00"
"PMLI","2024-11-28","570.2","572","561.2","565.4","-0.44 %","8,144.00"
"PMLI","2024-11-27","560","575","558.6","567.9","1.32 %","19,211.00"
"PMLI","2024-11-26","553.7","564","553.7","560.5","0.45 %","6,187.00"
"PMLI","2024-11-25","565","568.5","552.2","558","0.00 %","3,524.00"
"PMLI","2024-11-24","550.4","582.3","550.4","558","0.54 %","4,802.00"
"PMLI","2024-11-21","560.5","565.4","555","555","-0.98 %","17,348.00"
"PMLI","2024-11-20","560.1","567","557.3","560.5","-0.27 %","8,660.00"
"PMLI","2024-11-19","560.4","579","560","562","-1.40 %","10,027.00"
"PMLI","2024-11-17","585","589","570","570","-0.71 %","13,793.00"
"PMLI","2024-11-14","575.1","586","571","574.1","-1.02 %","12,073.00"
"PMLI","2024-11-13","575","585","575","580","-0.82 %","4,525.00"
"PMLI","2024-11-12","580.5","592.1","577.4","584.8","-0.54 %","7,267.00"
"PMLI","2024-11-11","596.7","600","585","588","0.00 %","22,179.00"
"PMLI","2024-11-10","561.5","591","561.5","588","2.65 %","11,691.00"
"PMLI","2024-11-06","567","575","566","572.8","-0.38 %","3,758.00"
"PMLI","2024-11-05","566.3","577","566","575","0.52 %","12,469.00"
"PMLI","2024-10-30","579.9","580","560.3","572","0.35 %","5,710.00"
"PMLI","2024-10-29","555.5","570.8","555.5","570","1.79 %","9,439.00"
"PMLI","2024-10-28","550","560","545.1","560","1.80 %","3,548.00"
"PMLI","2024-10-27","545","556","545","550.1","-0.94 %","4,682.00"
"PMLI","2024-10-24","551.5","560","551.5","555.3","-1.19 %","6,578.00"
"PMLI","2024-10-23","549.8","562","549.8","562","0.18 %","12,495.00"
"PMLI","2024-10-22","545.9","568","545.9","561","0.72 %","13,901.00"
"PMLI","2024-10-21","561","561","546","557","-0.71 %","19,687.00"
"PMLI","2024-10-20","567","570","561","561","-2.03 %","20,058.00"
"PMLI","2024-10-17","567.5","579.9","567.5","572.6","0.02 %","13,127.00"
"PMLI","2024-10-16","565","576","565","572.5","0.85 %","3,532.00"
"PMLI","2024-10-15","571","571","560","567.7","-0.23 %","3,688.00"
"PMLI","2024-10-09","581.3","581.3","560","569","-0.18 %","1,480.00"
"PMLI","2024-10-08","564.1","583.8","564.1","570","-0.42 %","7,972.00"
"PMLI","2024-10-07","575","575","565","572.4","0.42 %","8,004.00"
"PMLI","2024-10-06","548.4","571","548.2","570","2.70 %","13,683.00"
"PMLI","2024-10-02","561","570","555","555","0.91 %","24,519.00"
"PMLI","2024-10-01","583.1","605","583.1","605","3.77 %","33,804.00"
