"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRSF","2025-01-07","9.86","10.05","9.86","10.05","0.60 %","60,200.00"
"PRSF","2025-01-06","9.7","9.99","9.7","9.99","1.94 %","9,100.00"
"PRSF","2025-01-05","9.7","9.8","9.7","9.8","0.62 %","1,500.00"
"PRSF","2025-01-02","9.74","9.74","9.74","9.74","-1.72 %","100.00"
"PRSF","2025-01-01","10.19","10.19","9.91","9.91","-0.90 %","433.00"
"PRSF","2024-12-31","10","10","10","10","-1.86 %","18,200.00"
"PRSF","2024-12-29","9.73","10.19","9.73","10.19","2.83 %","242,698.00"
"PRSF","2024-12-26","10.3","10.3","9.91","9.91","-1.88 %","30,100.00"
"PRSF","2024-12-24","10","10.21","10","10.1","2.23 %","138,000.00"
"PRSF","2024-12-23","9.88","9.89","9.88","9.88","-1.79 %","500.00"
"PRSF","2024-12-22","10.2","10.2","9.87","10.06","0.00 %","6,750.00"
"PRSF","2024-12-19","9.85","10.06","9.85","10.06","0.40 %","700.00"
"PRSF","2024-12-18","10","10.02","10","10.02","1.52 %","400.00"
"PRSF","2024-12-17","9.81","9.88","9.81","9.87","-0.30 %","1,400.00"
"PRSF","2024-12-16","9.9","9.9","9.9","9.9","-1.20 %","100.00"
"PRSF","2024-12-12","10","10.15","9.97","10.02","-0.50 %","5,600.00"
"PRSF","2024-12-11","10.01","10.2","10.01","10.07","-0.79 %","8,100.00"
"PRSF","2024-12-09","10.34","10.34","10.15","10.15","-0.20 %","200.00"
"PRSF","2024-12-08","10.14","10.25","10.14","10.17","-1.64 %","9,060.00"
"PRSF","2024-12-05","10.09","10.34","10.09","10.34","0.58 %","71,500.00"
"PRSF","2024-12-04","10.15","10.29","10.15","10.28","-0.19 %","200,825.00"
"PRSF","2024-12-03","10.05","10.3","10.05","10.3","0.88 %","1,600.00"
"PRSF","2024-12-02","10.13","10.33","10.13","10.21","0.39 %","20,990.00"
"PRSF","2024-12-01","10.3","10.45","10.09","10.17","-1.17 %","60,775.00"
"PRSF","2024-11-28","10.15","10.35","10.15","10.29","-0.58 %","7,075.00"
"PRSF","2024-11-27","10.24","10.4","10.24","10.35","0.00 %","10,600.00"
"PRSF","2024-11-26","10.22","10.35","10.22","10.35","1.07 %","47,890.00"
"PRSF","2024-11-25","10.3","10.3","10.22","10.24","-0.58 %","2,900.00"
"PRSF","2024-11-24","10.42","10.42","10.23","10.3","0.10 %","2,000.00"
"PRSF","2024-11-21","10.18","10.38","10.18","10.29","-0.19 %","25,600.00"
"PRSF","2024-11-20","10.21","10.32","10.21","10.31","0.88 %","12,425.00"
"PRSF","2024-11-19","10.16","10.25","10.16","10.22","0.59 %","6,300.00"
"PRSF","2024-11-17","10.15","10.16","10.1","10.16","-1.84 %","3,700.00"
"PRSF","2024-11-14","10.13","10.4","10.13","10.35","2.37 %","54,838.00"
"PRSF","2024-11-13","10.06","10.2","10.06","10.11","-1.17 %","24,000.00"
"PRSF","2024-11-12","9.97","10.23","9.97","10.23","1.89 %","12,000.00"
"PRSF","2024-11-11","10.01","10.1","10.01","10.04","0.00 %","16,590.00"
"PRSF","2024-11-10","9.85","10.15","9.85","10.04","1.72 %","17,400.00"
"PRSF","2024-11-06","9.96","10.05","9.81","9.87","1.02 %","44,600.00"
"PRSF","2024-11-05","9.8","9.96","9.77","9.77","0.00 %","4,400.00"
"PRSF","2024-10-30","9.75","9.8","9.75","9.77","-0.41 %","36,180.00"
"PRSF","2024-10-29","9.72","9.81","9.55","9.81","2.94 %","16,500.00"
"PRSF","2024-10-28","9.44","9.55","9.44","9.53","-0.83 %","400.00"
"PRSF","2024-10-27","9.61","9.61","9.61","9.61","-1.23 %","1,500.00"
"PRSF","2024-10-24","9.36","9.73","9.36","9.73","1.99 %","3,500.00"
"PRSF","2024-10-23","9.65","9.65","9.54","9.54","-1.14 %","5,100.00"
"PRSF","2024-10-22","9.51","9.65","9.51","9.65","1.37 %","4,100.00"
"PRSF","2024-10-21","9.48","9.65","9.47","9.52","-1.04 %","2,000.00"
"PRSF","2024-10-20","9.53","9.76","9.53","9.62","-0.93 %","10,400.00"
"PRSF","2024-10-17","9.6","9.96","9.6","9.71","-0.61 %","286,033.00"
"PRSF","2024-10-16","9.35","9.77","9.35","9.77","2.84 %","1,200.00"
"PRSF","2024-10-15","9.65","9.65","9.46","9.5","-2.56 %","20,900.00"
"PRSF","2024-10-09","9.77","9.77","9.75","9.75","-2.11 %","300.00"
"PRSF","2024-10-08","9.28","9.96","9.28","9.96","5.96 %","1,200.00"
"PRSF","2024-10-07","9.48","9.48","9.12","9.4","1.08 %","22,100.00"
"PRSF","2024-10-06","9.31","9.48","9.3","9.3","-0.11 %","20,200.00"
"PRSF","2024-10-02","9.68","9.68","9.31","9.31","-2.00 %","12,000.00"
"PRSF","2024-10-01","9.38","9.5","9.15","9.5","-0.73 %","21,352.00"
"PRSF","2024-09-30","10.09","10.09","9.57","9.57","-7.00 %","14,900.00"
"PRSF","2024-09-29","10.29","10.49","10.29","10.29","-1.91 %","3,200.00"
"PRSF","2024-09-26","10.4","10.49","10.32","10.49","0.87 %","7,600.00"
"PRSF","2024-09-25","10.5","10.5","10.3","10.4","0.97 %","10,830.00"
"PRSF","2024-09-24","10.62","10.62","10.2","10.3","-1.90 %","552,230.00"
"PRSF","2024-09-23","10.35","10.5","10.34","10.5","-0.47 %","30,050.00"
"PRSF","2024-09-22","10.3","10.58","10.3","10.55","0.76 %","210,102.00"
"PRSF","2024-09-18","10.69","10.69","10.15","10.47","-0.19 %","230,875.00"
"PRSF","2024-09-16","10.29","10.54","10.29","10.49","0.00 %","55,650.00"
"PRSF","2024-09-15","10.89","10.89","10.49","10.49","-1.78 %","3,425.00"
"PRSF","2024-09-12","10.7","10.7","10.32","10.68","1.14 %","423,375.00"
"PRSF","2024-09-11","10.3","10.73","10.3","10.56","0.86 %","86,575.00"
"PRSF","2024-09-10","10.35","10.55","10.35","10.47","-0.85 %","680,705.00"
"PRSF","2024-09-09","10.71","10.98","10.56","10.56","-1.40 %","104,825.00"
"PRSF","2024-09-08","10.65","10.86","10.5","10.71","2.49 %","9,500.00"
"PRSF","2024-09-05","10.71","11.3","10.33","10.45","-0.48 %","78,145.00"
"PRSF","2024-09-04","11.06","11.06","10.49","10.5","-3.23 %","49,020.00"
"PRSF","2024-09-03","10.56","10.85","10.56","10.85","1.69 %","370,300.00"
"PRSF","2024-09-02","10.58","10.78","10.58","10.67","-1.11 %","523,268.00"
"PRSF","2024-09-01","10.81","11.02","10.61","10.79","1.79 %","80,000.00"
"PRSF","2024-08-29","10.95","10.95","10.55","10.6","-1.40 %","60,925.00"
"PRSF","2024-08-28","10.98","10.98","10.55","10.75","-0.19 %","49,900.00"
"PRSF","2024-08-27","10.78","10.97","10.57","10.77","-0.09 %","53,675.00"
"PRSF","2024-08-25","10.76","10.97","10.59","10.78","-1.73 %","30,900.00"
"PRSF","2024-08-22","10.75","11","10.69","10.97","2.05 %","74,200.00"
"PRSF","2024-08-21","10.66","10.89","10.66","10.75","-0.83 %","539,175.00"
"PRSF","2024-08-18","10.63","10.96","10.63","10.84","0.00 %","73,145.00"
"PRSF","2024-08-15","10.43","10.84","10.43","10.84","2.36 %","1,047,600.00"
"PRSF","2024-08-14","10.4","10.7","10.4","10.59","0.38 %","506,500.00"
"PRSF","2024-08-13","10.46","10.57","10.46","10.55","-0.57 %","146,700.00"
"PRSF","2024-08-12","10.5","10.71","10.5","10.61","0.28 %","209,570.00"
"PRSF","2024-08-11","10.3","10.6","10.3","10.58","0.76 %","11,900.00"
"PRSF","2024-08-08","10.43","10.5","10.43","10.5","-1.13 %","52,100.00"
"PRSF","2024-08-07","10.41","10.62","10.41","10.62","0.19 %","294,688.00"
"PRSF","2024-08-06","10.58","10.81","10.37","10.6","-1.76 %","366,489.00"
"PRSF","2024-08-05","10.38","10.79","10.38","10.79","1.98 %","98,600.00"
"PRSF","2024-08-01","10.31","10.59","10.31","10.58","2.72 %","55,700.00"
"PRSF","2024-07-31","10.12","10.49","10.12","10.3","0.10 %","71,710.00"
"PRSF","2024-07-30","10.48","10.55","10.12","10.29","0.10 %","61,200.00"
"PRSF","2024-07-29","10.34","10.5","10.2","10.28","-2.10 %","51,300.00"
"PRSF","2024-07-28","10.3","10.5","9.94","10.5","3.96 %","15,825.00"
"PRSF","2024-07-25","9.99","10.17","9.81","10.1","3.06 %","417,862.00"
"PRSF","2024-07-24","9.81","10.1","9.75","9.8","-2.00 %","4,000.00"
"PRSF","2024-07-23","9.8","10.18","9.76","10","0.10 %","316,275.00"
"PRSF","2024-07-22","9.81","9.99","9.72","9.99","-0.10 %","296,775.00"
"PRSF","2024-07-21","10.45","10.6","9.83","10","-4.67 %","93,820.00"
"PRSF","2024-07-18","10","10.49","10","10.49","5.96 %","550.00"
"PRSF","2024-07-17","10.15","10.15","9.71","9.9","-0.60 %","11,260.00"
"PRSF","2024-07-16","9.42","9.98","9.26","9.96","3.64 %","30,350.00"
"PRSF","2024-07-15","9.31","9.67","9.16","9.61","1.26 %","117,325.00"
"PRSF","2024-07-14","9.4","9.49","9.26","9.49","0.96 %","5,800.00"
"PRSF","2024-07-11","9.37","9.6","9.08","9.4","2.29 %","16,300.00"
"PRSF","2024-07-10","9.36","9.36","9.18","9.19","0.11 %","34,770.00"
"PRSF","2024-07-09","9.1","9.3","9.1","9.18","0.66 %","13,900.00"
"PRSF","2024-07-08","8.78","9.23","8.78","9.12","1.90 %","1,325.00"
"PRSF","2024-07-07","8.91","9","8.91","8.95","-1.43 %","600.00"
"PRSF","2024-07-04","9.07","9.08","9.07","9.08","-1.84 %","700.00"
"PRSF","2024-07-03","9.3","9.3","9","9.25","1.43 %","17,060.00"
"PRSF","2024-07-02","9.1","9.12","9.1","9.12","1.90 %","600.00"
"PRSF","2024-07-01","9.1","9.1","8.95","8.95","-0.33 %","200.00"
"PRSF","2024-06-30","9","9","8.98","8.98","-1.97 %","67,600.00"
"PRSF","2024-06-27","9.1","9.16","9.1","9.16","0.11 %","2,900.00"
"PRSF","2024-06-26","8.81","9.15","8.81","9.15","5.05 %","900.00"
"PRSF","2024-06-25","8.54","8.71","8.54","8.71","1.04 %","700.00"
"PRSF","2024-06-24","8.63","8.63","8.48","8.62","-2.05 %","525.00"
"PRSF","2024-06-23","8.75","8.8","8.75","8.8","-1.23 %","200.00"
"PRSF","2024-06-20","8.75","8.91","8.75","8.91","-0.11 %","200.00"
"PRSF","2024-06-19","8.85","8.92","8.85","8.92","0.79 %","600.00"
"PRSF","2024-06-18","8.71","8.85","8.71","8.85","3.63 %","400.00"
"PRSF","2024-06-16","8.83","9.1","8.53","8.54","-5.11 %","6,225.00"
"PRSF","2024-06-13","8.81","9","8.81","9","2.16 %","1,300.00"
"PRSF","2024-06-12","8.8","8.81","8.8","8.81","0.11 %","200.00"
"PRSF","2024-06-11","8.67","8.8","8.6","8.8","-0.45 %","800.00"
"PRSF","2024-06-10","8.71","8.93","8.71","8.84","-0.34 %","1,400.00"
"PRSF","2024-06-09","8.87","8.87","8.87","8.87","-0.89 %","200.00"
"PRSF","2024-06-06","8.95","8.95","8.95","8.95","-0.33 %","100.00"
"PRSF","2024-06-05","8.81","8.98","8.81","8.98","0.67 %","600.00"
"PRSF","2024-06-04","8.89","9.05","8.89","8.92","0.45 %","900.00"
