"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PSF","2025-01-07","9.84","10.03","9.84","10.02","-0.20 %","59,610.00"
"PSF","2025-01-06","9.86","10.04","9.7","10.04","-0.20 %","142,080.00"
"PSF","2025-01-05","9.66","10.06","9.66","10.06","2.13 %","17,400.00"
"PSF","2025-01-02","9.89","9.89","9.66","9.85","1.55 %","3,200.00"
"PSF","2025-01-01","9.81","9.9","9.7","9.7","-2.02 %","13,000.00"
"PSF","2024-12-31","9.85","10.03","9.85","9.9","-1.30 %","4,274.00"
"PSF","2024-12-29","9.81","10.03","9.81","10.03","0.70 %","20,340.00"
"PSF","2024-12-26","10.02","10.02","9.85","9.96","1.01 %","34,300.00"
"PSF","2024-12-24","10","10","9.85","9.86","-0.20 %","3,400.00"
"PSF","2024-12-23","9.75","10","9.75","9.88","0.41 %","16,800.00"
"PSF","2024-12-22","9.81","9.84","9.81","9.84","-1.60 %","2,100.00"
"PSF","2024-12-19","9.81","10","9.81","10","-0.10 %","2,600.00"
"PSF","2024-12-18","9.75","10.19","9.75","10.01","0.81 %","12,640.00"
"PSF","2024-12-17","9.8","10","9.75","9.93","0.10 %","5,040.00"
"PSF","2024-12-16","9.81","9.95","9.8","9.92","-0.70 %","11,550.00"
"PSF","2024-12-12","10","10","9.93","9.99","-0.60 %","5,450.00"
"PSF","2024-12-11","10.2","10.2","10","10.05","-3.37 %","26,000.00"
"PSF","2024-12-10","10.01","10.4","10","10.4","1.86 %","18,540.00"
"PSF","2024-12-09","9.88","10.21","9.88","10.21","1.39 %","10,200.00"
"PSF","2024-12-08","10.07","10.2","10.07","10.07","-1.76 %","13,340.00"
"PSF","2024-12-05","10.2","10.3","10.11","10.25","-0.49 %","108,322.00"
"PSF","2024-12-04","10.07","10.31","10.07","10.3","0.49 %","116,940.00"
"PSF","2024-12-03","10","10.26","10","10.25","0.69 %","41,300.00"
"PSF","2024-12-02","10.1","10.29","10.1","10.18","-0.68 %","22,470.00"
"PSF","2024-12-01","10.25","10.45","10.11","10.25","0.00 %","38,718.00"
"PSF","2024-11-28","10.44","10.63","10.21","10.25","-3.76 %","230,706.00"
"PSF","2024-11-27","10.43","10.68","10.43","10.65","0.09 %","297,800.00"
"PSF","2024-11-26","10.4","10.64","10.4","10.64","1.24 %","253,800.00"
"PSF","2024-11-25","10.3","10.51","10.3","10.51","0.00 %","68,092.00"
"PSF","2024-11-24","10.36","10.51","10.36","10.51","0.29 %","176,890.00"
"PSF","2024-11-21","10.31","10.49","10.31","10.48","0.29 %","364,300.00"
"PSF","2024-11-20","10.14","10.46","10.14","10.45","1.16 %","283,300.00"
"PSF","2024-11-19","10.19","10.33","10.19","10.33","0.58 %","209,475.00"
"PSF","2024-11-17","10.11","10.3","10.11","10.27","1.68 %","487,756.00"
"PSF","2024-11-14","9.99","10.18","9.99","10.1","-0.30 %","122,100.00"
"PSF","2024-11-13","9.96","10.13","9.83","10.13","1.71 %","28,700.00"
"PSF","2024-11-12","9.95","10.11","9.81","9.96","-0.40 %","44,250.00"
"PSF","2024-11-11","10.11","10.25","9.95","10","-2.53 %","164,050.00"
"PSF","2024-11-10","10.3","10.5","10","10.26","0.59 %","205,250.00"
"PSF","2024-11-06","9.9","10.45","9.9","10.2","0.99 %","429,369.00"
"PSF","2024-11-05","9.94","10.1","9.85","10.1","1.61 %","523,664.00"
"PSF","2024-10-30","9.9","9.94","9.75","9.94","0.10 %","89,350.00"
"PSF","2024-10-29","9.5","9.93","9.5","9.93","3.44 %","186,540.00"
"PSF","2024-10-28","9.5","9.83","9.5","9.6","0.52 %","74,272.00"
"PSF","2024-10-27","9.5","9.75","9.47","9.55","0.84 %","81,068.00"
"PSF","2024-10-24","9.34","9.61","9.34","9.47","-0.42 %","52,500.00"
"PSF","2024-10-23","9.45","9.75","9.29","9.51","-0.94 %","11,400.00"
"PSF","2024-10-22","9.67","9.84","9.53","9.6","-0.62 %","73,355.00"
"PSF","2024-10-21","9.6","9.7","9.6","9.66","-0.92 %","76,793.00"
